source_pool,model_id,threshold_id,split,pit_transition_context,transition_outcome_label,transition_outcome_direction,selection_bucket,event_n,unique_segment_n,horizon_complete_event_n,cost_bad_10_20_rate,fast_fail_bad_10d_rate,false_repair_bad_20d_rate,readout_only_not_used_for_training
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,robustness,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,rejected,68,2,68,0.5147058823529411,0.3235294117647059,0.5,True
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,train,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,all_prefilter,2366,10,2364,0.30752961082910324,0.21023688663282572,0.2796108291032149,True
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,train,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,selected,2010,9,2008,0.299800796812749,0.20119521912350596,0.2704183266932271,True
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,train,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,rejected,356,3,356,0.351123595505618,0.2612359550561798,0.33146067415730335,True
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,train,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,all_prefilter,4377,9,4375,0.22285714285714286,0.14285714285714285,0.1929142857142857,True
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,train,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,selected,4282,8,4280,0.22453271028037383,0.14392523364485982,0.19439252336448598,True
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,train,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,rejected,95,1,95,0.14736842105263157,0.09473684210526316,0.12631578947368421,True
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,train,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,all_prefilter,4617,25,4613,0.28072837632776937,0.19640147409494907,0.25059614133969216,True
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,train,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,selected,2124,7,2121,0.19047619047619047,0.15181518151815182,0.15652993870815654,True
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,train,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,rejected,2493,20,2492,0.3575441412520064,0.23434991974317818,0.3306581059390048,True
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,train,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,all_prefilter,1063,8,1061,0.49952874646559847,0.3892554194156456,0.42507068803016024,True
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,train,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,selected,306,5,305,0.43934426229508194,0.2819672131147541,0.4098360655737705,True
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,train,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,rejected,757,4,756,0.5238095238095238,0.43253968253968256,0.4312169312169312,True
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,validation,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,all_prefilter,2349,9,2349,0.37973605789697745,0.24946785866326096,0.351213282247765,True
