split,anchor_family_id,diagnostic_axis,diagnostic_bucket,predeclared_partition_id,diagnostic_bucket_source,baseline_id,anchor_event_count,baseline_event_count,unique_instrument_year_count,anchor_mean_after_cost_return_H20,baseline_mean_after_cost_return_H20,mean_diff_vs_baseline,anchor_p05_after_cost_return_H20,baseline_p05_after_cost_return_H20,p05_diff_vs_baseline,anchor_instrument_year_positive_rate,baseline_instrument_year_positive_rate,interpretation_status
robustness,second_breakout,second_breakout_return_band,ge_0.174033,P05_PART_d2687d1f14c9,linked_anchor,matched_delay_baseline,15,15,15,-0.023646454644803392,-0.030712761267503164,0.007066306622699772,-0.10262828624931752,-0.11588450281773678,0.013256216568419257,0.3333333333333333,0.26666666666666666,too_sparse
robustness,second_breakout,second_breakout_return_band,lt_0.0933868,P05_PART_1101f5f43cf0,linked_anchor,matched_delay_baseline,19,19,19,0.00034220130252382276,0.012876809857097101,-0.012534608554573279,-0.14284977406090438,-0.09370640216676651,-0.049143371894137866,0.47368421052631576,0.42105263157894735,too_sparse
robustness,second_breakout,second_breakout_consolidation_drawdown_band,-0.0258192_-0.0102206,P05_PART_df440cd6f854,linked_anchor,matched_delay_baseline,11,11,11,-0.010566948471862932,-0.04421732003304451,0.03365037156118158,-0.0839792545853209,-0.11463507497203673,0.030655820386715826,0.36363636363636365,0.18181818181818182,too_sparse
robustness,second_breakout,second_breakout_consolidation_drawdown_band,-0.0530469_-0.0258192,P05_PART_0ce242bbd627,linked_anchor,matched_delay_baseline,10,10,9,0.017041122962958698,0.08707822896988422,-0.07003710600692553,-0.14214367958563953,-0.08247657743329777,-0.059667102152341764,0.5555555555555556,0.5555555555555556,too_sparse
robustness,second_breakout,second_breakout_consolidation_drawdown_band,ge_-0.0102206,P05_PART_137da244b8b2,linked_anchor,matched_delay_baseline,16,16,15,-0.0008958466580909034,0.001240422574761698,-0.0021362692328526015,-0.14658573805479144,-0.10088412177588621,-0.04570161627890523,0.4666666666666667,0.4666666666666667,too_sparse
robustness,second_breakout,second_breakout_consolidation_drawdown_band,lt_-0.0530469,P05_PART_7c9264b9e016,linked_anchor,matched_delay_baseline,20,20,20,-0.036643500549818575,-0.026343005688191822,-0.010300494861626753,-0.15915516390346998,-0.12486239834901917,-0.03429276555445081,0.35,0.25,interpretable
robustness,second_breakout,year_bucket,2024,P05_PART_ee38fefbf663,linked_anchor,matched_delay_baseline,52,52,50,-0.014756522285640006,0.0016600344332851828,-0.01641655671892519,-0.15581543984796906,-0.10270362912946406,-0.053111810718505,0.4,0.36,interpretable
robustness,second_breakout,year_bucket,2025,P05_PART_f381364dfe1e,linked_anchor,matched_delay_baseline,5,5,5,0.014862079553309829,-0.04178867475262524,0.05665075430593507,-0.12305470164994159,-0.12026771318033957,-0.002786988469602014,0.6,0.2,too_sparse
robustness,second_breakout,industry_bucket,交通运输,P05_PART_5567ef72272e,linked_anchor,matched_delay_baseline,2,2,2,0.06723887869008488,0.01968576356086816,0.04755311512921672,-0.12036360747437885,-0.0004846476323617471,-0.1198789598420171,0.5,0.5,too_sparse
robustness,second_breakout,industry_bucket,农林牧渔,P05_PART_3eab43cc7673,linked_anchor,matched_delay_baseline,1,1,1,0.032235418824796976,-0.0306721126942887,0.06290753151908568,0.032235418824796976,-0.0306721126942887,0.06290753151908568,1.0,0.0,too_sparse
robustness,second_breakout,industry_bucket,医药生物,P05_PART_e9da2e5c1389,linked_anchor,matched_delay_baseline,1,1,1,-0.08542348438008418,-0.13496470257158188,0.049541218191497705,-0.08542348438008418,-0.13496470257158188,0.049541218191497705,0.0,0.0,too_sparse
robustness,second_breakout,industry_bucket,国防军工,P05_PART_9be3680abaed,linked_anchor,matched_delay_baseline,4,4,4,-0.027770788728131407,-0.02905674490894774,0.001285956180816332,-0.18367319155626297,-0.05798463958966671,-0.12568855196659626,0.5,0.0,too_sparse
robustness,second_breakout,industry_bucket,家用电器,P05_PART_a15abe39afa3,linked_anchor,matched_delay_baseline,4,4,4,-0.029019219224621418,-0.08340782901765406,0.054388609793032644,-0.12960514485074281,-0.10687581375220345,-0.022729331098539363,0.25,0.0,too_sparse
robustness,second_breakout,industry_bucket,建筑装饰,P05_PART_220dd76f3516,linked_anchor,matched_delay_baseline,2,2,2,-0.08322588401631648,-0.02003331734732543,-0.06319256666899105,-0.08384765731949943,-0.037295223858922436,-0.046552433460577,0.0,0.0,too_sparse
robustness,second_breakout,industry_bucket,房地产,P05_PART_58e5ea3735ca,linked_anchor,matched_delay_baseline,1,1,1,-0.036337853620659985,0.014663713005138256,-0.051001566625798245,-0.036337853620659985,0.014663713005138256,-0.051001566625798245,0.0,1.0,too_sparse
