instrument_id,canonical_instrument_id,hash_input_description,hash_value,instrument_fold_id,train_signal_count,validation_signal_count,robustness_signal_count
SH600536,SH600536,utf-8 bytes of canonical_instrument_id.lower(),6120952594837307816,1,21,17,14
SH600489,SH600489,utf-8 bytes of canonical_instrument_id.lower(),8118942247470988781,1,44,159,454
SZ000066,SZ000066,utf-8 bytes of canonical_instrument_id.lower(),7927691880254945079,4,79,0,140
SZ000987,SZ000987,utf-8 bytes of canonical_instrument_id.lower(),6092943658846819622,2,46,0,0
SH600827,SH600827,utf-8 bytes of canonical_instrument_id.lower(),1858186465484006515,0,1,0,0
SH600872,SH600872,utf-8 bytes of canonical_instrument_id.lower(),2943217167920703398,3,128,0,0
SH600161,SH600161,utf-8 bytes of canonical_instrument_id.lower(),707128203567199691,1,120,26,18
SZ000860,SZ000860,utf-8 bytes of canonical_instrument_id.lower(),1438513548389391311,1,45,0,0
SZ002185,SZ002185,utf-8 bytes of canonical_instrument_id.lower(),4875875049934470586,1,2,0,0
SH600298,SH600298,utf-8 bytes of canonical_instrument_id.lower(),13451980063755604406,1,69,0,0
SZ002601,SZ002601,utf-8 bytes of canonical_instrument_id.lower(),2342004551857694168,3,311,105,26
SH601816,SH601816,utf-8 bytes of canonical_instrument_id.lower(),10260120120400204455,0,356,483,485
SH600685,SH600685,utf-8 bytes of canonical_instrument_id.lower(),18155881499360590964,4,17,0,0
SZ000513,SZ000513,utf-8 bytes of canonical_instrument_id.lower(),8542987855152774381,1,20,0,0
