reporting_view,split,path_regime_state,overlap_type,seed_flag_a,seed_flag_b,seed_flag_overlap_n,winner_n,overlap_count,overlap_rate,power_flag
split_regime,robustness,risk_off,pairwise,seed_gap_or_event_driven_flag,seed_early_momentum_flag,2,811,67,0.08261405672009864,ok
split_regime,robustness,risk_off,pairwise,seed_gap_or_event_driven_flag,seed_late_bloomer_flag,2,811,74,0.09124537607891492,ok
split_regime,robustness,risk_off,pairwise,seed_shakeout_reversal_flag,seed_volatile_chop_flag,2,811,40,0.04932182490752158,ok
split_regime,robustness,risk_off,pairwise,seed_shakeout_reversal_flag,seed_early_momentum_flag,2,811,0,0.0,ok
split_regime,robustness,risk_off,pairwise,seed_shakeout_reversal_flag,seed_late_bloomer_flag,2,811,69,0.08508014796547472,ok
split_regime,robustness,risk_off,pairwise,seed_volatile_chop_flag,seed_early_momentum_flag,2,811,0,0.0,ok
split_regime,robustness,risk_off,pairwise,seed_volatile_chop_flag,seed_late_bloomer_flag,2,811,13,0.016029593094944512,ok
split_regime,robustness,risk_on,overlap_n,,,0,827,126,0.1523579201934704,ok
split_regime,robustness,risk_on,overlap_n,,,1,827,294,0.3555018137847642,ok
split_regime,robustness,risk_on,overlap_n,,,2,827,208,0.25151148730350664,ok
split_regime,robustness,risk_on,overlap_n,,,3,827,157,0.18984280532043532,ok
split_regime,robustness,risk_on,overlap_n,,,4,827,42,0.05078597339782346,ok
split_regime,robustness,risk_on,overlap_n,,,5,827,0,0.0,ok
split_regime,robustness,risk_on,pairwise,seed_early_momentum_flag,seed_late_bloomer_flag,2,827,0,0.0,ok
split_regime,robustness,risk_on,pairwise,seed_gap_or_event_driven_flag,seed_shakeout_reversal_flag,2,827,225,0.2720677146311971,ok
split_regime,robustness,risk_on,pairwise,seed_gap_or_event_driven_flag,seed_volatile_chop_flag,2,827,99,0.11970979443772672,ok
split_regime,robustness,risk_on,pairwise,seed_gap_or_event_driven_flag,seed_early_momentum_flag,2,827,22,0.026602176541717048,ok
split_regime,robustness,risk_on,pairwise,seed_gap_or_event_driven_flag,seed_late_bloomer_flag,2,827,187,0.22611850060459493,ok
split_regime,robustness,risk_on,pairwise,seed_shakeout_reversal_flag,seed_volatile_chop_flag,2,827,144,0.17412333736396615,ok
split_regime,robustness,risk_on,pairwise,seed_shakeout_reversal_flag,seed_early_momentum_flag,2,827,0,0.0,ok
split_regime,robustness,risk_on,pairwise,seed_shakeout_reversal_flag,seed_late_bloomer_flag,2,827,195,0.23579201934703747,ok
split_regime,robustness,risk_on,pairwise,seed_volatile_chop_flag,seed_early_momentum_flag,2,827,0,0.0,ok
split_regime,robustness,risk_on,pairwise,seed_volatile_chop_flag,seed_late_bloomer_flag,2,827,59,0.07134220072551391,ok
split_regime,robustness,transition,overlap_n,,,0,123,22,0.17886178861788618,ok
split_regime,robustness,transition,overlap_n,,,1,123,75,0.6097560975609756,ok
split_regime,robustness,transition,overlap_n,,,2,123,13,0.10569105691056911,ok
split_regime,robustness,transition,overlap_n,,,3,123,11,0.08943089430894309,ok
split_regime,robustness,transition,overlap_n,,,4,123,2,0.016260162601626018,ok
split_regime,robustness,transition,overlap_n,,,5,123,0,0.0,ok
split_regime,robustness,transition,pairwise,seed_early_momentum_flag,seed_late_bloomer_flag,2,123,0,0.0,ok
split_regime,robustness,transition,pairwise,seed_gap_or_event_driven_flag,seed_shakeout_reversal_flag,2,123,18,0.14634146341463414,ok
split_regime,robustness,transition,pairwise,seed_gap_or_event_driven_flag,seed_volatile_chop_flag,2,123,3,0.024390243902439025,ok
split_regime,robustness,transition,pairwise,seed_gap_or_event_driven_flag,seed_early_momentum_flag,2,123,3,0.024390243902439025,ok
split_regime,robustness,transition,pairwise,seed_gap_or_event_driven_flag,seed_late_bloomer_flag,2,123,15,0.12195121951219512,ok
split_regime,robustness,transition,pairwise,seed_shakeout_reversal_flag,seed_volatile_chop_flag,2,123,4,0.032520325203252036,ok
split_regime,robustness,transition,pairwise,seed_shakeout_reversal_flag,seed_early_momentum_flag,2,123,0,0.0,ok
split_regime,robustness,transition,pairwise,seed_shakeout_reversal_flag,seed_late_bloomer_flag,2,123,13,0.10569105691056911,ok
split_regime,robustness,transition,pairwise,seed_volatile_chop_flag,seed_early_momentum_flag,2,123,0,0.0,ok
split_regime,robustness,transition,pairwise,seed_volatile_chop_flag,seed_late_bloomer_flag,2,123,2,0.016260162601626018,ok
split_regime,train,all,overlap_n,,,0,1080,264,0.24444444444444444,ok
split_regime,train,all,overlap_n,,,1,1080,416,0.3851851851851852,ok
split_regime,train,all,overlap_n,,,2,1080,260,0.24074074074074073,ok
split_regime,train,all,overlap_n,,,3,1080,119,0.11018518518518519,ok
split_regime,train,all,overlap_n,,,4,1080,21,0.019444444444444445,ok
split_regime,train,all,overlap_n,,,5,1080,0,0.0,ok
split_regime,train,all,pairwise,seed_early_momentum_flag,seed_late_bloomer_flag,2,1080,0,0.0,ok
split_regime,train,all,pairwise,seed_gap_or_event_driven_flag,seed_shakeout_reversal_flag,2,1080,174,0.16111111111111112,ok
split_regime,train,all,pairwise,seed_gap_or_event_driven_flag,seed_volatile_chop_flag,2,1080,73,0.06759259259259259,ok
