variant,seed,feature,gain,split_count
plus_core_reversal,20260724,KLEN,77.33046007156372,16
plus_core_reversal,20260724,RSQR10,16.81483891606331,9
plus_core_reversal,20260724,CORR5,35.840829372406006,11
plus_core_reversal,20260724,CORD5,14.18992030620575,6
plus_core_reversal,20260724,CORR10,30.332398414611816,11
plus_core_reversal,20260724,ROC60,35.59528228640556,12
plus_core_reversal,20260724,RESI10,49.3751545548439,22
plus_core_reversal,20260724,VSTD5,0.0,0
plus_core_reversal,20260724,RSQR60,30.79060697555542,13
plus_core_reversal,20260724,CORR60,15.015306830406189,6
plus_core_reversal,20260724,WVMA60,39.755343064665794,12
plus_core_reversal,20260724,STD5,44.46162639558315,12
plus_core_reversal,20260724,RSQR20,16.02117060124874,7
plus_core_reversal,20260724,CORD60,38.300332605838776,11
plus_core_reversal,20260724,CORD10,19.815753996372223,6
plus_core_reversal,20260724,CORR20,48.53735486418009,14
plus_core_reversal,20260724,KLOW,14.78392519801855,6
plus_core_reversal,20260724,close_momentum_20d,45.79888886958361,15
plus_core_reversal,20260724,close_reversal_5d,55.82344005256891,18
plus_core_reversal,20260724,volume_surprise_20d,52.56376174092293,15
plus_core_reversal,20260725,RESI5,84.1182703692466,23
plus_core_reversal,20260725,WVMA5,18.756327867507935,11
plus_core_reversal,20260725,RSQR5,10.091801423579454,6
plus_core_reversal,20260725,KLEN,51.738632157444954,13
plus_core_reversal,20260725,RSQR10,30.225020825862885,9
plus_core_reversal,20260725,CORR5,40.65639692544937,11
plus_core_reversal,20260725,CORD5,25.771617829799652,14
plus_core_reversal,20260725,CORR10,30.23616959247738,15
plus_core_reversal,20260725,ROC60,40.31652808189392,13
plus_core_reversal,20260725,RESI10,48.209548622369766,14
plus_core_reversal,20260725,VSTD5,16.601400017738342,6
plus_core_reversal,20260725,RSQR60,28.20038914680481,12
plus_core_reversal,20260725,CORR60,18.309533953666687,7
plus_core_reversal,20260725,WVMA60,61.121634900569916,18
plus_core_reversal,20260725,STD5,36.1337097796204,15
plus_core_reversal,20260725,RSQR20,18.895122215151787,12
plus_core_reversal,20260725,CORD60,45.451430916786194,11
plus_core_reversal,20260725,CORD10,25.167978686396964,11
plus_core_reversal,20260725,CORR20,50.38216780836228,14
plus_core_reversal,20260725,KLOW,25.282400906085968,8
plus_core_reversal,20260725,close_momentum_20d,72.9001978635788,25
plus_core_reversal,20260725,close_reversal_5d,48.86833852529526,13
plus_core_reversal,20260725,volume_surprise_20d,47.570224702358246,9
plus_core_reversal,20260726,RESI5,43.25711306929588,12
plus_core_reversal,20260726,WVMA5,38.91671419143677,16
plus_core_reversal,20260726,RSQR5,32.85626137256622,14
plus_core_reversal,20260726,KLEN,73.41251130402088,16
plus_core_reversal,20260726,RSQR10,19.88381975889206,9
plus_core_reversal,20260726,CORR5,25.984913110733032,8
plus_core_reversal,20260726,CORD5,16.271874129772186,8
plus_core_reversal,20260726,CORR10,37.75001464784145,12
plus_core_reversal,20260726,ROC60,49.214813113212585,15
plus_core_reversal,20260726,RESI10,61.80133706331253,19
plus_core_reversal,20260726,VSTD5,6.838701546192169,4
plus_core_reversal,20260726,RSQR60,16.884016467723995,8
plus_core_reversal,20260726,CORR60,30.61585995554924,11
plus_core_reversal,20260726,WVMA60,18.96819019317627,3
plus_core_reversal,20260726,STD5,45.641548067331314,13
plus_core_reversal,20260726,RSQR20,12.807374238967896,5
plus_core_reversal,20260726,CORD60,44.4213604927063,13
plus_core_reversal,20260726,CORD10,21.25007301568985,10
plus_core_reversal,20260726,CORR20,30.055591344833374,7
plus_core_reversal,20260726,KLOW,30.042437374591827,8
plus_core_reversal,20260726,close_momentum_20d,53.657437801361084,20
plus_core_reversal,20260726,close_reversal_5d,35.72637146525085,10
plus_core_reversal,20260726,volume_surprise_20d,79.365135461092,20
plus_core_reversal,20260727,RESI5,40.30601966381073,9
plus_core_reversal,20260727,WVMA5,25.10022735595703,10
plus_core_reversal,20260727,RSQR5,14.02078828215599,7
plus_core_reversal,20260727,KLEN,59.759500260192,15
plus_core_reversal,20260727,RSQR10,4.247859954833984,3
