membership_date,board_bucket,listed_instrument_count,candidate_with_daily_bar_count,excluded_missing_daily_bar_count,excluded_not_listed_count,excluded_st_count,excluded_suspended_count,excluded_missing_market_cap_count,eligible_count,status_source
2017-04-26,main_board,2572,2236,336,0,52,0,0,1424,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-27,chinext,630,541,89,0,0,0,0,133,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-27,main_board,2574,2236,338,0,53,0,0,1421,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-28,chinext,630,543,87,0,0,0,0,135,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-28,main_board,2574,2232,342,0,52,0,0,1415,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-02,chinext,630,540,90,0,0,0,0,134,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-02,main_board,2575,2228,347,0,53,0,0,1408,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-03,chinext,632,545,87,0,0,0,0,135,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-03,main_board,2577,2239,338,0,56,0,0,1416,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-04,chinext,632,545,87,0,0,0,0,136,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-04,main_board,2578,2238,340,0,56,0,0,1418,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-05,chinext,634,547,87,0,0,0,0,139,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-05,main_board,2579,2236,343,0,56,0,0,1415,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-08,chinext,634,547,87,0,0,0,0,138,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-08,main_board,2579,2235,344,0,56,0,0,1415,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-09,chinext,635,548,87,0,0,0,0,138,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-09,main_board,2581,2240,341,0,56,0,0,1421,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-10,chinext,635,545,90,0,0,0,0,138,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-10,main_board,2583,2239,344,0,56,0,0,1420,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
