instrument,anchor_row_n,qfq_row_n,missing_qfq_file_flag,missing_reference_pos_n,missing_entry_pos_n,missing_entry_price_n,min_available_forward_sessions,median_available_forward_sessions,max_available_forward_sessions,price_path_status,blocking_reason
SH601100,871,2281,False,0,0,0,125.0,1100.0,2030.0,pass,
SH601106,240,2279,False,0,0,0,1129.0,1459.5,1953.0,pass,
SH601107,1,2260,False,0,0,0,1729.0,1729.0,1729.0,pass,
SH601108,396,2080,False,0,0,0,125.0,377.5,949.0,pass,
SH601111,869,2280,False,0,0,0,125.0,1099.0,2029.0,pass,
SH601117,871,2281,False,0,0,0,125.0,1100.0,2030.0,pass,
SH601118,341,2163,False,0,0,0,1202.0,1510.0,1917.0,pass,
SH601127,399,2266,False,0,0,0,125.0,379.0,1063.0,pass,
SH601136,304,829,False,0,0,0,125.0,309.5,768.0,pass,
SH601138,271,1933,False,0,0,0,125.0,293.0,542.0,pass,
SH601139,288,2281,False,0,0,0,1087.0,1469.5,1763.0,pass,
SH601155,756,2279,False,0,0,0,154.0,1191.5,2030.0,pass,
SH601156,144,1204,False,0,0,0,394.0,928.5,1143.0,pass,
SH601158,146,2281,False,0,0,0,519.0,1131.5,1742.0,pass,
SH601162,749,1839,False,0,0,0,125.0,1173.0,1765.0,pass,
SH601163,16,2281,False,0,0,0,1992.0,2022.5,2030.0,pass,
SH601166,342,2281,False,0,0,0,125.0,350.5,820.0,pass,
SH601168,686,2212,False,0,0,0,125.0,832.5,2030.0,pass,
SH601169,728,2273,False,0,0,0,125.0,1116.5,2030.0,pass,
SH601179,582,2281,False,0,0,0,125.0,929.0,1771.0,pass,
SH601186,840,2281,False,0,0,0,125.0,1092.5,2030.0,pass,
SH601187,69,1355,False,0,0,0,1177.0,1213.0,1294.0,pass,
SH601198,849,2261,False,0,0,0,105.0,1113.0,2010.0,pass,
SH601200,20,2223,False,0,0,0,1945.0,2020.5,2030.0,pass,
SH601211,388,2262,False,0,0,0,125.0,373.5,930.0,pass,
SH601212,345,2212,False,0,0,0,125.0,1507.0,2025.0,pass,
SH601216,830,2200,False,0,0,0,125.0,1081.5,1953.0,pass,
SH601222,6,2281,False,0,0,0,1069.0,1074.5,1083.0,pass,
SH601225,871,2281,False,0,0,0,125.0,1100.0,2030.0,pass,
