stage,model_id,seed,split,board_bucket,calendar_month,model_budget,random_denominator_n,random_selected_n,sample_weight_sum,random_rate,retention_rank_rule
stage_2,logistic_regression_l2,120600,train,main_board,2020-01,0.7142857142857143,25,17,25.0,0.29411764705882354,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,main_board,2020-02,0.5,17,8,17.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,main_board,2020-03,0.25,8,2,8.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,main_board,2020-05,0.75,115,86,115.0,0.5465116279069767,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,main_board,2020-06,0.6404494382022472,177,113,177.0,0.1504424778761062,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,main_board,2020-07,0.29098360655737704,203,59,203.0,0.1694915254237288,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,main_board,2020-08,0.16666666666666666,32,5,32.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,main_board,2020-09,0.4375,29,12,29.0,0.16666666666666666,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,main_board,2020-10,0.5777777777777777,47,27,47.0,0.07407407407407407,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,main_board,2020-11,0.44680851063829785,135,60,135.0,0.2,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,main_board,2020-12,0.6164383561643836,89,54,89.0,0.2777777777777778,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,main_board,2021-01,0.5555555555555556,68,37,68.0,0.10810810810810811,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,main_board,2021-02,0.23880597014925373,48,11,48.0,0.09090909090909091,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,main_board,2021-03,0.42857142857142855,5,2,5.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,main_board,2021-04,0.3333333333333333,3,1,3.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,main_board,2021-05,0.5436893203883495,105,57,105.0,0.14035087719298245,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,main_board,2021-06,0.5416666666666666,82,44,82.0,0.20454545454545456,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
