split,J,K,first_evaluable_signal_month_by_JK,first_evaluable_first_holding_month_by_JK,last_evaluable_first_holding_month_by_JK,evaluable_first_holding_month_count,candidate_first_holding_month_count,min_signal_eligible_instrument_count,min_intermediate_month_coverage_share,primary_local_decision_cell,cell_status
validation,18,18,2021-12,2022-01,2023-12,24,24,205.0,0.9411764705882353,False,complete
validation,18,24,2021-12,2022-01,2023-12,24,24,205.0,0.9411764705882353,False,complete
validation,18,30,2021-12,2022-01,2023-11,23,24,205.0,0.9411764705882353,False,complete
validation,18,36,2021-12,2022-01,2023-05,17,24,205.0,0.9411764705882353,False,complete
validation,18,42,2021-12,2022-01,2022-11,11,24,205.0,0.9411764705882353,False,complete
validation,18,48,2021-12,2022-01,2022-05,5,24,206.0,0.9411764705882353,False,complete
validation,24,1,2021-12,2022-01,2023-12,24,24,204.0,0.9130434782608695,True,complete
validation,24,6,2021-12,2022-01,2023-12,24,24,204.0,0.9130434782608695,True,complete
validation,24,12,2021-12,2022-01,2023-12,24,24,204.0,0.9130434782608695,True,complete
validation,24,18,2021-12,2022-01,2023-12,24,24,204.0,0.9130434782608695,False,complete
validation,24,24,2021-12,2022-01,2023-12,24,24,204.0,0.9130434782608695,False,complete
validation,24,30,2021-12,2022-01,2023-11,23,24,204.0,0.9130434782608695,False,complete
validation,24,36,2021-12,2022-01,2023-05,17,24,204.0,0.9130434782608695,False,complete
validation,24,42,2021-12,2022-01,2022-11,11,24,204.0,0.9130434782608695,False,complete
validation,24,48,2021-12,2022-01,2022-05,5,24,204.0,0.9130434782608695,False,complete
validation,30,1,2021-12,2022-01,2023-12,24,24,199.0,0.9310344827586207,True,complete
validation,30,6,2021-12,2022-01,2023-12,24,24,199.0,0.9310344827586207,True,complete
validation,30,12,2021-12,2022-01,2023-12,24,24,199.0,0.9310344827586207,True,complete
validation,30,18,2021-12,2022-01,2023-12,24,24,199.0,0.9310344827586207,False,complete
validation,30,24,2021-12,2022-01,2023-12,24,24,199.0,0.9310344827586207,False,complete
validation,30,30,2021-12,2022-01,2023-11,23,24,199.0,0.9310344827586207,False,complete
validation,30,36,2021-12,2022-01,2023-05,17,24,199.0,0.9310344827586207,False,complete
validation,30,42,2021-12,2022-01,2022-11,11,24,199.0,0.9310344827586207,False,complete
validation,30,48,2021-12,2022-01,2022-05,5,24,199.0,0.9310344827586207,False,complete
validation,36,1,2021-12,2022-01,2023-12,24,24,198.0,0.5428571428571428,True,complete
validation,36,6,2021-12,2022-01,2023-12,24,24,198.0,0.5428571428571428,True,complete
validation,36,12,2021-12,2022-01,2023-12,24,24,198.0,0.5428571428571428,True,complete
validation,36,18,2021-12,2022-01,2023-12,24,24,198.0,0.5428571428571428,False,complete
validation,36,24,2021-12,2022-01,2023-12,24,24,198.0,0.5428571428571428,False,complete
validation,36,30,2021-12,2022-01,2023-11,23,24,198.0,0.5428571428571428,False,complete
validation,36,36,2021-12,2022-01,2023-05,17,24,198.0,0.5428571428571428,False,complete
validation,36,42,2021-12,2022-01,2022-11,11,24,198.0,0.5428571428571428,False,complete
validation,36,48,2021-12,2022-01,2022-05,5,24,198.0,0.5428571428571428,False,complete
validation,42,1,2021-12,2022-01,2023-12,24,24,192.0,0.6097560975609756,True,complete
validation,42,6,2021-12,2022-01,2023-12,24,24,192.0,0.6097560975609756,True,complete
validation,42,12,2021-12,2022-01,2023-12,24,24,192.0,0.6097560975609756,True,complete
validation,42,18,2021-12,2022-01,2023-12,24,24,192.0,0.6097560975609756,False,complete
validation,42,24,2021-12,2022-01,2023-12,24,24,192.0,0.6097560975609756,False,complete
validation,42,30,2021-12,2022-01,2023-11,23,24,192.0,0.6097560975609756,False,complete
validation,42,36,2021-12,2022-01,2023-05,17,24,192.0,0.6097560975609756,False,complete
validation,42,42,2021-12,2022-01,2022-11,11,24,192.0,0.6097560975609756,False,complete
validation,42,48,2021-12,2022-01,2022-05,5,24,192.0,0.6097560975609756,False,complete
validation,48,1,2021-12,2022-01,2023-12,24,24,186.0,0.6595744680851063,True,complete
validation,48,6,2021-12,2022-01,2023-12,24,24,186.0,0.6595744680851063,True,complete
validation,48,12,2021-12,2022-01,2023-12,24,24,186.0,0.6595744680851063,True,complete
validation,48,18,2021-12,2022-01,2023-12,24,24,186.0,0.6595744680851063,False,complete
validation,48,24,2021-12,2022-01,2023-12,24,24,186.0,0.6595744680851063,False,complete
validation,48,30,2021-12,2022-01,2023-11,23,24,186.0,0.6595744680851063,False,complete
validation,48,36,2021-12,2022-01,2023-05,17,24,186.0,0.6595744680851063,False,complete
validation,48,42,2021-12,2022-01,2022-11,11,24,186.0,0.6595744680851063,False,complete
validation,48,48,2021-12,2022-01,2022-05,5,24,186.0,0.6595744680851063,False,complete
