reference_event_id,instrument,split,reference_date,obs_day_count,max_ret_from_entry_first30,min_ret_from_entry_first30,day30_ret_from_entry,all_30_close_above_ma20,all_30_close_above_ma60,any_close_below_ma20,any_close_below_ma60,pct_days_close_above_ma20,pct_days_close_above_ma60,pct_days_ma_bull_stack,median_rsi14_first30,max_rsi14_first30,pct_days_rsi14_gt_70,max_volume_ratio_ma20_first30,median_volume_ratio_ma20_first30,pct_days_volume_ratio_gt_1_5,median_rps120_pct_first30,pct_days_rps120_gt_90,pct_days_above_boll_mid,pct_days_above_boll_upper,pct_days_below_boll_lower
big_winner_50h120_close_confirmed_SH600030_20240408_000031,SH600030,robustness,2024-04-08,30,0.025083547502495085,-0.06744709898554357,-0.0016722790274478205,False,False,True,True,0.5333333333333333,0.0,0.0,46.547937304753205,56.792093701168675,0.0,2.3741665783268813,0.8227688389652315,0.1,0.22895006301197227,0.0,0.5333333333333333,0.0,0.0
big_winner_50h120_close_confirmed_SH600031_20180913_000032,SH600031,train,2018-09-13,30,0.07972023597503552,-0.07552446918188149,-0.013986000461365,False,False,True,True,0.2,0.13333333333333333,0.0,41.560574436075164,55.16056231839695,0.0,1.6046139366246135,0.9312728606166041,0.06666666666666667,0.8547584092361777,0.03333333333333333,0.2,0.0,0.06666666666666667
big_winner_50h120_close_confirmed_SH600031_20200123_000033,SH600031,train,2020-01-23,30,0.3121568268420649,0.0,0.1607843286850874,False,False,True,True,0.7,0.8666666666666667,0.5,53.896530262522354,69.12561089736252,0.0,1.9987655190296485,0.9700265147318468,0.13333333333333333,0.687374749498998,0.0,0.7,0.06666666666666667,0.03333333333333333
big_winner_50h120_close_confirmed_SH600031_20200728_000034,SH600031,train,2020-07-28,30,0.1322751349449185,-0.03703697723382571,0.11322758413703515,False,True,True,False,0.7666666666666667,1.0,0.7333333333333333,55.91230063855373,70.58412479453122,0.03333333333333333,1.7370195680225795,0.9565904165854122,0.06666666666666667,0.6175889328063241,0.0,0.7666666666666667,0.13333333333333333,0.0
big_winner_50h120_close_confirmed_SH600036_20181221_000035,SH600036,train,2018-12-21,30,0.16639742613722963,-0.02477108734691391,0.16370495236866622,False,False,True,True,0.6,0.3,0.0,51.88289019383028,70.69753113638257,0.06666666666666667,1.5971401014128421,0.9020813675385002,0.03333333333333333,0.7395114942528735,0.0,0.6,0.03333333333333333,0.03333333333333333
big_winner_50h120_close_confirmed_SH600036_20200728_000036,SH600036,train,2020-07-28,30,0.1318721852525817,0.0018573267800461313,0.08952451116574789,False,True,True,False,0.6333333333333333,1.0,0.6666666666666666,54.79121530115775,66.7041525386123,0.0,1.8345199206816771,0.7568706297440168,0.03333333333333333,0.4240631163708087,0.0,0.6333333333333333,0.03333333333333333,0.0
big_winner_50h120_close_confirmed_SH600036_20221025_000037,SH600036,validation,2022-10-25,30,0.29011547008225436,-0.04150625527897689,0.2811296302477897,False,False,True,True,0.7,0.5333333333333333,0.0,58.18134905237659,69.54491598139234,0.0,2.4249916318442204,0.9838885163588114,0.1,0.12903225806451613,0.0,0.7,0.1,0.0
big_winner_50h120_close_confirmed_SH600036_20240911_000038,SH600036,robustness,2024-09-11,30,0.32894729077481566,0.004267387208514606,0.2628021785827681,False,False,True,True,0.7,0.8,0.5666666666666667,63.682292064005765,85.88225727188161,0.16666666666666666,3.3065481067177895,0.8566618487740013,0.2,0.7979209874409494,0.0,0.7,0.16666666666666666,0.0
big_winner_50h120_close_confirmed_SH600039_20240820_000039,SH600039,robustness,2024-08-20,30,0.245519696109453,-0.09498203229708702,0.2114695916325504,False,False,True,True,0.4,0.2,0.0,27.942779145025625,83.18654934467952,0.1,2.787130528826933,1.1275351193100875,0.2,0.2321617393571563,0.0,0.4,0.2,0.06666666666666667
big_winner_50h120_close_confirmed_SH600048_20170926_000040,SH600048,train,2017-09-26,30,0.01677420831495713,-0.05032256341749619,-0.023225784301757812,False,False,True,True,0.3333333333333333,0.4,0.4,45.94181883133763,59.02958116233097,0.0,2.0259799099717424,0.8995034949685157,0.16666666666666666,,0.0,0.3333333333333333,0.0,0.0
big_winner_50h120_close_confirmed_SH600048_20210719_000041,SH600048,train,2021-07-19,30,0.14516122581807567,-0.12043009275149086,0.017204284315123886,False,False,True,True,0.5,0.36666666666666664,0.0,46.93432418046423,68.61780417396051,0.0,2.717885178956828,1.1758589563109592,0.23333333333333334,0.1274131274131274,0.0,0.5,0.03333333333333333,0.16666666666666666
big_winner_50h120_close_confirmed_SH600048_20240416_000042,SH600048,robustness,2024-04-16,30,0.423545419191812,0.00947228321056337,0.2895805013733104,False,False,True,True,0.7666666666666667,0.6333333333333333,0.13333333333333333,58.636510262224235,76.67316310713079,0.13333333333333333,2.679169015793022,0.9134429504306767,0.3333333333333333,0.2379140072451268,0.0,0.7666666666666667,0.16666666666666666,0.0
big_winner_50h120_close_confirmed_SH600050_20181018_000043,SH600050,train,2018-10-18,30,0.1357143327492456,0.033333416590618725,0.05952381222696812,False,False,True,True,0.7,0.43333333333333335,0.0,52.87423238096098,61.53816864328069,0.0,1.7289186539836359,1.0093832414943813,0.06666666666666667,0.8081585319602065,0.0,0.7,0.06666666666666667,0.06666666666666667
big_winner_50h120_close_confirmed_SH600050_20220610_000044,SH600050,validation,2022-06-10,30,0.022580701230593636,-0.019354820846890552,-0.0064516069489635175,False,False,True,True,0.36666666666666664,0.16666666666666666,0.0,47.853351487104064,61.886269558545045,0.0,2.846136782366276,0.7205777357885601,0.1,0.47478725330436355,0.0,0.36666666666666664,0.03333333333333333,0.03333333333333333
big_winner_50h120_close_confirmed_SH600050_20240902_000045,SH600050,robustness,2024-09-02,30,0.19772724243235063,-0.03409093002642438,0.11136358193129658,False,False,True,True,0.6333333333333333,0.6333333333333333,0.4,56.41623799135145,85.93735502088539,0.13333333333333333,3.75311210513454,0.9219928576502525,0.23333333333333334,0.699047619047619,0.0,0.6333333333333333,0.13333333333333333,0.03333333333333333
big_winner_50h120_close_confirmed_SH600061_20200203_000046,SH600061,train,2020-02-03,30,0.31884061676743247,0.0840579587956034,0.08695650671590571,False,False,True,True,0.4666666666666667,0.8333333333333334,0.5,48.84141814988577,61.40885473644132,0.0,1.8977782412811457,0.9662730446773322,0.06666666666666667,0.4915269063466692,0.0,0.4666666666666667,0.03333333333333333,0.1
big_winner_50h120_close_confirmed_SH600085_20220429_000047,SH600085,validation,2022-04-29,30,0.394669633917774,0.07626874374244186,0.394669633917774,False,False,True,True,0.9666666666666667,0.6666666666666666,0.13333333333333333,59.68253876535194,73.91069258919214,0.06666666666666667,2.0404747901406193,0.8885606449112226,0.1,0.9568576261214885,1.0,0.9666666666666667,0.1,0.0
big_winner_50h120_close_confirmed_SH600085_20230106_000048,SH600085,validation,2023-01-06,30,0.16388958723285962,0.01318086560710241,0.14623231042016704,False,False,True,True,0.7666666666666667,0.43333333333333335,0.0,53.82912410583485,63.95281040049282,0.0,2.121354339094598,0.8254682880797071,0.2,0.41840937896070973,0.0,0.7666666666666667,0.03333333333333333,0.0
big_winner_50h120_close_confirmed_SH600089_20210713_000049,SH600089,train,2021-07-13,30,0.1497583748726823,-0.05410631874171756,0.1497583748726823,True,True,False,False,1.0,1.0,1.0,65.38819117061816,79.1934487962244,0.3333333333333333,2.275296321527211,0.924938491214542,0.1,0.7538750446001015,0.0,1.0,0.1,0.0
big_winner_50h120_close_confirmed_SH600089_20220110_000050,SH600089,validation,2022-01-10,30,0.06616542118953883,-0.03157895265193522,0.048120254170693766,False,False,True,True,0.36666666666666664,0.0,0.0,42.8208058462845,57.848196088828075,0.0,2.111129211805005,0.8687392572297526,0.1,0.84555926998431,0.0,0.36666666666666664,0.03333333333333333,0.0
big_winner_50h120_close_confirmed_SH600089_20250407_000051,SH600089,robustness,2025-04-07,30,0.07706423687940944,0.02935785868785956,0.06330280350511197,False,False,True,True,0.43333333333333335,0.0,0.1,43.00423259001258,58.38963994136359,0.0,2.738509129243116,0.7326134639058932,0.03333333333333333,0.20630208865470787,0.0,0.43333333333333335,0.06666666666666667,0.0
big_winner_50h120_close_confirmed_SH600089_20250929_000052,SH600089,robustness,2025-09-29,30,0.561579320698375,0.048909838378890624,0.3429582697503599,True,True,False,False,1.0,1.0,1.0,68.55831408305968,84.19040210053392,0.4666666666666667,2.518968454345332,1.2119235351857534,0.26666666666666666,0.8895238095238095,0.4,1.0,0.3333333333333333,0.0
big_winner_50h120_close_confirmed_SH600096_20251009_000053,SH600096,robustness,2025-10-09,30,0.26973447546494755,-0.02761064377506217,0.14690270888066914,True,True,False,False,1.0,1.0,0.9333333333333333,60.73755055941139,80.35895189602613,0.26666666666666666,3.407293736114243,1.145483896545412,0.3,0.7411986239362665,0.0,1.0,0.2,0.0
big_winner_50h120_close_confirmed_SH600104_20200513_000054,SH600104,train,2020-05-13,30,-0.027624354674561147,-0.09023948054551334,-0.06629839267540694,False,False,True,True,0.1,0.0,0.0,42.9131417235771,52.05153089783374,0.0,2.832187583043106,1.0711791978885075,0.13333333333333333,0.08224682296319547,0.0,0.1,0.0,0.0
big_winner_50h120_close_confirmed_SH600104_20240704_000055,SH600104,robustness,2024-07-04,30,0.09070300865154923,-0.024943305753907352,-0.015117144080515232,False,False,True,True,0.6,0.5333333333333333,0.26666666666666666,53.69331704820147,70.4862687623624,0.03333333333333333,3.2424182424954755,0.9510221777569892,0.13333333333333333,0.5738636363636365,0.0,0.6,0.13333333333333333,0.16666666666666666
big_winner_50h120_close_confirmed_SH600111_20201125_000056,SH600111,train,2020-11-25,30,-0.0035842431124375462,-0.18136199050632584,-0.02795694587676001,False,False,True,True,0.5666666666666667,0.9333333333333333,0.6666666666666666,55.15961013325829,80.00423813513328,0.03333333333333333,2.3165578497565233,0.89432360401733,0.1,0.655812324929972,0.0,0.5666666666666667,0.06666666666666667,0.0
