split_bucket,denominator_type,operating_point_id,score_action_bucket,label_class,row_n,row_share,mean_y_payoff_h20,mean_continue_value,mean_defend_value,mean_defend_advantage,sum_incremental_return,mean_incremental_return_on_full_denominator,positive_opportunity_cost,negative_avoidance_gain,neutral_contribution,continued_positive_retained,continued_negative_leakage,decomposition_status,blocking_reason
validation,labelable_full,defend_bottom30_continue_rest,defended,positive,71,0.10692771084337349,0.1499861428967324,0.1499861428967324,-0.005,-0.15498614289673243,-11.004016145668002,-0.01657231347239157,0.01657231347239157,0.0,0.0,0.0,0.0,pass,
validation,labelable_full,defend_bottom30_continue_rest,defended,negative,70,0.10542168674698796,-0.11948015941520938,-0.11948015941520938,-0.005,0.11448015941520939,8.013611159064657,0.012068691504615448,0.0,0.012187634308006231,0.0,0.0,0.0,pass,
validation,labelable_full,defend_bottom30_continue_rest,defended,neutral,44,0.06626506024096386,-0.04873545732305454,-0.04873545732305454,-0.005000000000000001,0.04373545732305454,1.9243601222143998,0.0028981327141783127,0.0,0.0,0.0028981327141783127,0.0,0.0,pass,
validation,labelable_full,defend_bottom30_continue_rest,continued,positive,254,0.3825301204819277,0.13137189848774822,0.13137189848774822,-0.005,-0.1363718984877482,0.0,0.0,0.0,0.0,0.0,0.05216635875886753,0.0,pass,
validation,labelable_full,defend_bottom30_continue_rest,continued,negative,110,0.16566265060240964,-0.10094292836394991,-0.10094292836394991,-0.004999999999999999,0.09594292836394991,0.0,0.0,0.0,0.0,0.0,0.0,0.017448603484194098,pass,
validation,labelable_full,defend_bottom30_continue_rest,continued,neutral,115,0.17319277108433734,-0.04301345097041202,-0.04301345097041202,-0.004999999999999999,0.03801345097041202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pass,
train,labelable_full,defend_bottom40_continue_rest,defended,positive,3433,0.16957273400839715,0.10452812531648493,0.10452812531648493,-0.005,-0.10952812531648493,-376.01005421149273,-0.018572983660730687,0.018572983660730687,0.0,0.0,0.0,0.0,pass,
train,labelable_full,defend_bottom40_continue_rest,defended,negative,2419,0.11948629291183008,-0.11391554182434381,-0.11391554182434381,-0.004999999999999999,0.1089155418243438,263.46669567308766,0.013013914333074224,0.0,0.013764890564183896,0.0,0.0,0.0,pass,
train,labelable_full,defend_bottom40_continue_rest,defended,neutral,2246,0.11094097307977278,-0.04051485041683683,-0.04051485041683683,-0.005,0.035514850416836816,79.76635403621549,0.00394005206402645,0.0,0.0,0.00394005206402645,0.0,0.0,pass,
train,labelable_full,defend_bottom40_continue_rest,continued,positive,6645,0.3282291923931835,0.11819068288057037,0.11819068288057037,-0.004999999999999999,-0.12319068288057035,0.0,0.0,0.0,0.0,0.0,0.04043477835225438,0.0,pass,
