auc,rank_ic,rank_ic_ci95_low,rank_ic_ci95_high,top_decile_winner_rate,base_winner_rate,top_decile_lift_abs,top_decile_lift_ratio,top_decile_lift_ci95_low,top_decile_lift_ci95_high,bottom_decile_winner_rate,top_minus_bottom_spread,positive_n,denominator_n,horizon_complete_n,horizon_complete_rate,censored_n,censored_rate,rank_evaluable_n,rank_not_evaluable_rate,top_decile_positive_n,raw_separability_status,search_adjusted_status,denominator_id,label_id,feature_id,selected_feature_id,selected_orientation,orientation,feature_time_bucket,label_reference_view,split,label_grid_size,feature_grid_size,effective_search_size,instrument_n,instrument_month_block_n,effective_block_n
0.4733760772448745,-0.034045886983202565,-0.15684924478698972,0.0887574708205846,0.15492957746478872,0.16267605633802817,-0.007746478873239454,0.9523809523809523,-0.15523442449862077,0.13974146675214186,0.176056338028169,-0.02112676056338028,231,1420,1420,1.0,0,0.0,1420,0.0,22,fail,fail,c0_posthoc_no_fast_fail_survivor,vol20d_kup2p0_kdn1p0_H20,freshness_decay_tau_10,freshness_decay_tau_5,asc,asc,t0_pit,c0_entry_anchor,validation,75,88,13200,541,1344,1344
0.49643581838970663,-0.005019110014810736,-0.08634459988490023,0.07630637985527874,0.21296296296296297,0.20871985157699444,0.004243111385968529,1.0203292181069958,-0.10596550772047883,0.11445173049241589,0.2037037037037037,0.009259259259259273,675,3234,3234,1.0,0,0.0,3234,0.0,69,fail,fail,c0_posthoc_no_fast_fail_survivor,vol20d_kup2p0_kdn1p0_H20,freshness_decay_tau_10,freshness_decay_tau_5,asc,asc,t0_pit,c0_entry_anchor,robustness,75,88,13200,639,2900,2900
0.517648021055831,0.025504743576202353,-0.023413340319193385,0.07442282747159809,0.26286353467561524,0.22400089555580432,0.038862639119810916,1.173493231013129,-0.03218254902064817,0.10990782726027,0.2348993288590604,0.027964205816554843,2001,9481,9481,1.0,0,0.0,8933,0.05779981014660901,235,fail,fail,c0_posthoc_no_fast_fail_survivor,vol20d_kup2p0_kdn1p0_H20,sessions_since_prior_r_core_event,freshness_decay_tau_5,asc,desc,t0_pit,c0_entry_anchor,all,75,88,13200,1114,8564,8564
0.5265417657178394,0.040128476800344925,-0.029434896621410134,0.10969185022209998,0.38461538461538464,0.2554876668929622,0.12912771772242243,1.5054166382775773,0.017939276040823224,0.24031615940402162,0.248868778280543,0.13574660633484165,1129,4827,4827,1.0,0,0.0,4419,0.08452454940957116,170,fail,fail,c0_posthoc_no_fast_fail_survivor,vol20d_kup2p0_kdn1p0_H20,sessions_since_prior_r_core_event,freshness_decay_tau_5,asc,desc,t0_pit,c0_entry_anchor,train,75,88,13200,829,4320,4320
0.4892718972918692,-0.01374740714629673,-0.13960783163011767,0.1121130173375242,0.11029411764705882,0.16346153846153846,-0.05316742081447964,0.6747404844290658,-0.18575734673877578,0.0794225051098165,0.19852941176470587,-0.08823529411764705,221,1420,1420,1.0,0,0.0,1352,0.04788732394366197,15,fail,fail,c0_posthoc_no_fast_fail_survivor,vol20d_kup2p0_kdn1p0_H20,sessions_since_prior_r_core_event,freshness_decay_tau_5,asc,desc,t0_pit,c0_entry_anchor,validation,75,88,13200,541,1344,1344
0.5203926073968853,0.028583885195484028,-0.05366316938746015,0.1108309397784282,0.22082018927444794,0.20588235294117646,0.014937836333271476,1.0725552050473186,-0.09777230817649223,0.1276479808430352,0.22082018927444794,0.0,651,3234,3234,1.0,0,0.0,3162,0.022263450834879406,70,fail,fail,c0_posthoc_no_fast_fail_survivor,vol20d_kup2p0_kdn1p0_H20,sessions_since_prior_r_core_event,freshness_decay_tau_5,asc,desc,t0_pit,c0_entry_anchor,robustness,75,88,13200,639,2900,2900
0.5585140232647449,0.08590342588657714,0.038420571879688704,0.13338627989346558,0.37407797681770283,0.23467988608796542,0.1393980907297374,1.593992493576917,0.06405095313956687,0.21474522831990794,0.2781875658587987,0.0958904109589041,2225,9481,9481,1.0,0,0.0,9481,0.0,355,pass,pass,c0_posthoc_no_fast_fail_survivor,vol20d_kup2p0_kdn1p0_H20,event_t0_pos,freshness_decay_tau_5,asc,asc,t0_pit,c0_entry_anchor,all,75,88,13200,1114,8564,8564
0.556072203208436,0.08655956861257429,0.020002908965679342,0.15311622825946924,0.33126293995859213,0.273254609488295,0.05800833047029713,1.2122867408492224,-0.04533659458981314,0.1613532555304074,0.16356107660455488,0.16770186335403725,1319,4827,4827,1.0,0,0.0,4827,0.0,160,fail,fail,c0_posthoc_no_fast_fail_survivor,vol20d_kup2p0_kdn1p0_H20,event_t0_pos,freshness_decay_tau_5,asc,asc,t0_pit,c0_entry_anchor,train,75,88,13200,829,4320,4320
0.5006662807335642,0.0008518582017445751,-0.12195149960204259,0.12365521600553174,0.19718309859154928,0.16267605633802817,0.03450704225352111,1.212121212121212,-0.1263419011644039,0.19535598567144613,0.1267605633802817,0.0704225352112676,231,1420,1420,1.0,0,0.0,1420,0.0,28,fail,fail,c0_posthoc_no_fast_fail_survivor,vol20d_kup2p0_kdn1p0_H20,event_t0_pos,freshness_decay_tau_5,asc,asc,t0_pit,c0_entry_anchor,validation,75,88,13200,541,1344,1344
0.4585471755460032,-0.058357128723234376,-0.13968261859332387,0.02296836114685511,0.2037037037037037,0.20871985157699444,-0.005016147873290744,0.9759670781893004,-0.1135965478947894,0.10356425214820791,0.17901234567901234,0.024691358024691357,675,3234,3234,1.0,0,0.0,3234,0.0,66,fail,fail,c0_posthoc_no_fast_fail_survivor,vol20d_kup2p0_kdn1p0_H20,event_t0_pos,freshness_decay_tau_5,asc,asc,t0_pit,c0_entry_anchor,robustness,75,88,13200,639,2900,2900
0.5368601885460154,0.054113758192522864,0.006630904185634431,0.1015966121994113,0.2718651211801897,0.23467988608796542,0.03718523509222427,1.1584508826559003,-0.03254491737437422,0.10691538755882275,0.22233930453108536,0.049525816649104326,2225,9481,9481,1.0,0,0.0,9481,0.0,258,fail,fail,c0_posthoc_no_fast_fail_survivor,vol20d_kup2p0_kdn1p0_H20,momentum_percentile_20d,freshness_decay_tau_5,asc,asc,t0_pit,c0_entry_anchor,all,75,88,13200,1114,8564,8564
