split,anchor_family_id,baseline_id,diagnostic_axis,diagnostic_bucket,diagnostic_bucket_source,anchor_event_count,baseline_event_count,anchor_p05_after_cost_return_H20,baseline_p05_after_cost_return_H20,p05_diff_vs_baseline,anchor_max_adverse_excursion_mean_H20,baseline_max_adverse_excursion_mean_H20,mae_worsening_vs_baseline,top1_instrument_year_pnl_share,top5_instrument_exposure_share,interpretation_status
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,industry_bucket,基础化工,linked_deferred_event,9,9,-0.12529440634298825,0.05855786480051342,-0.18385227114350167,-0.07153869930395845,-0.033839299917161475,-0.03769939938679698,,,too_sparse
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,industry_bucket,家用电器,linked_deferred_event,4,2,-0.08230950078260535,0.06802902749794655,-0.1503385282805519,-0.08876620658216614,-0.06897324432530566,-0.019792962256860475,,,too_sparse
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,industry_bucket,建筑材料,linked_deferred_event,2,2,0.035544404473486266,0.1394353852133739,-0.10389098073988763,-0.09428402787889134,-0.010967098703888345,-0.083316929175003,,,too_sparse
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,industry_bucket,建筑装饰,linked_deferred_event,8,4,-0.2161958791103071,-0.043794641525105454,-0.17240123758520165,-0.1291784301984159,-0.04128945561653266,-0.08788897458188324,,,too_sparse
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,industry_bucket,房地产,linked_deferred_event,13,13,-0.25346710276385376,-0.09833514285659314,-0.1551319599072606,-0.12560766007397112,-0.04780503095054155,-0.07780262912342957,,,too_sparse
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,industry_bucket,有色金属,linked_deferred_event,15,12,-0.17024259838609915,-0.0838873719419069,-0.08635522644419225,-0.11580900341789802,-0.07473542691144036,-0.041073576506457654,,,too_sparse
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,industry_bucket,机械设备,linked_deferred_event,5,4,-0.1800320327179953,-0.14474591328380187,-0.035286119434193436,-0.17282218758522144,-0.07975520939654751,-0.09306697818867393,,,too_sparse
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,industry_bucket,汽车,linked_deferred_event,11,11,-0.17471768228891577,-0.053217924176230724,-0.12149975811268504,-0.11823721566286777,-0.041197601595812386,-0.07703961406705538,,,too_sparse
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,industry_bucket,煤炭,linked_deferred_event,4,3,-0.06247338348956383,0.07475583356204937,-0.1372292170516132,-0.08225549278169086,-0.04398982958866867,-0.038265663193022194,,,too_sparse
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,industry_bucket,电力设备,linked_deferred_event,16,13,-0.18272656893328076,-0.06655977657724442,-0.11616679235603634,-0.10362638985533026,-0.05617897317754129,-0.04744741667778898,,,too_sparse
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,industry_bucket,电子,linked_deferred_event,19,18,-0.16992046166115785,-0.09134605954043831,-0.07857440212071953,-0.13359457497896968,-0.06643037492608922,-0.06716420005288046,,,too_sparse
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,industry_bucket,石油石化,linked_deferred_event,5,4,-0.23280318139268896,-0.01953830965999155,-0.21326487173269743,-0.12821836077404242,-0.04273906484933157,-0.08547929592471085,,,too_sparse
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,industry_bucket,社会服务,linked_deferred_event,1,1,0.27563071931195826,0.16434234322633,0.11128837608562825,-0.031271450635078746,-0.111175506829573,0.07990405619449426,,,too_sparse
