feature_name,bin_value,horizon,positive_label,year,stock_day_count,positive_rate,year_baseline_positive_rate,lift_vs_year_baseline
repair_from_low120,p90_100,120d,future_50pct_high_120d,2020,4174,0.5443219932918064,0.2946033751466474,1.8476434393219503
repair_from_low120,p90_100,120d,future_50pct_high_120d,2021,4922,0.2480698902885006,0.13150943760001543,1.886327664505741
repair_from_low120,p90_100,120d,future_50pct_high_120d,2022,4355,0.12123995407577497,0.07949535506219493,1.52511997689576
repair_from_low120,p90_100,120d,future_50pct_high_120d,2023,4820,0.07551867219917012,0.04695628003017909,1.6082762976674005
repair_from_low120,p90_100,120d,future_50pct_high_120d,2024,1634,0.0777233782129743,0.09612034164789869,0.8086048892510718
repair_from_low240,p90_100,120d,future_50pct_high_120d,2017,40,0.05,0.07764705882352942,0.6439393939393939
repair_from_low240,p90_100,120d,future_50pct_high_120d,2018,2617,0.04623614826136798,0.08789799305869926,0.5260205227949968
repair_from_low240,p90_100,120d,future_50pct_high_120d,2019,3150,0.30984126984126986,0.10835411471321696,2.8595247228158622
repair_from_low240,p90_100,120d,future_50pct_high_120d,2020,3887,0.4960123488551582,0.29224796797282543,1.6972311297688125
repair_from_low240,p90_100,120d,future_50pct_high_120d,2021,4667,0.26483822584101135,0.13108924494372942,2.0202895054792194
repair_from_low240,p90_100,120d,future_50pct_high_120d,2022,4263,0.1688951442646024,0.0818551634418816,2.0633413600660697
repair_from_low240,p90_100,120d,future_50pct_high_120d,2023,4814,0.0803905276277524,0.048183930536871714,1.6684095035840896
repair_from_low240,p90_100,120d,future_50pct_high_120d,2024,1251,0.09832134292565947,0.09699154542723488,1.0137104475711467
repair_from_low60,p90_100,120d,future_50pct_high_120d,2017,1615,0.12755417956656348,0.12617632491332342,1.0109200727964345
repair_from_low60,p90_100,120d,future_50pct_high_120d,2018,3001,0.18160613128957015,0.09144167091186958,1.9860325109828758
repair_from_low60,p90_100,120d,future_50pct_high_120d,2019,3399,0.2777287437481612,0.12100261750312963,2.2952292229627016
repair_from_low60,p90_100,120d,future_50pct_high_120d,2020,4222,0.5161061108479393,0.29378593299116684,1.7567420794904327
repair_from_low60,p90_100,120d,future_50pct_high_120d,2021,5014,0.2275628240925409,0.12941132018438753,1.75844604450604
repair_from_low60,p90_100,120d,future_50pct_high_120d,2022,4512,0.09109042553191489,0.07970915877675604,1.1427849312402698
repair_from_low60,p90_100,120d,future_50pct_high_120d,2023,4815,0.08868120456905504,0.04656978575929427,1.9042648172663386
repair_from_low60,p90_100,120d,future_50pct_high_120d,2024,1446,0.08644536652835408,0.0963123459937123,0.8975522881977936
ret10,p90_100,120d,future_50pct_high_120d,2017,1745,0.12091690544412607,0.1256767653496141,0.9621261742992285
