arm_id,event_key,source_row_n,canonical_event_id_n,input_event_key_n,sample_id_n,representative_event_key,collapse_status,duplicate_reason,uniqueness_status
08_R6_event_regime_gated_raw,SH600015_20221205_risk_on_transition_union,1,1,1,1,SH600015_20221205_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600015_20230317_risk_on_transition_union,1,1,1,1,SH600015_20230317_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600015_20230426_risk_on_transition_union,1,1,1,1,SH600015_20230426_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600015_20230803_risk_on_transition_union,1,1,1,1,SH600015_20230803_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600015_20231128_risk_on_transition_union,1,1,1,1,SH600015_20231128_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600015_20240411_risk_on_transition_union,1,1,1,1,SH600015_20240411_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600015_20240715_risk_on_transition_union,1,1,1,1,SH600015_20240715_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600015_20240925_risk_on_transition_union,1,1,1,1,SH600015_20240925_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600015_20241129_risk_on_transition_union,1,1,1,1,SH600015_20241129_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600015_20241230_risk_on_transition_union,1,1,1,1,SH600015_20241230_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600015_20250414_risk_on_transition_union,1,1,1,1,SH600015_20250414_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600015_20250604_risk_on_transition_union,1,1,1,1,SH600015_20250604_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600015_20250703_risk_on_transition_union,1,1,1,1,SH600015_20250703_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600015_20251106_risk_on_transition_union,1,1,1,1,SH600015_20251106_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600016_20180205_risk_on_transition_union,1,1,1,1,SH600016_20180205_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600016_20190729_risk_on_transition_union,1,1,1,1,SH600016_20190729_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600016_20191009_risk_on_transition_union,1,1,1,1,SH600016_20191009_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600016_20200407_risk_on_transition_union,1,1,1,1,SH600016_20200407_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600016_20220208_risk_on_transition_union,1,1,1,1,SH600016_20220208_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600016_20220805_risk_on_transition_union,1,1,1,1,SH600016_20220805_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600016_20230330_risk_on_transition_union,1,1,1,1,SH600016_20230330_risk_on_transition_union,unique,,pass
