fetched_at_utc,classification_year,effective_start_date,effective_end_date,classification_first_open_trade_date,source_snapshot_year,source_snapshot_trade_date,snapshot_policy,snapshot_trade_date,source_api,board_ts_code,board_name,idx_type,level,leading,leading_code,pct_change,leading_pct,total_mv,turnover_rate,up_num,down_num,trade_date
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1128.DC,CPO概念,概念板块,,可川科技,603052.SH,2.55,10.02,310678233.6,4.59,37,10,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1127.DC,AI芯片,概念板块,,岩山科技,002195.SZ,4.83,10.01,258419340.8,3.51,34,2,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1126.DC,ChatGPT概念,概念板块,,亿嘉和,603666.SH,3.38,10.0,264303492.8,5.87,64,7,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1125.DC,电子后视镜,概念板块,,天迈科技,300807.SZ,2.12,7.03,37786321.6,2.47,25,0,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1124.DC,毫米波概念,概念板块,,雷科防务,002413.SZ,2.2,10.04,96802380.8,6.89,42,5,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1121.DC,第四代半导体,概念板块,,东微半导,688261.SH,6.7,20.0,15740457.5,2.23,5,0,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1119.DC,PLC概念,概念板块,,汇川技术,300124.SZ,0.57,4.01,38267929.6,1.92,7,2,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1118.DC,数据确权,概念板块,,博瑞传播,600880.SH,1.94,9.92,29116321.6,5.34,27,7,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1116.DC,抗菌面料,概念板块,,西大门,605155.SH,0.57,8.37,11481707.4,3.28,9,7,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1115.DC,跨境电商,概念板块,,熵基科技,301330.SZ,1.5,20.0,177516606.4,3.99,117,42,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1113.DC,复合集流体,概念板块,,可川科技,603052.SH,3.6,10.02,34432486.4,3.54,26,3,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1112.DC,破净股,概念板块,,中新集团,601512.SH,0.85,10.0,2152278809.6,0.59,222,59,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1111.DC,AIGC概念,概念板块,,岩山科技,002195.SZ,3.53,10.01,239203344.0,7.61,114,9,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1110.DC,Web3.0,概念板块,,当虹科技,688039.SH,2.78,20.0,54848368.0,8.71,39,9,20260105
