factor_id,horizon,train_mean_rankIC,direction_i
alpha110,H5,-0.021029095998199767,-1.0
alpha111,H1,0.032684970797204484,1.0
alpha111,H10,0.01856519343690288,1.0
alpha111,H20,0.012558587563905033,1.0
alpha111,H3,0.03581193070334506,1.0
alpha111,H5,0.03436206692953646,1.0
alpha112,H1,0.007448039163637471,1.0
alpha112,H10,0.0054485885486234885,1.0
alpha112,H20,0.0048281929089669835,1.0
alpha112,H3,0.001606921039486205,1.0
alpha112,H5,-0.004747160293887202,-1.0
alpha114,H1,0.012453320601464752,1.0
alpha114,H10,0.0473729956103068,1.0
alpha114,H20,0.06569729758942178,1.0
alpha114,H3,0.02713672923930695,1.0
alpha114,H5,0.03597743314102609,1.0
alpha118,H1,-0.001955019447126605,-1.0
alpha118,H10,-0.013135792954294791,-1.0
alpha118,H20,-0.017786674028944335,-1.0
alpha118,H3,-0.017626714459940806,-1.0
alpha118,H5,-0.016955142857230255,-1.0
alpha120,H1,0.0026706682793705234,1.0
alpha120,H10,0.009536556226901463,1.0
alpha120,H20,0.008579298426418393,1.0
alpha120,H3,0.01038312423453754,1.0
alpha120,H5,0.0144593563866776,1.0
alpha122,H1,0.005631683235716617,1.0
alpha122,H10,-0.016569761800082038,-1.0
alpha122,H20,-0.022062162738309035,-1.0
alpha122,H3,-0.014621322075596768,-1.0
alpha122,H5,-0.01997696323728007,-1.0
alpha124,H1,-0.0007235801522335578,-1.0
alpha124,H10,-0.05597866084076046,-1.0
alpha124,H20,-0.07533929497501965,-1.0
alpha124,H3,-0.033054007179508335,-1.0
alpha124,H5,-0.04776616564350151,-1.0
alpha126,H1,0.006428581719834486,1.0
alpha126,H10,0.03629862778906128,1.0
alpha126,H20,0.05273199845859705,1.0
alpha126,H3,0.01680577250172343,1.0
alpha126,H5,0.021799064032111425,1.0
alpha127,H1,-0.009381643214189715,-1.0
alpha127,H10,-0.028470236924466253,-1.0
alpha127,H20,-0.04248529937662735,-1.0
alpha127,H3,-0.011449421029255781,-1.0
alpha127,H5,-0.014921275871688105,-1.0
alpha128,H1,0.007908628951693827,1.0
alpha128,H10,-0.009974281025330082,-1.0
alpha128,H20,-0.015021869125991273,-1.0
alpha128,H3,-0.011944831474613287,-1.0
alpha128,H5,-0.01934467957199671,-1.0
alpha129,H1,0.010246521510377587,1.0
alpha129,H10,0.031641444928737536,1.0
