segment_id,start_date,end_date,regime,trading_days,start_close,end_close,calendar_days,return_in_segment
95,2021-08-30,2021-08-31,transition,2,5762.84,5759.26,2,-0.0006212214810752403
96,2021-09-01,2021-09-02,risk_on,2,5761.87,5798.48,2,0.006353839985976828
97,2021-09-03,2021-09-03,transition,1,5767.88,5767.88,1,0.0
98,2021-09-06,2021-09-17,risk_on,10,5861.81,5827.81,12,-0.005800256234848922
99,2021-09-22,2021-09-22,transition,1,5824.67,5824.67,1,0.0
100,2021-09-23,2021-09-23,risk_on,1,5854.08,5854.08,1,0.0
101,2021-09-24,2021-09-27,transition,2,5807.96,5743.8,4,-0.011046908036556724
102,2021-09-28,2021-09-28,risk_on,1,5752.75,5752.75,1,0.0
103,2021-09-29,2021-09-29,transition,1,5639.47,5639.47,1,0.0
104,2021-09-30,2021-09-30,risk_on,1,5723.46,5723.46,1,0.0
105,2021-10-08,2021-10-08,transition,1,5769.29,5769.29,1,0.0
106,2021-10-11,2021-10-11,risk_on,1,5757.89,5757.89,1,0.0
107,2021-10-12,2021-10-26,transition,11,5668.45,5801.98,15,0.02355670421367395
108,2021-10-27,2021-11-02,risk_on,5,5739.81,5694.34,7,-0.007921865009469009
109,2021-11-03,2021-11-03,transition,1,5688.08,5688.08,1,0.0
110,2021-11-04,2021-11-04,risk_on,1,5749.67,5749.67,1,0.0
111,2021-11-05,2021-11-08,transition,2,5702.48,5724.72,4,0.0039000575188339326
112,2021-11-09,2021-11-09,risk_on,1,5755.41,5755.41,1,0.0
113,2021-11-10,2021-11-16,transition,5,5736.36,5781.86,7,0.00793185922780304
114,2021-11-17,2022-01-12,risk_on,40,5825.66,5857.31,57,0.005432860826069641
115,2022-01-13,2022-01-14,transition,2,5768.85,5746.23,2,-0.00392105878988025
116,2022-01-17,2022-01-18,risk_on,2,5814.11,5823.33,2,0.0015857973103363676
117,2022-01-19,2022-01-19,transition,1,5784.12,5784.12,1,0.0
118,2022-01-20,2022-01-21,risk_on,2,5756.52,5695.02,2,-0.010683537970857415
119,2022-01-24,2022-01-26,transition,3,5704.39,5568.44,3,-0.023832521969921583
120,2022-01-27,2022-01-28,risk_off,2,5433.24,5405.91,2,-0.0050301477571393916
121,2022-02-07,2022-02-11,transition,5,5484.44,5471.57,5,-0.0023466388546505845
122,2022-02-14,2022-02-14,risk_off,1,5432.64,5432.64,1,0.0
123,2022-02-15,2022-03-04,transition,14,5490.89,5464.87,18,-0.004738758197669335
124,2022-03-07,2022-06-14,risk_off,66,5323.15,5084.09,100,-0.0449094990747958
125,2022-06-15,2022-06-20,transition,4,5111.96,5200.68,6,0.017355378367592822
126,2022-06-21,2022-06-23,risk_off,3,5177.68,5208.37,3,0.005927365151959796
127,2022-06-24,2022-06-27,transition,2,5269.81,5322.66,4,0.010028824568627526
