state_id,split_bucket,drift_axis,bucket_id,treated_n,treated_share,native_share,complement_share,treated_minus_native_share,treated_minus_complement_share,drift_status
repair_ret60_volume_suspect_30,robustness,regime,risk_on,7123,1.0,1.0,1.0,0.0,0.0,regime_single_bucket_caveat
repair_ret60_volume_suspect_30,robustness,liquidity,median_ratio,7123,0.7467425036512909,1.0,0.7336675570076739,-0.2532574963487091,0.01307494664361697,primary_pass
repair_ret60_volume_suspect_30,robustness,compression_severity,median_ratio,7123,0.6257379196131286,1.0,0.6008264374299397,-0.37426208038687137,0.02491148218318895,primary_pass
repair_drawdown_amount_suspect_30,train,board,chinext,6102,0.02704031465093412,0.19306807383968191,0.19787652117783305,-0.1660277591887478,-0.17083620652689893,primary_pass
repair_drawdown_amount_suspect_30,train,board,main_board,6102,0.9729596853490659,0.8069319261603181,0.802123478822167,0.1660277591887478,0.1708362065268989,primary_pass
repair_drawdown_amount_suspect_30,train,year,2018,6102,0.0876761717469682,0.03670765796101368,0.03523152279156304,0.050968513785954524,0.05244464895540517,caveat_relative_drift
repair_drawdown_amount_suspect_30,train,year,2019,6102,0.3949524745984923,0.23520484884268014,0.23057828488979173,0.15974762575581217,0.16437418970870057,caveat_relative_drift
repair_drawdown_amount_suspect_30,train,year,2020,6102,0.2795804654211734,0.3755869627388212,0.3783674747973345,-0.09600649731764782,-0.09878700937616114,caveat_relative_drift
repair_drawdown_amount_suspect_30,train,year,2021,6102,0.2377908882333661,0.352500530457485,0.3558227175213107,-0.11470964222411886,-0.11803182928794462,caveat_relative_drift
repair_drawdown_amount_suspect_30,train,regime,risk_on,6102,1.0,1.0,1.0,0.0,0.0,regime_single_bucket_caveat
repair_drawdown_amount_suspect_30,train,liquidity,median_ratio,6102,0.4434050024902998,1.0,0.4343466983415271,-0.5565949975097002,0.009058304148772678,caveat_relative_drift
repair_drawdown_amount_suspect_30,train,compression_severity,median_ratio,6102,0.4630529308284057,1.0,0.4555147115816509,-0.5369470691715943,0.007538219246754796,caveat_relative_drift
repair_drawdown_amount_suspect_30,validation,board,chinext,2840,0.05704225352112676,0.1969432528096302,0.2037388612379633,-0.13990099928850344,-0.14669660771683654,primary_pass
repair_drawdown_amount_suspect_30,validation,board,main_board,2840,0.9429577464788732,0.8030567471903698,0.7962611387620367,0.1399009992885034,0.14669660771683646,primary_pass
