policy_id,decision_date,vol_proxy,realized_capital_weight
C_MIX303040_XD8_R100_CNONE,2025-05-30,middle,0.485444087079
C_MIX303040_XD8_R100_CNONE,2025-05-30,missing,0
C_MIX303040_XD8_R100_CNONE,2025-06-30,high,0
C_MIX303040_XD8_R100_CNONE,2025-06-30,low,0.482362076463
C_MIX303040_XD8_R100_CNONE,2025-06-30,middle,0.502966971606
C_MIX303040_XD8_R100_CNONE,2025-06-30,missing,0
C_MIX303040_XD8_R100_CNONE,2025-07-31,high,0
C_MIX303040_XD8_R100_CNONE,2025-07-31,low,0.484476197665
C_MIX303040_XD8_R100_CNONE,2025-07-31,middle,0.50038504455
C_MIX303040_XD8_R100_CNONE,2025-07-31,missing,0
C_MIX303040_XD8_R100_CNONE,2025-08-29,high,0
C_MIX303040_XD8_R100_CNONE,2025-08-29,low,0.581596871375
C_MIX303040_XD8_R100_CNONE,2025-08-29,middle,0.406852234276
C_MIX303040_XD8_R100_CNONE,2025-08-29,missing,0
C_MIX303040_XD8_R100_CNONE,2025-09-30,high,0
C_MIX303040_XD8_R100_CNONE,2025-09-30,low,0.480100880927
C_MIX303040_XD8_R100_CNONE,2025-09-30,middle,0.507428431227
C_MIX303040_XD8_R100_CNONE,2025-09-30,missing,0
C_MIX303040_XD8_R100_CNONE,2025-10-31,high,0.0135531436602
C_MIX303040_XD8_R100_CNONE,2025-10-31,low,0.397293956285
C_MIX303040_XD8_R100_CNONE,2025-10-31,middle,0.573932210708
C_MIX303040_XD8_R100_CNONE,2025-10-31,missing,0
C_MIX303040_XD8_R100_CNONE,2025-11-28,high,0.0135695426609
C_MIX303040_XD8_R100_CNONE,2025-11-28,low,0.429239696952
C_MIX303040_XD8_R100_CNONE,2025-11-28,middle,0.539571874174
C_MIX303040_XD8_R100_CNONE,2025-11-28,missing,0.0136669365134
C_MIX303040_XD8_R100_CNONE,2025-12-31,high,0
C_MIX303040_XD8_R100_CNONE,2025-12-31,low,0.471353800501
C_MIX303040_XD8_R100_CNONE,2025-12-31,middle,0.503017634957
C_MIX303040_XD8_R100_CNONE,2025-12-31,missing,0.0060423565604
C_MIX303040_XD8_R100_CNONE,2026-01-30,high,0.022767011865
C_MIX303040_XD8_R100_CNONE,2026-01-30,low,0.473120597745
C_MIX303040_XD8_R100_CNONE,2026-01-30,middle,0.504088098416
C_MIX303040_XD8_R100_CNONE,2026-01-30,missing,0
C_MIX303040_XD8_R100_CNONE,2026-02-27,high,0
C_MIX303040_XD8_R100_CNONE,2026-02-27,low,0.370420869056
C_MIX303040_XD8_R100_CNONE,2026-02-27,middle,0.602988935485
C_MIX303040_XD8_R100_CNONE,2026-02-27,missing,0.00635576366605
C_MIX303040_XD8_R100_CNONE,2026-03-31,high,0
C_MIX303040_XD8_R100_CNONE,2026-03-31,low,0.291206969697
C_MIX303040_XD8_R100_CNONE,2026-03-31,middle,0.696106610921
C_MIX303040_XD8_R100_CNONE,2026-03-31,missing,0.0057375531927
F_MIX333_XD6_R025_C020,2024-07-31,high,0
F_MIX333_XD6_R025_C020,2024-07-31,low,0.566468107136
F_MIX333_XD6_R025_C020,2024-07-31,middle,0.416825162039
F_MIX333_XD6_R025_C020,2024-07-31,missing,0
F_MIX333_XD6_R025_C020,2024-08-30,high,0
F_MIX333_XD6_R025_C020,2024-08-30,low,0.545189475932
F_MIX333_XD6_R025_C020,2024-08-30,middle,0.38517396547
F_MIX333_XD6_R025_C020,2024-08-30,missing,0.0235761449659
F_MIX333_XD6_R025_C020,2024-09-30,high,0
F_MIX333_XD6_R025_C020,2024-09-30,low,0.517511308784
F_MIX333_XD6_R025_C020,2024-09-30,middle,0.39350086187
F_MIX333_XD6_R025_C020,2024-09-30,missing,0.0188185589165
F_MIX333_XD6_R025_C020,2024-10-31,high,0
F_MIX333_XD6_R025_C020,2024-10-31,low,0.523596330062
F_MIX333_XD6_R025_C020,2024-10-31,middle,0.342646253055
