candidate_id,candidate_type,group_id,raw_feature,component_primitive_ids,component_group_ids,split,trigger_count,stock_day_density,instrument_year_concentration,primary_positive_count,P_signal_given_winner,P_signal_given_non_winner,P_winner_given_signal,LR,primary_LR_ci90_lower,primary_LR_ci90_upper,log_lift,EV_R,avg_win_R,avg_loss_R,failed_seed_rate,entry_buyability_rate,risk_distance_ineligible_rate,initial_risk_pct_p50,delay_sensitivity,combo_rank_score,component_single_LR,component_single_EV_R,combo_incremental_LR_vs_best_component,combo_incremental_EV_R_vs_best_component
pullback_structure__ema20_hold_depth__le_0p08,single_primitive,pullback_structure,ema20_hold_depth,pullback_structure__ema20_hold_depth__le_0p08,pullback_structure,train,165239,0.9117791499059191,0.30789946683289054,19397,0.89140625,0.9238642134458377,0.14091843628993003,0.9648671709830867,0.956020572211878,0.9779714812820514,-0.035764833766971676,-0.23126230292911545,3.2537725270330817,-2.1920614656949584,0.25776602375952407,0.9886104370033709,0.6470123716767571,0.033670850952715575,,,,,,
pullback_structure__ema20_hold_depth__le_0p12,single_primitive,pullback_structure,ema20_hold_depth,pullback_structure__ema20_hold_depth__le_0p12,pullback_structure,train,175132,0.9663681460268062,0.3147511591256881,20619,0.9475643382352941,0.9730458221024259,0.14203934859882617,0.9738126578540003,0.9676070681297829,0.9805040708678718,-0.026536336905609848,-0.2282779599555248,3.24845493988546,-2.1989044495521815,0.259204485759313,0.9886314322910719,0.6460688109690945,0.03351954845917661,,,,,,
pullback_structure__prior20_pullback_depth__le_0p03,single_primitive,pullback_structure,prior20_pullback_depth,pullback_structure__prior20_pullback_depth__le_0p03,pullback_structure,train,42839,0.23638309964850712,0.2750997922453839,4748,0.2181985294117647,0.24880659400757843,0.12974804612778051,0.8769804927481889,0.8324808205527923,0.9283837636984668,-0.13127053001789676,-0.14420335292182695,3.152023031336272,-2.1131932656411045,0.23284857256238475,0.9901958495763207,0.5705226431551899,0.03440161446926825,,,,,,
pullback_structure__prior20_pullback_depth__le_0p05,single_primitive,pullback_structure,prior20_pullback_depth,pullback_structure__prior20_pullback_depth__le_0p05,pullback_structure,train,73659,0.4064460593620156,0.2773591821773307,8232,0.37830882352941175,0.4274620102347748,0.1307808404162364,0.8850115670434276,0.8491068204719351,0.9230019165274886,-0.12215456395405265,-0.14011302509185586,3.157245440289608,-2.096491667549409,0.234743887372894,0.9900894663245496,0.608290254905456,0.034622161800621956,,,,,,
pullback_structure__prior20_pullback_depth__le_0p08,single_primitive,pullback_structure,prior20_pullback_depth,pullback_structure__prior20_pullback_depth__le_0p08,pullback_structure,train,111747,0.6166134185303515,0.2830322066811637,12626,0.5802389705882353,0.6429001132856752,0.13302568641085613,0.90253362629352,0.8797318088966076,0.9309347953650017,-0.10254933041821061,-0.17576984598368695,3.1867635859228844,-2.1313954844341283,0.24086552659131788,0.9895567666246073,0.6357117019352505,0.0341911254130094,,,,,,
pullback_structure__prior20_pullback_depth__le_0p12,single_primitive,pullback_structure,prior20_pullback_depth,pullback_structure__prior20_pullback_depth__le_0p12,pullback_structure,train,145519,0.8029653418088916,0.29361114356200907,16760,0.7702205882352942,0.8262588382358685,0.1367973424096248,0.9321783351567885,0.9170969739983086,0.9513201963452173,-0.07023113586624576,-0.18936547141887106,3.234134932661541,-2.1588716159921004,0.24729416777190608,0.9890667198097843,0.6467261408482019,0.03378375650982199,,,,,,
survival_no_failure__past_h10_no_close_below_prior10_low__eq_1,single_primitive,survival_no_failure,past_h10_no_close_below_prior10_low,survival_no_failure__past_h10_no_close_below_prior10_low__eq_1,survival_no_failure,train,175750,0.9697782339276156,0.32221337126600286,21239,0.9760569852941177,0.9675846712762217,0.1463900472137023,1.0087561474146973,1.0028959574302232,1.014576985806053,0.008718034674850196,-0.22411431409968216,3.2347619146738356,-2.201960901710867,0.264398293029872,0.9883413940256045,0.6372905164621966,0.03358214565150766,,,,,,
survival_no_failure__past_h20_no_close_below_prior20_low__eq_1,single_primitive,survival_no_failure,past_h20_no_close_below_prior20_low,survival_no_failure__past_h20_no_close_below_prior20_low__eq_1,survival_no_failure,train,175825,0.9701920795466459,0.32270154983648514,21223,0.9753216911764706,0.9679753115356069,0.14624549507645448,1.0075894287316165,1.0003343162796698,1.0154913669999301,0.0075607739085468435,-0.22169911397729306,3.238929613023681,-2.2019112016817695,0.2643253234750462,0.9882951798663444,0.6379347056690856,0.03356319734419899,,,,,,
volatility_state__atr20_pct__le_0p03,single_primitive,volatility_state,atr20_pct,volatility_state__atr20_pct__le_0p03,volatility_state,train,75169,0.4147781511584918,0.27580518564833906,5086,0.23373161764705883,0.4809172233290363,0.07631938296244054,0.48601215824442034,0.4381065144251471,0.545601437142177,-0.7215216384307345,-0.07352644976550181,2.7052044411222793,-1.9577486025897175,0.1340712261703628,0.9927496707419282,0.7890222984562607,0.02975211562000257,,,,,,
volatility_state__atr20_pct__le_0p05,single_primitive,volatility_state,atr20_pct,volatility_state__atr20_pct__le_0p05,volatility_state,train,151166,0.8341251579510779,0.27231652620298213,16194,0.7442095588235295,0.8848626899488261,0.12509656088743318,0.8410452460896154,0.8135877047636725,0.8692632255916675,-0.17310982011200535,-0.15490538272868903,3.07157792595715,-2.148172511066851,0.22244420041543733,0.9902755910720664,0.6795572359982899,0.032376786542848535,,,,,,
volatility_state__atr20_pct__le_0p08,single_primitive,volatility_state,atr20_pct,volatility_state__atr20_pct__le_0p08,volatility_state,train,178722,0.9861775563243887,0.31456116202817785,21188,0.9737132352941177,0.9933981796163913,0.1428359557227413,0.9801842355601305,0.9732789941861046,0.987214660741229,-0.020014729516932436,-0.19838661185844061,3.2251110960748655,-2.1918782344066896,0.25624153713588704,0.9887311019348486,0.6459469859881839,0.033397805084362804,,,,,,
volatility_state__atr20_contraction_ratio__le_0p8,single_primitive,volatility_state,atr20_contraction_ratio,volatility_state__atr20_contraction_ratio__le_0p8,volatility_state,train,34777,0.19189745457354587,0.343359116657561,4419,0.20307904411764705,0.18710887144029065,0.1557741116751269,1.0853523007991244,1.010252063084965,1.1898643160516509,0.08190463548574714,0.10849110063957114,3.1795496064898736,-2.1043345586057134,0.1971130344768094,0.9885556545993042,0.7148259111667006,0.03245828181763348,,,,,,
volatility_state__atr20_contraction_ratio__le_1p0,single_primitive,volatility_state,atr20_contraction_ratio,volatility_state__atr20_contraction_ratio__le_1p0,volatility_state,train,94407,0.5209323114105514,0.32219009183641045,11759,0.5403952205882353,0.5159420289855072,0.15114978726686118,1.0473952309154,1.016411511515644,1.0804375902716175,0.04630634959281156,0.06423536743036462,3.3085686471297695,-2.170047214533524,0.22659336701727625,0.9888885358077262,0.6782278969129587,0.03277618724342744,,,,,,
industry_market__industry_breadth20__ge_0p5,single_primitive,industry_market,industry_breadth20,industry_market__industry_breadth20__ge_0p5,industry_market,train,97533,0.5381813968117334,0.31607763526191135,12710,0.5840992647058824,0.5314816985038479,0.1574247247234849,1.0990016520797536,1.0658196912227704,1.134238395939409,0.09440217867763707,-0.215828488727731,3.328717506971143,-2.173531680793412,0.2893584735422883,0.9871530661417162,0.5782924802658912,0.03486230954729516,,,,,,
industry_market__industry_breadth20__ge_0p6,single_primitive,industry_market,industry_breadth20,industry_market__industry_breadth20__ge_0p6,industry_market,train,77645,0.42844057452807804,0.3005344838688905,10481,0.4816636029411765,0.4265869760537521,0.1610429919178882,1.1291099587636835,1.0806193169756082,1.1722966535461288,0.12142967525549976,-0.2291684078536979,3.3044756990017787,-2.1538815737111467,0.2937085453023376,0.987159508017258,0.5653115541175243,0.03512076242150937,,,,,,
industry_market__industry_breadth20__ge_0p7,single_primitive,industry_market,industry_breadth20,industry_market__industry_breadth20__ge_0p7,industry_market,train,60631,0.33455831636566297,0.2791476307499464,8151,0.3745863970588235,0.3391616860033595,0.1580815329118343,1.1044478563392714,1.0450397227489348,1.159518352290504,0.09934553256828063,-0.27154895781402905,3.2647358356760927,-2.138970727152933,0.2963500519536211,0.9871352938265904,0.5523717231123958,0.035390713782570464,,,,,,
