candidate_id,candidate_type,year,trigger_count,primary_LR,EV_R,positive_LR_year,non_negative_EV_R_year,positive_LR_year_share,non_negative_EV_R_year_share,train_years_with_trigger_count_30
relative_strength__rps20__gt_0p5,single_primitive,2017,4469,0.9170367858959146,0.17797381645464178,False,True,0.6,0.6,5
relative_strength__rps20__gt_0p5,single_primitive,2018,16206,0.9300961054956977,-1.2504663657134925,False,False,0.6,0.6,5
relative_strength__rps20__gt_0p5,single_primitive,2019,17655,1.1548436459219538,0.1563439991528914,True,True,0.6,0.6,5
relative_strength__rps20__gt_0p5,single_primitive,2020,23462,1.3462421339427941,0.35142218108225265,True,True,0.6,0.6,5
relative_strength__rps20__gt_0p5,single_primitive,2021,28991,1.0397439534684667,-0.3492129525011435,True,False,0.6,0.6,5
relative_strength__rps20__gt_0p6,single_primitive,2017,3554,0.9490646969831806,0.22752272305740312,False,True,0.6,0.6,5
relative_strength__rps20__gt_0p6,single_primitive,2018,12987,0.9800011787124531,-1.2616272065277403,False,False,0.6,0.6,5
relative_strength__rps20__gt_0p6,single_primitive,2019,14149,1.2861440622138285,0.15500515600867443,True,True,0.6,0.6,5
relative_strength__rps20__gt_0p6,single_primitive,2020,18801,1.523517244617279,0.39428173839510733,True,True,0.6,0.6,5
relative_strength__rps20__gt_0p6,single_primitive,2021,23185,1.1219366527113848,-0.35337400677961595,True,False,0.6,0.6,5
relative_strength__rps20__gt_0p7,single_primitive,2017,2654,1.039587875883551,0.28153643861375044,True,True,1.0,0.6,5
relative_strength__rps20__gt_0p7,single_primitive,2018,9752,1.047406745904394,-1.2868082270577992,True,False,1.0,0.6,5
relative_strength__rps20__gt_0p7,single_primitive,2019,10623,1.5218360678618665,0.19132944851027367,True,True,1.0,0.6,5
relative_strength__rps20__gt_0p7,single_primitive,2020,14141,1.7367258718278624,0.435376487232461,True,True,1.0,0.6,5
relative_strength__rps20__gt_0p7,single_primitive,2021,17370,1.262774390192984,-0.3741369214940331,True,False,1.0,0.6,5
relative_strength__rps20__gt_0p8,single_primitive,2017,1772,0.962825252126476,0.34873277923978774,False,True,0.8,0.6,5
relative_strength__rps20__gt_0p8,single_primitive,2018,6498,1.1701302509761933,-1.336313549197782,True,False,0.8,0.6,5
relative_strength__rps20__gt_0p8,single_primitive,2019,7092,1.9231965179705328,0.23882244061482716,True,True,0.8,0.6,5
relative_strength__rps20__gt_0p8,single_primitive,2020,9464,2.0057135492739926,0.5119595317528581,True,True,0.8,0.6,5
relative_strength__rps20__gt_0p8,single_primitive,2021,11592,1.4702553149047894,-0.3687153888968813,True,False,0.8,0.6,5
relative_strength__rps60__gt_0p5,single_primitive,2017,4437,0.8947660282387067,0.25348667579003636,False,True,0.6,0.6,5
relative_strength__rps60__gt_0p5,single_primitive,2018,16208,0.7723197846449006,-1.2184230244740217,False,False,0.6,0.6,5
relative_strength__rps60__gt_0p5,single_primitive,2019,17684,1.3487959670013168,0.1335249747019593,True,True,0.6,0.6,5
relative_strength__rps60__gt_0p5,single_primitive,2020,23439,1.5404946433649127,0.4921159978434542,True,True,0.6,0.6,5
relative_strength__rps60__gt_0p5,single_primitive,2021,28936,1.098578546923055,-0.531037954039531,True,False,0.6,0.6,5
relative_strength__rps60__gt_0p6,single_primitive,2017,3537,0.9738207504885527,0.21656342886919777,False,True,0.6,0.6,5
relative_strength__rps60__gt_0p6,single_primitive,2018,13002,0.7440143127821952,-1.2447932671881496,False,False,0.6,0.6,5
relative_strength__rps60__gt_0p6,single_primitive,2019,14165,1.5775881619632093,0.15725455384395215,True,True,0.6,0.6,5
relative_strength__rps60__gt_0p6,single_primitive,2020,18755,1.7834007921569783,0.5600672701500305,True,True,0.6,0.6,5
relative_strength__rps60__gt_0p6,single_primitive,2021,23123,1.1815896343763401,-0.5368724326297841,True,False,0.6,0.6,5
relative_strength__rps60__gt_0p7,single_primitive,2017,2662,1.0203912015476104,0.2472345087867574,True,True,0.8,0.6,5
relative_strength__rps60__gt_0p7,single_primitive,2018,9737,0.7729715275479945,-1.260658192757467,False,False,0.8,0.6,5
relative_strength__rps60__gt_0p7,single_primitive,2019,10604,1.936562218107924,0.170801009203472,True,True,0.8,0.6,5
relative_strength__rps60__gt_0p7,single_primitive,2020,14054,2.0860008077248096,0.6778235015265793,True,True,0.8,0.6,5
relative_strength__rps60__gt_0p7,single_primitive,2021,17324,1.2806355321939988,-0.5486253385413967,True,False,0.8,0.6,5
relative_strength__rps60__gt_0p8,single_primitive,2017,1789,0.9858540042523033,0.23579729160447674,False,True,0.6,0.6,5
relative_strength__rps60__gt_0p8,single_primitive,2018,6497,0.8304533524578908,-1.2952172145215737,False,False,0.6,0.6,5
relative_strength__rps60__gt_0p8,single_primitive,2019,7087,2.4636925335912143,0.22469794706529275,True,True,0.6,0.6,5
relative_strength__rps60__gt_0p8,single_primitive,2020,9376,2.42610807430623,0.7377538084784762,True,True,0.6,0.6,5
relative_strength__rps60__gt_0p8,single_primitive,2021,11501,1.4653030765016875,-0.541712637146115,True,False,0.6,0.6,5
pullback_structure__ema20_hold_depth__le_0p03,single_primitive,2017,6423,0.8565097712690406,0.12533137536984432,False,True,0.2,0.6,5
pullback_structure__ema20_hold_depth__le_0p03,single_primitive,2018,19275,0.9112870162427535,-1.3491342291765318,False,False,0.2,0.6,5
pullback_structure__ema20_hold_depth__le_0p03,single_primitive,2019,27092,0.9017864471283717,0.129256913931727,False,True,0.2,0.6,5
pullback_structure__ema20_hold_depth__le_0p03,single_primitive,2020,33113,1.0313992435082588,0.28632233031229876,True,True,0.2,0.6,5
pullback_structure__ema20_hold_depth__le_0p03,single_primitive,2021,36702,0.9128620142279781,-0.40795232017393473,False,False,0.2,0.6,5
pullback_structure__ema20_hold_depth__le_0p05,single_primitive,2017,7736,0.9865854856132771,0.0966467401235624,False,True,0.0,0.6,5
pullback_structure__ema20_hold_depth__le_0p05,single_primitive,2018,24305,0.9261534915471108,-1.3073182402075336,False,False,0.0,0.6,5
pullback_structure__ema20_hold_depth__le_0p05,single_primitive,2019,31300,0.9249737563645982,0.16825977532618566,False,True,0.0,0.6,5
pullback_structure__ema20_hold_depth__le_0p05,single_primitive,2020,39096,0.9947083349443645,0.2588246465488251,False,True,0.0,0.6,5
pullback_structure__ema20_hold_depth__le_0p05,single_primitive,2021,44199,0.9143541602591468,-0.4170174691239561,False,False,0.0,0.6,5
pullback_structure__ema20_hold_depth__le_0p08,single_primitive,2017,8535,1.0185243234811288,0.10246212347289815,True,True,0.2,0.6,5
pullback_structure__ema20_hold_depth__le_0p08,single_primitive,2018,28562,0.9376224516833525,-1.2507564971371616,False,False,0.2,0.6,5
pullback_structure__ema20_hold_depth__le_0p08,single_primitive,2019,33827,0.969823843359142,0.20824016225146888,False,True,0.2,0.6,5
pullback_structure__ema20_hold_depth__le_0p08,single_primitive,2020,43438,0.9838850531238545,0.25953391479598115,False,True,0.2,0.6,5
pullback_structure__ema20_hold_depth__le_0p08,single_primitive,2021,50877,0.9067839371530397,-0.43733863795883005,False,False,0.2,0.6,5
pullback_structure__ema20_hold_depth__le_0p12,single_primitive,2017,8850,1.0005540880097932,0.09398277591401753,True,True,0.2,0.6,5
pullback_structure__ema20_hold_depth__le_0p12,single_primitive,2018,30835,0.9668055144451977,-1.1982672075375376,False,False,0.2,0.6,5
pullback_structure__ema20_hold_depth__le_0p12,single_primitive,2019,34880,0.9883960624272613,0.21725638215386578,False,True,0.2,0.6,5
pullback_structure__ema20_hold_depth__le_0p12,single_primitive,2020,45444,0.9862498703208094,0.2700050910868841,False,True,0.2,0.6,5
pullback_structure__ema20_hold_depth__le_0p12,single_primitive,2021,55123,0.9311569089676107,-0.434277127972082,False,False,0.2,0.6,5
pullback_structure__prior20_pullback_depth__le_0p03,single_primitive,2017,2467,0.7009255717891838,0.046560903586461415,False,True,0.2,0.6,5
pullback_structure__prior20_pullback_depth__le_0p03,single_primitive,2018,7025,0.7043877939506289,-1.3749791106428921,False,False,0.2,0.6,5
pullback_structure__prior20_pullback_depth__le_0p03,single_primitive,2019,10820,0.7703683943127507,0.2683450976596955,False,True,0.2,0.6,5
pullback_structure__prior20_pullback_depth__le_0p03,single_primitive,2020,10742,1.0532535627211868,0.35261808891391483,True,True,0.2,0.6,5
pullback_structure__prior20_pullback_depth__le_0p03,single_primitive,2021,11785,0.8042664218555695,-0.33000769962057946,False,False,0.2,0.6,5
pullback_structure__prior20_pullback_depth__le_0p05,single_primitive,2017,4304,0.7135333420673391,0.06837827178328701,False,True,0.2,0.6,5
pullback_structure__prior20_pullback_depth__le_0p05,single_primitive,2018,12430,0.7917995380191014,-1.3062982733587822,False,False,0.2,0.6,5
pullback_structure__prior20_pullback_depth__le_0p05,single_primitive,2019,17694,0.8158407021464406,0.29062202015613614,False,True,0.2,0.6,5
pullback_structure__prior20_pullback_depth__le_0p05,single_primitive,2020,18801,1.0140943060838319,0.3711419329585683,True,True,0.2,0.6,5
pullback_structure__prior20_pullback_depth__le_0p05,single_primitive,2021,20430,0.8105775164875058,-0.34866880432066266,False,False,0.2,0.6,5
pullback_structure__prior20_pullback_depth__le_0p08,single_primitive,2017,6299,0.7612353737164691,0.06058891850989745,False,True,0.2,0.6,5
pullback_structure__prior20_pullback_depth__le_0p08,single_primitive,2018,19637,0.8761162693856358,-1.2891447088513863,False,False,0.2,0.6,5
pullback_structure__prior20_pullback_depth__le_0p08,single_primitive,2019,25739,0.855368230139344,0.2363114853918582,False,True,0.2,0.6,5
pullback_structure__prior20_pullback_depth__le_0p08,single_primitive,2020,28444,1.0079474181630723,0.3054982935627458,True,True,0.2,0.6,5
pullback_structure__prior20_pullback_depth__le_0p08,single_primitive,2021,31628,0.8320560109204723,-0.3339609788270043,False,False,0.2,0.6,5
pullback_structure__prior20_pullback_depth__le_0p12,single_primitive,2017,7770,0.8864161685631098,0.10694740849874237,False,True,0.0,0.6,5
pullback_structure__prior20_pullback_depth__le_0p12,single_primitive,2018,26109,0.9244427829881557,-1.2535310297405549,False,False,0.0,0.6,5
pullback_structure__prior20_pullback_depth__le_0p12,single_primitive,2019,31375,0.9245872617052671,0.2223661992708547,False,True,0.0,0.6,5
pullback_structure__prior20_pullback_depth__le_0p12,single_primitive,2020,37539,0.9931150268178275,0.3109853514693221,False,True,0.0,0.6,5
pullback_structure__prior20_pullback_depth__le_0p12,single_primitive,2021,42726,0.8653861021531324,-0.3619638712454031,False,False,0.0,0.6,5
survival_no_failure__past_h10_no_close_below_prior10_low__eq_1,single_primitive,2017,8625,1.0253869969040248,0.08471954703301766,True,True,0.8,0.6,5
survival_no_failure__past_h10_no_close_below_prior10_low__eq_1,single_primitive,2018,31436,1.0039032788310704,-1.1365430794486184,True,False,0.8,0.6,5
