split,state_family_id,state_variant_id,action,horizon_id,mae_mean,mae_improvement_vs_no_action,drawdown_avoided_mean
train,trend_hold_state,trend_hold_ema20_3d,continue,H5,0.028653350126059015,-0.0003023575141664764,-0.0003023575141664764
train,trend_hold_state,trend_hold_ema20_3d,continue,H10,0.03808443110775932,-0.00043465670206062346,-0.00043465670206062346
train,trend_hold_state,trend_hold_ema20_3d,continue,H20,0.05577453626770401,-0.000791847033591267,-0.000791847033591267
train,trend_hold_state,trend_hold_ema20_3d,continue,H60,0.09045070361248442,-0.0012416092390140493,-0.0012416092390140493
train,trend_hold_state,trend_hold_ema20_3d,exit,H5,0.0,0.028653350126059015,0.028653350126059015
train,trend_hold_state,trend_hold_ema20_3d,exit,H10,0.0,0.03808443110775932,0.03808443110775932
train,trend_hold_state,trend_hold_ema20_3d,exit,H20,0.0,0.05577453626770401,0.05577453626770401
train,trend_hold_state,trend_hold_ema20_3d,exit,H60,0.0,0.09045070361248442,0.09045070361248442
train,trend_hold_state,trend_hold_ema20_3d,reduce_to_0_50,H5,0.016530966048255193,0.012122384077803822,0.012122384077803822
train,trend_hold_state,trend_hold_ema20_3d,reduce_to_0_50,H10,0.021960912178595988,0.01612351892916333,0.01612351892916333
train,trend_hold_state,trend_hold_ema20_3d,reduce_to_0_50,H20,0.03198833476618856,0.023786201501515454,0.023786201501515454
train,trend_hold_state,trend_hold_ema20_3d,reduce_to_0_50,H60,0.05188833164765338,0.03856237196483104,0.03856237196483104
train,trend_hold_state,trend_hold_ema20_3d,reduce_to_0_30,H5,0.011682012417133665,0.016971337708925352,0.016971337708925352
train,trend_hold_state,trend_hold_ema20_3d,reduce_to_0_30,H10,0.015511504606930652,0.022572926500828663,0.022572926500828663
train,trend_hold_state,trend_hold_ema20_3d,reduce_to_0_30,H20,0.022473854165582376,0.033300682102121636,0.033300682102121636
train,trend_hold_state,trend_hold_ema20_3d,reduce_to_0_30,H60,0.036463382861720954,0.053987320750763464,0.053987320750763464
train,volume_support_state,volume_support_money20_floor,no_action,H5,0.029012407769120643,0.0,0.0
train,volume_support_state,volume_support_money20_floor,no_action,H10,0.038585045987121654,0.0,0.0
train,volume_support_state,volume_support_money20_floor,no_action,H20,0.05648086883040253,0.0,0.0
train,volume_support_state,volume_support_money20_floor,no_action,H60,0.09175075053792135,0.0,0.0
train,volume_support_state,volume_support_money20_floor,continue,H5,0.029012407769120643,-0.0006614151572281041,-0.0006614151572281041
train,volume_support_state,volume_support_money20_floor,continue,H10,0.038585045987121654,-0.0009352715814229598,-0.0009352715814229598
train,volume_support_state,volume_support_money20_floor,continue,H20,0.05648086883040253,-0.0014981795962897837,-0.0014981795962897837
train,volume_support_state,volume_support_money20_floor,continue,H60,0.09175075053792135,-0.002541656164450984,-0.002541656164450984
train,volume_support_state,volume_support_money20_floor,exit,H5,0.0,0.029012407769120643,0.029012407769120643
train,volume_support_state,volume_support_money20_floor,exit,H10,0.0,0.038585045987121654,0.038585045987121654
train,volume_support_state,volume_support_money20_floor,exit,H20,0.0,0.05648086883040253,0.05648086883040253
train,volume_support_state,volume_support_money20_floor,exit,H60,0.0,0.09175075053792135,0.09175075053792135
train,volume_support_state,volume_support_money20_floor,reduce_to_0_50,H5,0.01668015321330625,0.012332254555814392,0.012332254555814392
