scope_id,split,slice_type,board_bucket,primary_family_id,calendar_year,horizon_sessions,lower_barrier_pct,c0_complete_executable_event_n,c0_fast_fail_rate,random_fast_fail_rate_p05,random_fast_fail_rate_p50,random_fast_fail_rate_p95,r_core_fast_fail_rate,fast_fail_abs_delta_vs_random_p50,fast_fail_abs_delta_vs_r_core,fast_fail_relative_reduction_vs_random_p50,fast_fail_relative_reduction_vs_r_core,uplift_status,diagnostic_only_flag
risk_on_split,robustness,split,all,all,all,20,-0.1,4659.0,0.30585962652929816,0.23542605709379696,0.24404378622021894,0.25242541317879374,0.3501620152607923,0.06181584030907922,-0.04430238873149417,-0.2532981530343008,0.12651968746095665,no_random_uplift,False
risk_on_split,robustness,split,all,all,all,20,-0.12,4659.0,0.23052157115260785,0.16763253917149604,0.1746082850397081,0.18179866924232668,0.2717675342322567,0.05591328611289975,-0.04124596307964884,-0.32022126613398894,0.151769280301154,no_random_uplift,False
risk_on_split,robustness,split,all,all,all,20,-0.15,4659.0,0.14831508907490878,0.09980682549903412,0.10517278385919725,0.11229877656149388,0.174767429706282,0.04314230521571154,-0.026452340631373222,-0.4102040816326531,0.15135738206958593,no_random_uplift,False
risk_on_split,robustness,split,all,all,all,20,-0.2,4659.0,0.05773771195535523,0.03948272161408028,0.0437862202189311,0.04854045932603562,0.07212292254625274,0.013951491736424126,-0.014385210590897514,-0.31862745098039214,0.19945407206248766,no_random_uplift,False
risk_on_split,train,split,all,all,all,10,-0.06,8303.0,0.48211489822955556,0.4270564856076117,0.43646874623630016,0.44287606889076236,0.5242069092471007,0.04564615199325539,-0.04209201101754512,-0.10458057395143472,0.08029655900186505,no_random_uplift,False
risk_on_split,train,split,all,all,all,10,-0.08,8303.0,0.35770203540888834,0.3113212092014935,0.3194628447549078,0.3249608575213778,0.40025771614407557,0.038239190653980515,-0.04255568073518723,-0.11969839773798308,0.10632070043558883,no_random_uplift,False
risk_on_split,train,split,all,all,all,10,-0.1,8303.0,0.25797904371913766,0.22160062627965796,0.22973623991328435,0.2358244008189811,0.29649628766030556,0.02824280380585331,-0.0385172439411679,-0.12293577981651382,0.12990801417823128,no_random_uplift,False
risk_on_split,train,split,all,all,all,10,-0.12,8303.0,0.1852342526797543,0.15831024930747922,0.16361556064073227,0.1685414910273395,0.21500889734306927,0.02161869203902203,-0.029774644663314975,-0.13213102686786882,0.13848098860674773,no_random_uplift,False
risk_on_split,train,split,all,all,all,10,-0.15,8303.0,0.11140551607852583,0.0927315428158497,0.09671203179573648,0.1024990967120318,0.131312511505185,0.014693484282789354,-0.019906995426659163,-0.15193026151930256,0.15160014227488994,no_random_uplift,False
risk_on_split,train,split,all,all,all,10,-0.2,8303.0,0.04516439841021318,0.033481874021438034,0.03613151872817054,0.03951583764904251,0.05412039025587531,0.009032879682042638,-0.008955991845662134,-0.25,0.1654827654294283,no_random_uplift,False
risk_on_split,train,split,all,all,all,20,-0.06,8303.0,0.6209803685414911,0.5689449596531374,0.5782849572443696,0.5842888112730339,0.657114806406087,0.04269541129712151,-0.036134437864595914,-0.07383109444965119,0.054989535332834016,no_random_uplift,False
