split,event_scope,event_stage,family_group,family_id,component_id,non_null_event_count,null_event_count,weighted_non_null_event_count,component_true_rate,component_true_count
train,r03_clean_fresh_family_event,fresh_4plus,per_family,pullback_drawdown,large_bearish_engulf_flag,32,1,32.0,0.3125,10
train,r03_clean_fresh_family_event,fresh_4plus,per_family,pullback_drawdown,volatility_up_no_price_flag,22,11,22.0,0.3181818181818182,7
train,r03_clean_fresh_family_event,fresh_4plus,per_family,pullback_drawdown,low_upside_efficiency_flag,22,11,22.0,0.3181818181818182,7
train,r03_clean_fresh_family_event,fresh_4plus,per_family,pullback_drawdown,lower_low_lower_high_flag,32,1,32.0,0.03125,1
train,r03_clean_fresh_family_event,fresh_4plus,per_family,pullback_drawdown,gap_up_fade_flag,32,1,32.0,0.0625,2
train,r03_clean_fresh_family_event,fresh_4plus,per_family,volatility_band,volume_stall_flag,64,0,64.0,0.15625,10
train,r03_clean_fresh_family_event,fresh_4plus,per_family,volatility_band,failed_breakout_flag,20,44,20.0,0.75,15
train,r03_clean_fresh_family_event,fresh_4plus,per_family,volatility_band,dense_upper_shadow_flag,64,0,64.0,0.578125,37
train,r03_clean_fresh_family_event,fresh_4plus,per_family,volatility_band,down_volume_dominance_flag,64,0,64.0,0.15625,10
train,r03_clean_fresh_family_event,fresh_4plus,per_family,volatility_band,ma20_break_no_reclaim_flag,41,23,41.0,0.17073170731707318,7
train,r03_clean_fresh_family_event,fresh_4plus,per_family,volatility_band,large_bearish_engulf_flag,64,0,64.0,0.171875,11
train,r03_clean_fresh_family_event,fresh_4plus,per_family,volatility_band,volatility_up_no_price_flag,49,15,49.0,0.12244897959183673,6
train,r03_clean_fresh_family_event,fresh_4plus,per_family,volatility_band,low_upside_efficiency_flag,49,15,49.0,0.16326530612244897,8
train,r03_clean_fresh_family_event,fresh_4plus,per_family,volatility_band,lower_low_lower_high_flag,64,0,64.0,0.109375,7
train,r03_clean_fresh_family_event,fresh_4plus,per_family,volatility_band,gap_up_fade_flag,64,0,64.0,0.25,16
