split,event_scope,event_stage,family_group,family_id,component_a,component_b,eligible_event_count,component_a_true_rate,component_b_true_rate,both_true_rate,jaccard_true
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,down_volume_dominance_flag,large_bearish_engulf_flag,1091,0.2566452795600367,0.26306141154903756,0.10357470210815765,0.2488986784140969
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,down_volume_dominance_flag,volatility_up_no_price_flag,1091,0.2566452795600367,0.1301558203483043,0.05224564619615032,0.15616438356164383
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,down_volume_dominance_flag,low_upside_efficiency_flag,1091,0.2566452795600367,0.21448212648945922,0.07332722273143905,0.18433179723502305
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,down_volume_dominance_flag,lower_low_lower_high_flag,1091,0.2566452795600367,0.06599450045829514,0.022914757103574702,0.0764525993883792
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,down_volume_dominance_flag,gap_up_fade_flag,1091,0.2566452795600367,0.3950504124656279,0.10815765352887259,0.19898819561551434
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,ma20_break_no_reclaim_flag,large_bearish_engulf_flag,693,0.07936507936507936,0.25685425685425683,0.03751803751803752,0.12560386473429952
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,ma20_break_no_reclaim_flag,volatility_up_no_price_flag,693,0.07936507936507936,0.15873015873015872,0.04040404040404041,0.20437956204379562
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,ma20_break_no_reclaim_flag,low_upside_efficiency_flag,693,0.07936507936507936,0.24386724386724387,0.04184704184704185,0.14871794871794872
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,ma20_break_no_reclaim_flag,lower_low_lower_high_flag,693,0.07936507936507936,0.09523809523809523,0.044733044733044736,0.34444444444444444
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,ma20_break_no_reclaim_flag,gap_up_fade_flag,693,0.07936507936507936,0.3795093795093795,0.03896103896103896,0.09278350515463918
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,large_bearish_engulf_flag,volatility_up_no_price_flag,1091,0.26306141154903756,0.1301558203483043,0.06599450045829514,0.20168067226890757
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,large_bearish_engulf_flag,low_upside_efficiency_flag,1091,0.26306141154903756,0.21448212648945922,0.09899175068744272,0.26150121065375304
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,large_bearish_engulf_flag,lower_low_lower_high_flag,1091,0.26306141154903756,0.06599450045829514,0.027497708524289642,0.0911854103343465
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,large_bearish_engulf_flag,gap_up_fade_flag,1091,0.26306141154903756,0.3950504124656279,0.0999083409715857,0.17898193760262726
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,volatility_up_no_price_flag,low_upside_efficiency_flag,1091,0.1301558203483043,0.21448212648945922,0.10815765352887259,0.4573643410852713
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,volatility_up_no_price_flag,lower_low_lower_high_flag,1091,0.1301558203483043,0.06599450045829514,0.04216315307057745,0.27380952380952384
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,volatility_up_no_price_flag,gap_up_fade_flag,1091,0.1301558203483043,0.3950504124656279,0.044912923923006415,0.09351145038167939
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,low_upside_efficiency_flag,lower_low_lower_high_flag,1091,0.21448212648945922,0.06599450045829514,0.0384967919340055,0.1590909090909091
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,low_upside_efficiency_flag,gap_up_fade_flag,1091,0.21448212648945922,0.3950504124656279,0.08707607699358387,0.16666666666666666
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,lower_low_lower_high_flag,gap_up_fade_flag,1091,0.06599450045829514,0.3950504124656279,0.026581118240146653,0.06118143459915612
train,r02_signal_episode_start,r02_episode_start,per_family,pullback_drawdown,volume_stall_flag,failed_breakout_flag,954,0.1069182389937107,0.8280922431865828,0.10062893081761007,0.12060301507537688
train,r02_signal_episode_start,r02_episode_start,per_family,pullback_drawdown,volume_stall_flag,dense_upper_shadow_flag,954,0.1069182389937107,0.7274633123689728,0.08490566037735849,0.11328671328671329
