code,name,instrument,exchange,base_date,price_date,close,shares_date,total_shares,shares_source,market_cap,included,reason
600378,昊华科技,SH600378,SH,2025-12-31,2025-12-31,31.96,2025-12-31,1289999620.0,stock_zh_a_gbjg_em,41228387855.200005,False,below_threshold
600379,宝光股份,SH600379,SH,2025-12-31,2025-12-31,11.66,2019-07-18,330201564.0,stock_zh_a_gbjg_em,3850150236.2400002,False,below_threshold
600380,健康元,SH600380,SH,2025-12-31,2025-12-31,11.55,2025-03-10,1829453386.0,stock_zh_a_gbjg_em,21130186608.300003,False,below_threshold
600382,广东明珠,SH600382,SH,2025-12-31,2025-12-31,7.13,2024-09-19,694408089.0,stock_zh_a_gbjg_em,4951129674.57,False,below_threshold
600383,金地集团,SH600383,SH,2025-12-31,2025-12-31,3.06,2017-12-11,4514583572.0,stock_zh_a_gbjg_em,13814625730.32,False,below_threshold
600386,北巴传媒,SH600386,SH,2025-12-31,2025-12-31,4.39,2017-08-24,806400000.0,stock_zh_a_gbjg_em,3540095999.9999995,False,below_threshold
600388,龙净环保,SH600388,SH,2025-12-31,2025-12-31,16.31,2024-12-17,1270046293.0,stock_zh_a_gbjg_em,20714455038.829998,False,below_threshold
600389,江山股份,SH600389,SH,2025-12-31,2025-12-31,25.28,2024-06-18,430650000.0,stock_zh_a_gbjg_em,10886832000.0,False,below_threshold
600390,五矿资本,SH600390,SH,2025-12-31,2025-12-31,5.55,2020-01-20,4498065459.0,stock_zh_a_gbjg_em,24964263297.45,False,below_threshold
600391,航发科技,SH600391,SH,2025-12-31,2025-12-31,37.1,2012-06-25,330129367.0,stock_zh_a_gbjg_em,12247799515.7,False,below_threshold
600392,盛和资源,SH600392,SH,2025-12-31,2025-12-31,21.53,2022-04-19,1752826570.0,stock_zh_a_gbjg_em,37738356052.1,False,below_threshold
600395,盘江股份,SH600395,SH,2025-12-31,2025-12-31,4.66,2022-10-27,2146624894.0,stock_zh_a_gbjg_em,10003272006.04,False,below_threshold
600396,华电辽能,SH600396,SH,2025-12-31,2025-12-31,2.85,2018-12-25,1472706817.0,stock_zh_a_gbjg_em,4197214428.4500003,False,below_threshold
600397,江钨装备,SH600397,SH,2025-12-31,2025-12-31,7.6,2015-02-04,989959882.0,stock_zh_a_gbjg_em,7523695103.2,False,below_threshold
600398,海澜之家,SH600398,SH,2025-12-31,2025-12-31,6.05,2024-04-02,4802770296.0,stock_zh_a_gbjg_em,29056760290.8,False,below_threshold
600399,抚顺特钢,SH600399,SH,2025-12-31,2025-12-31,5.84,2018-12-28,1972100000.0,stock_zh_a_gbjg_em,11517064000.0,False,below_threshold
600400,红豆股份,SH600400,SH,2025-12-31,2025-12-31,2.38,2025-06-23,2291371852.0,stock_zh_a_gbjg_em,5453465007.76,False,below_threshold
600403,大有能源,SH600403,SH,2025-12-31,2025-12-31,6.98,2014-09-29,2390812402.0,stock_zh_a_gbjg_em,16687870565.960001,False,below_threshold
600405,动力源,SH600405,SH,2025-12-31,2025-12-31,5.21,2025-05-09,612829588.0,stock_zh_a_gbjg_em,3192842153.48,False,below_threshold
600406,国电南瑞,SH600406,SH,2025-12-31,2025-12-31,22.48,2025-12-29,8031756156.0,stock_zh_a_gbjg_em,180553878386.88,True,
600408,安泰集团,SH600408,SH,2025-12-31,2025-12-31,4.03,2010-08-25,1006800000.0,stock_zh_a_gbjg_em,4057404000.0000005,False,below_threshold
600409,三友化工,SH600409,SH,2025-12-31,2025-12-31,6.19,2020-06-19,2064349448.0,stock_zh_a_gbjg_em,12778323083.12,False,below_threshold
600410,华胜天成,SH600410,SH,2025-12-31,2025-12-31,17.88,2022-11-07,1096494683.0,stock_zh_a_gbjg_em,19605324932.039997,False,below_threshold
600415,小商品城,SH600415,SH,2025-12-31,2025-12-31,15.95,2025-11-05,5483559226.0,stock_zh_a_gbjg_em,87462769654.7,True,
600416,湘电股份,SH600416,SH,2025-12-31,2025-12-31,15.78,2025-12-31,1475782384.0,stock_zh_a_gbjg_em,23287846019.52,False,below_threshold
600418,江淮汽车,SH600418,SH,2025-12-31,2025-12-31,49.5,2023-06-13,2184009791.0,stock_zh_a_gbjg_em,108108484654.5,True,
600419,天润乳业,SH600419,SH,2025-12-31,2025-12-31,9.9,2025-12-31,315511881.0,stock_zh_a_gbjg_em,3123567621.9,False,below_threshold
600420,国药现代,SH600420,SH,2025-12-31,2025-12-31,10.1,2024-07-11,1341172692.0,stock_zh_a_gbjg_em,13545844189.199999,False,below_threshold
600422,昆药集团,SH600422,SH,2025-12-31,2025-12-31,12.56,2024-10-08,756975757.0,stock_zh_a_gbjg_em,9507615507.92,False,below_threshold
600425,青松建化,SH600425,SH,2025-12-31,2025-12-31,4.16,2023-02-10,1604703707.0,stock_zh_a_gbjg_em,6675567421.12,False,below_threshold
600426,华鲁恒升,SH600426,SH,2025-12-31,2025-12-31,31.43,2025-09-23,2123219998.0,stock_zh_a_gbjg_em,66732804537.14,True,
600428,中远海特,SH600428,SH,2025-12-31,2025-12-31,7.1,2025-12-31,2743920395.0,stock_zh_a_gbjg_em,19481834804.5,False,below_threshold
600429,三元股份,SH600429,SH,2025-12-31,2025-12-31,5.18,2025-11-07,1502089065.0,stock_zh_a_gbjg_em,7780821356.7,False,below_threshold
600433,冠豪高新,SH600433,SH,2025-12-31,2025-12-31,3.28,2025-03-25,1750279233.0,stock_zh_a_gbjg_em,5740915884.24,False,below_threshold
600435,北方导航,SH600435,SH,2025-12-31,2025-12-31,15.42,2025-12-31,1512357749.0,stock_zh_a_gbjg_em,23320556489.579998,False,below_threshold
600436,片仔癀,SH600436,SH,2025-12-31,2025-12-31,168.78,2016-05-24,603317210.0,stock_zh_a_gbjg_em,101827878703.8,True,
600438,通威股份,SH600438,SH,2025-12-31,2025-12-31,20.52,2025-12-31,4501990089.0,stock_zh_a_gbjg_em,92380836626.28,True,
600439,瑞贝卡,SH600439,SH,2025-12-31,2025-12-31,2.77,2017-06-09,1131985440.0,stock_zh_a_gbjg_em,3135599668.8,False,below_threshold
600444,国机通用,SH600444,SH,2025-12-31,2025-12-31,18.33,2018-09-25,146421932.0,stock_zh_a_gbjg_em,2683914013.56,False,below_threshold
600446,金证股份,SH600446,SH,2025-12-31,2025-12-31,15.92,2025-08-22,941267479.0,stock_zh_a_gbjg_em,14984978265.68,False,below_threshold
600448,华纺股份,SH600448,SH,2025-12-31,2025-12-31,3.15,2020-11-30,629819662.0,stock_zh_a_gbjg_em,1983931935.3,False,below_threshold
600449,宁夏建材,SH600449,SH,2025-12-31,2025-12-31,12.36,2014-12-22,478181042.0,stock_zh_a_gbjg_em,5910317679.12,False,below_threshold
600452,涪陵电力,SH600452,SH,2025-12-31,2025-12-31,9.37,2024-07-10,1536541654.0,stock_zh_a_gbjg_em,14397395297.98,False,below_threshold
600455,博通股份,SH600455,SH,2025-12-31,2025-12-31,25.97,2017-12-26,62458000.0,stock_zh_a_gbjg_em,1622034260.0,False,below_threshold
600456,宝钛股份,SH600456,SH,2025-12-31,2025-12-31,39.45,2021-08-23,477777539.0,stock_zh_a_gbjg_em,18848323913.550003,False,below_threshold
600458,时代新材,SH600458,SH,2025-12-31,2025-12-31,13.27,2025-12-31,931180500.0,stock_zh_a_gbjg_em,12356765235.0,False,below_threshold
600459,贵研铂业,SH600459,SH,2025-12-31,2025-12-31,18.61,2025-12-10,759807126.0,stock_zh_a_gbjg_em,14140010614.859999,False,below_threshold
600460,士兰微,SH600460,SH,2025-12-31,2025-12-31,28.41,2024-06-03,1664071845.0,stock_zh_a_gbjg_em,47276281116.45,False,below_threshold
600461,洪城环境,SH600461,SH,2025-12-31,2025-12-31,9.27,2025-12-31,1284155382.0,stock_zh_a_gbjg_em,11904120391.14,False,below_threshold
600463,空港股份,SH600463,SH,2025-12-31,2025-12-31,11.32,2019-01-02,300000000.0,stock_zh_a_gbjg_em,3396000000.0,False,below_threshold
600467,好当家,SH600467,SH,2025-12-31,2025-12-31,2.6,2016-06-03,1460994304.0,stock_zh_a_gbjg_em,3798585190.4,False,below_threshold
600468,百利电气,SH600468,SH,2025-12-31,2025-12-31,7.1,2022-06-28,1087735321.0,stock_zh_a_gbjg_em,7722920779.099999,False,below_threshold
600469,风神股份,SH600469,SH,2025-12-31,2025-12-31,6.94,2023-11-24,729450871.0,stock_zh_a_gbjg_em,5062389044.740001,False,below_threshold
600470,六国化工,SH600470,SH,2025-12-31,2025-12-31,5.98,2011-08-24,521600000.0,stock_zh_a_gbjg_em,3119168000.0,False,below_threshold
600475,华光环能,SH600475,SH,2025-12-31,2025-12-31,18.17,2025-05-30,955965729.0,stock_zh_a_gbjg_em,17369897295.93,False,below_threshold
600477,杭萧钢构,SH600477,SH,2025-12-31,2025-12-31,2.97,2024-08-05,2368966150.0,stock_zh_a_gbjg_em,7035829465.5,False,below_threshold
600478,科力远,SH600478,SH,2025-12-31,2025-12-31,6.89,2023-10-18,1665540916.0,stock_zh_a_gbjg_em,11475576911.24,False,below_threshold
