threshold_id,cluster_split_bucket,episode_cluster_id,cluster_anchor_n,cluster_mean_membership_vector,cluster_top1_prototype,cluster_top2_prototype,cluster_membership_entropy,cluster_within_membership_dispersion,cluster_sharp_anchor_share,cluster_out_of_prototype_residual_share
up100pct,train,up100pct::SH600570::000000,123,"{""choppy_reversal_winner"": 0.23094034631460766, ""jump_repricing_winner"": 0.061651475027090084, ""late_rescue_winner"": 0.15911550064338187, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.05415498169284627, ""stair_step_winner"": 0.4941376963220741}",stair_step_winner,choppy_reversal_winner,0.7305473061497195,0.05413101057014522,0.0,0.17886178861788618
up100pct,robustness,up100pct::SH600570::000001,3,"{""choppy_reversal_winner"": 0.35378043316954777, ""jump_repricing_winner"": 0.027364618225043758, ""late_rescue_winner"": 0.2216135502351028, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.01817047613806671, ""stair_step_winner"": 0.379070922232239}",stair_step_winner,choppy_reversal_winner,0.6923622505741357,0.008662998659207362,0.0,0.0
up100pct,train,up100pct::SH600585::000000,21,"{""choppy_reversal_winner"": 0.2900466399826576, ""jump_repricing_winner"": 0.030020424364118416, ""late_rescue_winner"": 0.24419391454849051, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.023922523824743684, ""stair_step_winner"": 0.41181649727998987}",stair_step_winner,choppy_reversal_winner,0.7049835121373231,0.026541027214737115,0.0,0.19047619047619047
up100pct,robustness,up100pct::SH600588::000000,1,"{""choppy_reversal_winner"": 0.24055571038803583, ""jump_repricing_winner"": 0.10271271538058013, ""late_rescue_winner"": 0.12588412510167188, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.05849461427582068, ""stair_step_winner"": 0.4723528348538915}",stair_step_winner,choppy_reversal_winner,0.7577555687364987,0.0,0.0,0.0
up100pct,train,up100pct::SH600596::000000,1,"{""choppy_reversal_winner"": 0.32217753936109594, ""jump_repricing_winner"": 0.00838830475073425, ""late_rescue_winner"": 0.5732726209278475, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.005400966670020328, ""stair_step_winner"": 0.09076056829030206}",late_rescue_winner,choppy_reversal_winner,0.5413486226898934,0.0,0.0,0.0
up100pct,train,up100pct::SH600597::000000,2,"{""choppy_reversal_winner"": 0.3480922382606817, ""jump_repricing_winner"": 0.026044764386504084, ""late_rescue_winner"": 0.3163453706876989, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.019418281048118963, ""stair_step_winner"": 0.29009934561699635}",choppy_reversal_winner,late_rescue_winner,0.7043248625734693,0.0003471256815546561,0.0,1.0
up100pct,train,up100pct::SH600598::000000,156,"{""choppy_reversal_winner"": 0.27175071946398743, ""jump_repricing_winner"": 0.051590207703371825, ""late_rescue_winner"": 0.18868550008227336, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.042509942247834935, ""stair_step_winner"": 0.4454636305025325}",stair_step_winner,choppy_reversal_winner,0.7345425922117034,0.05083020880929654,0.0,0.4807692307692308
up100pct,train,up100pct::SH600604::000000,22,"{""choppy_reversal_winner"": 0.2644327967689479, ""jump_repricing_winner"": 0.12983849459761732, ""late_rescue_winner"": 0.21100176977386642, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.29920525622861915, ""stair_step_winner"": 0.0955216826309493}",smooth_trend_winner,choppy_reversal_winner,0.8541592706911495,0.14766026344056785,0.18181818181818182,0.2727272727272727
up100pct,train,up100pct::SH600621::000000,40,"{""choppy_reversal_winner"": 0.3178383823850143, ""jump_repricing_winner"": 0.036348134866857215, ""late_rescue_winner"": 0.26252582089215737, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.02765367009600781, ""stair_step_winner"": 0.35563399175996324}",stair_step_winner,choppy_reversal_winner,0.7271000558492663,0.0615103846979714,0.0,0.3
up100pct,train,up100pct::SH600623::000000,26,"{""choppy_reversal_winner"": 0.4046168958283442, ""jump_repricing_winner"": 0.01658416374953397, ""late_rescue_winner"": 0.36087564016897855, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.010884513095697419, ""stair_step_winner"": 0.20703878715744584}",choppy_reversal_winner,late_rescue_winner,0.6569835839180602,0.03676358605718377,0.0,0.5769230769230769
up100pct,train,up100pct::SH600633::000000,4,"{""choppy_reversal_winner"": 0.3613280774441038, ""jump_repricing_winner"": 0.011204518882709093, ""late_rescue_winner"": 0.48335771586028076, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.007576212086815388, ""stair_step_winner"": 0.13653347572609098}",late_rescue_winner,choppy_reversal_winner,0.6018673649191154,0.006395093314829439,0.0,0.0
