structure_candidate_id,split,bucket_type,bucket_id,action_time_denominator_n,signal_n,signal_rate,winner_base_rate,winner_given_signal,primary_LR,primary_LR_ci90_lower,posterior_stability_flag
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,liquidity_bucket,q2,21439,54,0.002518774196557675,0.08391329150028523,0.025,0.2799246980076348,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,liquidity_bucket,q3,25027,58,0.002317497103128621,0.0959037711313394,0.06976744186046512,0.7070338983050848,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,liquidity_bucket,q4,26590,59,0.0022188792779240314,0.08777412576108627,0.1111111111111111,1.299109883364027,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,liquidity_bucket,q5,25495,84,0.003294763679152775,0.13892339544513457,0.21212121212121213,1.6687492835033817,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,market_cap_bucket,missing_mcap,109510,280,0.0025568441238243084,0.09895204582231013,0.09289617486338798,0.9325324660093979,,False
r02v2_near_high_persistence_persistence_4b3435_8aed64_23e5f3_ef2d12_f5ca38,train,calendar_year,2017,8918,159,0.017829109665844358,0.048822515795519814,0.05844155844155844,1.2092494929006083,,True
r02v2_near_high_persistence_persistence_4b3435_8aed64_23e5f3_ef2d12_f5ca38,train,calendar_year,2018,32151,417,0.012970047587944388,0.05874398565992641,0.0488997555012225,0.823805618095044,,False
r02v2_near_high_persistence_persistence_4b3435_8aed64_23e5f3_ef2d12_f5ca38,train,calendar_year,2019,35369,684,0.019338969153778734,0.09557335461619589,0.10730253353204174,1.1374758706602663,,True
r02v2_near_high_persistence_persistence_4b3435_8aed64_23e5f3_ef2d12_f5ca38,train,calendar_year,2020,46773,866,0.01851495520920189,0.25170303410393374,0.31234866828087166,1.3503828192974325,,True
r02v2_near_high_persistence_persistence_4b3435_8aed64_23e5f3_ef2d12_f5ca38,train,calendar_year,2021,58016,952,0.016409266409266408,0.16023919504422243,0.15184381778741865,0.938227435739902,,False
r02v2_near_high_persistence_persistence_4b3435_8aed64_23e5f3_ef2d12_f5ca38,train,industry,UNKNOWN,291,6,0.020618556701030927,0.6494464944649446,0.4,0.35984848484848486,,False
r02v2_near_high_persistence_persistence_4b3435_8aed64_23e5f3_ef2d12_f5ca38,train,industry,交通运输,10877,182,0.01673255493242622,0.07414104882459313,0.0967741935483871,1.3379790940766554,,True
r02v2_near_high_persistence_persistence_4b3435_8aed64_23e5f3_ef2d12_f5ca38,train,industry,传媒,3074,52,0.016916070266753416,0.18161434977578475,0.16279069767441862,0.8762002743484226,,False
r02v2_near_high_persistence_persistence_4b3435_8aed64_23e5f3_ef2d12_f5ca38,train,industry,公用事业,7347,125,0.017013747107662992,0.04852459016393443,0.03296703296703297,0.668458230958231,,False
r02v2_near_high_persistence_persistence_4b3435_8aed64_23e5f3_ef2d12_f5ca38,train,industry,农林牧渔,2387,50,0.02094679514034353,0.2973245835436648,0.3333333333333333,1.1816638370118846,,True
r02v2_near_high_persistence_persistence_4b3435_8aed64_23e5f3_ef2d12_f5ca38,train,industry,医药生物,11970,229,0.019131161236424395,0.1686527974146637,0.17525773195876287,1.0474850299401197,,True
r02v2_near_high_persistence_persistence_4b3435_8aed64_23e5f3_ef2d12_f5ca38,train,industry,商贸零售,1068,18,0.016853932584269662,0.013618677042801557,0.0,0.0,,False
r02v2_near_high_persistence_persistence_4b3435_8aed64_23e5f3_ef2d12_f5ca38,train,industry,国防军工,4054,79,0.019486926492353233,0.24723618090452262,0.24074074074074073,0.9653975808050763,,False
