filter_id,split_bucket,treated_lower_first_rate,control_lower_first_rate,lower_first_uplift_vs_compression_control,treated_fast_fail_rate,control_fast_fail_rate,fast_fail_uplift_vs_compression_control,treated_same_bar_conflict_rate,median_upper_barrier_return,median_abs_lower_barrier_return,utility_proxy_per_entry,utility_proxy_total_indexed,utility_proxy_total_indexed_ci_low,compression_baseline_utility_total_indexed,utility_margin_vs_compression_baseline,utility_margin_vs_compression_baseline_ci_low,cost_buffer_return,cost_buffer_source,badside_status,utility_status,native_baseline_winner_rate,bootstrap_seed,bootstrap_resample_n,bootstrap_valid_replicates,bootstrap_ci_low_quantile,bootstrap_unit,ci_status
turnover_zscore_20d__top_40pct,train,0.42297047970479706,0.43524889486834517,-0.012278415163548106,0.12696033210332103,0.1416874879876994,-0.014727155884378368,0.0,0.11172219571648438,0.05586109785824219,-0.0031204275239157444,-0.0002496411108000898,-0.0004019722860519479,-0.0016645376993812033,0.0014148965885811137,0.0012361346206956718,0.01,lineage,pass,utility_fail,0.14517929462992518,13202,500,500,0.05,instrument_month_block,pass
turnover_zscore_20d__top_40pct,validation,0.47842451942465386,0.4837957905469376,-0.0053712711222837495,0.12461352332302729,0.1335663826378268,-0.008952859314799513,0.0,0.1088228234142808,0.0544114117071404,-0.016882798550399127,-0.002048561149891841,-0.002328284031205165,-0.006934174667082011,0.00488561351719017,0.00445266567806931,0.01,lineage,pass,utility_fail,0.09591074428694929,13202,500,500,0.05,instrument_month_block,pass
turnover_zscore_20d__top_40pct,robustness,0.332059048403223,0.3522692914972957,-0.02021024309407271,0.10551079221313886,0.1070648704941714,-0.0015540782810325449,0.0,0.1050412856857259,0.05252064284286295,-0.004100192446634817,-0.0005337526771259726,-0.0007489044411534433,-0.002672568108024259,0.0021388154308982863,0.0018144519197706827,0.01,lineage,pass,utility_fail,0.1363712925107569,13202,500,500,0.05,instrument_month_block,pass
turnover_zscore_20d__top_30pct,train,0.4164360393603936,0.43629534446970447,-0.019859305109310887,0.123769987699877,0.14095087476524662,-0.01718088706536962,0.0,0.1117577443131803,0.05587887215659015,-0.002117333148266993,-0.00012704350486017623,-0.00024419191663831575,-0.0016645376993812033,0.001537494194521027,0.001340866225441778,0.01,lineage,pass,utility_fail,0.14517929462992518,13202,500,500,0.05,instrument_month_block,pass
turnover_zscore_20d__top_30pct,validation,0.4768126610231873,0.48366802236909,-0.0068553613459027,0.12274567537725432,0.13307066598881545,-0.010324990611561127,0.0,0.10871702337821515,0.054358511689107575,-0.01615209508443157,-0.0014316551892736744,-0.0016437875975072616,-0.006934174667082011,0.005502519477808336,0.005058849529319394,0.01,lineage,pass,utility_fail,0.09591074428694929,13202,500,500,0.05,instrument_month_block,pass
turnover_zscore_20d__top_30pct,robustness,0.3351742061236092,0.3483902807211078,-0.013216074597498573,0.10614797368634776,0.1065404824803321,-0.00039250879398433636,0.0,0.10490125342520572,0.05245062671260286,-0.004057611933397145,-0.00038251164297792767,-0.000537978494244064,-0.002672568108024259,0.0022900564650463313,0.0019067014250712902,0.01,lineage,pass,utility_fail,0.1363712925107569,13202,500,500,0.05,instrument_month_block,pass
turnover_zscore_20d__top_20pct,train,0.41190036900369004,0.43494681004410873,-0.023046441040418697,0.12961254612546125,0.13734252025254418,-0.007729974127082928,0.0,0.11190139624000608,0.05595069812000304,-0.0010576951574810655,-4.230897721189609e-05,-0.00012596524194071802,-0.0016645376993812033,0.0016222287221693073,0.0013963663880568564,0.01,lineage,pass,utility_fail,0.14517929462992518,13202,500,500,0.05,instrument_month_block,pass
turnover_zscore_20d__top_20pct,validation,0.46582785244495284,0.485090250664856,-0.019262398219903165,0.12067486416928797,0.1323487806258134,-0.011673916456525435,0.0,0.10884284147615016,0.05442142073807508,-0.014590883362233959,-0.0008322755821966848,-0.0009947951244808004,-0.006934174667082011,0.006101899084885326,0.005608975200208533,0.01,lineage,pass,utility_fail,0.09591074428694929,13202,500,500,0.05,instrument_month_block,pass
turnover_zscore_20d__top_20pct,robustness,0.3450270338237143,0.3447191358820345,0.0003078979416797911,0.10851251100213756,0.1058750741151298,0.002637436887007766,0.0,0.10533007205195072,0.05266503602597536,-0.004755349109446435,-0.0002895500594685677,-0.0003968358601013512,-0.002672568108024259,0.0023830180485556914,0.0019789232775210054,0.01,lineage,fail,utility_fail,0.1363712925107569,13202,500,500,0.05,instrument_month_block,pass
volume_up_price_not_down_5d__top_50pct,train,0.4221863468634686,0.438488860187278,-0.016302513323809387,0.12509225092250922,0.14650122238110613,-0.02140897145859691,0.0,0.1109896772595964,0.0554948386297982,-0.006536692035695712,-0.0006536872945463576,-0.0008428967356834229,-0.0016645376993812033,0.0010108504048348458,0.0008352069970751322,0.01,lineage,pass,utility_fail,0.14517929462992518,13202,500,500,0.05,instrument_month_block,pass
volume_up_price_not_down_5d__top_50pct,validation,0.4510811597013478,0.5111909367228517,-0.06010977702150383,0.11083099001260545,0.14902827668785115,-0.038197286675245704,0.0,0.10789883410245749,0.05394941705122874,-0.014760396539961034,-0.0024829786079341373,-0.0028301254050678948,-0.006934174667082011,0.004451196059147873,0.004109510588736242,0.01,lineage,pass,utility_fail,0.09591074428694929,13202,500,500,0.05,instrument_month_block,pass
volume_up_price_not_down_5d__top_50pct,robustness,0.3482122523343202,0.3420108805158171,0.00620137181850311,0.10936005465725347,0.10396937336288535,0.0053906812943681215,0.0,0.10716545033050562,0.05358272516525281,-0.0061805071790653286,-0.0010388858400813027,-0.0013296871308976518,-0.002672568108024259,0.0016336822679429562,0.0013639650651475802,0.01,lineage,fail,utility_fail,0.1363712925107569,13202,500,500,0.05,instrument_month_block,pass
