split,grouping_scheme,row_grain,outcome,bucket_count,sufficient_bucket_count,sufficient_bucket_ratio,covered_episode_count,covered_fresh_step_count,parent_grouping_scheme,weighted_abs_lift_vs_parent,weighted_signed_lift_vs_parent,max_abs_lift_vs_parent,median_abs_lift_vs_parent,sample_sufficiency_status,interpretability_status
robustness,kth_offset_price_state,fresh_step,seed_anchor_big_winner_rate,75,12,0.16,3591,3602.0,kth_offset,0.04023425202000176,1.5789099901106267e-18,0.896551724137931,0.05836120761493896,thin_episode_denominator,comparable
robustness,kth_offset_price_state,fresh_step,seed_P_good_minus_P_bad,75,12,0.16,3591,3602.0,kth_offset,0.2222203701820435,3.3469958830611337e-18,1.6363636363636365,0.36363636363636354,thin_episode_denominator,comparable
robustness,kth_offset_price_state,fresh_step,fresh_anchor_big_winner_rate,75,12,0.16,3591,3602.0,kth_offset,0.020064945332477997,-3.815560973497271e-18,0.9444444444444444,0.029288419913419916,thin_episode_denominator,comparable
robustness,kth_offset_price_state,fresh_step,fresh_P_good_minus_P_bad,75,12,0.16,3591,3602.0,kth_offset,0.1263142377565629,4.055410105661412e-17,1.298780487804878,0.18561784207353826,thin_episode_denominator,comparable
robustness,kth_offset_price_state,fresh_step,fresh_max_gain_120d_p50,75,12,0.16,3591,3602.0,kth_offset,0.01577175277277884,0.0015601214644954992,1.2317488814230702,0.026900323650089444,thin_episode_denominator,comparable
robustness,kth_offset_price_state,fresh_step,fresh_max_drawdown_120d_p50,75,12,0.16,3591,3602.0,kth_offset,0.025015277196672178,0.0009108519953354392,0.1736555653092124,0.036400432918655926,thin_episode_denominator,comparable
all,kth_offset_price_state,fresh_step,seed_anchor_big_winner_rate,78,34,0.4358974358974359,12271,12302.0,kth_offset,0.054437910585035366,-3.6535517058828683e-19,0.614406779661017,0.0847457627118644,sufficient,comparable
all,kth_offset_price_state,fresh_step,seed_P_good_minus_P_bad,78,34,0.4358974358974359,12271,12302.0,kth_offset,0.26527429851588524,2.3530867772855137e-17,1.4750479846449136,0.39358974358974363,sufficient,comparable
all,kth_offset_price_state,fresh_step,fresh_anchor_big_winner_rate,78,34,0.4358974358974359,12271,12302.0,kth_offset,0.026310214222880345,2.994016309744856e-18,0.41379310344827586,0.0449318797836392,sufficient,comparable
all,kth_offset_price_state,fresh_step,fresh_P_good_minus_P_bad,78,34,0.4358974358974359,12271,12302.0,kth_offset,0.05278801152626845,-7.090156251827833e-18,1.272,0.09714632665452339,sufficient,comparable
all,kth_offset_price_state,fresh_step,fresh_max_gain_120d_p50,78,34,0.4358974358974359,12271,12302.0,kth_offset,0.013911934053944492,0.0004320980364262714,0.3609722009362173,0.017116438742065865,sufficient,comparable
all,kth_offset_price_state,fresh_step,fresh_max_drawdown_120d_p50,78,34,0.4358974358974359,12271,12302.0,kth_offset,0.028076064498695128,-0.001054036277066424,0.2351728053380368,0.03413177938196499,sufficient,comparable
train,family_presence_after_step,fresh_step,seed_anchor_big_winner_rate,18,18,1.0,5304,5550.0,fresh_step_base,0.08237325129450714,-1.5534384253609537e-18,0.16568751658388736,0.10237549275819172,sufficient,comparable
train,family_presence_after_step,fresh_step,seed_P_good_minus_P_bad,18,18,1.0,5304,5550.0,fresh_step_base,0.26107904692675893,-1.2073793300936282e-17,0.5514962711224394,0.2233717065005409,sufficient,comparable
train,family_presence_after_step,fresh_step,fresh_anchor_big_winner_rate,18,18,1.0,5304,5550.0,fresh_step_base,0.058418233340079666,-1.7388744349143197e-17,0.15562446386281453,0.07564864519427403,sufficient,comparable
train,family_presence_after_step,fresh_step,fresh_P_good_minus_P_bad,18,18,1.0,5304,5550.0,fresh_step_base,0.039654083943649575,6.285340122561964e-17,0.273542076195825,0.060098522167487706,sufficient,comparable
train,family_presence_after_step,fresh_step,fresh_max_gain_120d_p50,18,18,1.0,5304,5550.0,fresh_step_base,0.031237168062417015,0.00326716989522338,0.07517994545265749,0.035438153325309,sufficient,comparable
train,family_presence_after_step,fresh_step,fresh_max_drawdown_120d_p50,18,18,1.0,5304,5550.0,fresh_step_base,0.037080737785777244,-0.0008568142842916602,0.08895036880883561,0.04581585548067177,sufficient,comparable
validation,family_presence_after_step,fresh_step,seed_anchor_big_winner_rate,18,12,0.6666666666666666,2999,3150.0,fresh_step_base,0.02584617108358233,1.6129148057508328e-18,0.10800040355125101,0.021931158445528377,sufficient,comparable
validation,family_presence_after_step,fresh_step,seed_P_good_minus_P_bad,18,12,0.6666666666666666,2999,3150.0,fresh_step_base,0.19910805458638037,9.951578932214289e-17,0.42817126850740295,0.18326508816292464,sufficient,comparable
