split,family,stage_role_candidate,episode_count,stage_count,median_wait_return,up_10pct_plus_price_state_share,seed_anchor_big_winner_denominator,seed_anchor_big_winner_rate,seed_path_denominator,seed_P_good,seed_P_bad,fresh_anchor_big_winner_denominator,fresh_anchor_big_winner_rate,fresh_path_denominator,fresh_P_good,fresh_P_bad,sample_sufficiency_status
all,momentum_rps,early_confirmation,3780,1,0.039705559069651675,0.08677248677248678,2944.0,0.15692934782608695,3006.0,0.6360612109115104,0.35063206919494344,2914.0,0.1269732326698696,2976.0,0.3279569892473118,0.6518817204301075,sufficient
all,momentum_rps,lagging_price_state_proxy,35,1,0.10182159368110799,0.5714285714285714,31.0,0.12903225806451613,31.0,0.9354838709677419,0.03225806451612903,32.0,0.09375,31.0,0.3870967741935484,0.5483870967741935,thin_episode_denominator
all,momentum_rps,late_continuation,2451,3,0.06456012830702118,0.20644634842921256,2003.0,0.13779331003494757,2043.0,0.784630445423397,0.19236417033773862,1960.0,0.08622448979591837,1999.0,0.3461730865432716,0.6238119059529765,sufficient
all,momentum_rps,not_supported,9208,1,,0.0,7006.0,0.05338281473023123,7172.0,0.130228667038483,0.8179029559397658,0.0,,0.0,,,sufficient
all,momentum_rps,probe_candidate,6532,1,0.0,0.0,4866.0,0.1611179613645705,4966.0,0.33387031816351187,0.6524365686669351,0.0,,0.0,,,sufficient
all,oscillator,early_confirmation,3620,1,0.03656151101013394,0.11546961325966851,2772.0,0.1277056277056277,2840.0,0.6626760563380282,0.29225352112676056,2736.0,0.09502923976608187,2810.0,0.3893238434163701,0.5665480427046263,sufficient
all,oscillator,lagging_price_state_proxy,185,1,0.11219295970121279,0.6054054054054054,165.0,0.2545454545454545,165.0,0.9212121212121213,0.07878787878787878,160.0,0.1625,161.0,0.36024844720496896,0.639751552795031,sufficient
all,oscillator,late_continuation,3721,3,0.062119394215854884,0.25208277344799784,2931.0,0.1535312180143296,2981.0,0.7527675276752768,0.21033210332103322,2882.0,0.09784871616932686,2933.0,0.36140470508012273,0.6031367200818275,sufficient
all,oscillator,not_supported,9706,1,,0.0,7322.0,0.08167167440590002,7498.0,0.06535076020272072,0.9109095758869031,0.0,,0.0,,,sufficient
all,oscillator,probe_candidate,4774,1,0.0,0.0,3660.0,0.12459016393442623,3734.0,0.36636314943760045,0.6036422067487949,0.0,,0.0,,,sufficient
all,price_trend,early_confirmation,2564,1,0.056119838752013096,0.1294851794071763,1992.0,0.17369477911646586,2050.0,0.7434146341463415,0.24390243902439024,1974.0,0.13272543059777103,2028.0,0.358974358974359,0.6183431952662722,sufficient
all,price_trend,lagging_price_state_proxy,74,1,0.09896752787332785,0.5,66.0,0.13636363636363635,66.0,0.9242424242424242,0.06060606060606061,69.0,0.07246376811594203,69.0,0.3333333333333333,0.6521739130434783,thin_episode_denominator
all,price_trend,late_continuation,2580,3,0.07062736952609949,0.2065891472868217,2112.0,0.140625,2144.0,0.8036380597014925,0.17630597014925373,2035.0,0.09582309582309582,2069.0,0.3707104881585307,0.6017399710004834,sufficient
all,price_trend,not_supported,9372,1,,0.0,7082.0,0.05393956509460604,7244.0,0.1217559359469906,0.8252346769740475,0.0,,0.0,,,sufficient
all,price_trend,probe_candidate,7416,1,0.0,0.0,5598.0,0.1546981064665952,5714.0,0.34056702835141756,0.6464823241162058,0.0,,0.0,,,sufficient
