model_id,train_target_component,threshold_id,denominator_id,split,total_rejected_hybrid_positive_n,total_hybrid_cost_reduction_rate,fast_fail_attributed_cost_reduction,fast_fail_attributed_cost_reduction_share,fast_fail_only_rejected_n,false_repair_only_rejected_n,both_rejected_n,neither_rejected_n,fast_fail_only_hybrid_positive_rejected_n,false_repair_only_hybrid_positive_rejected_n,both_hybrid_positive_rejected_n,neither_hybrid_positive_rejected_n,fast_fail_only_cost_reduction_rate,false_repair_only_cost_reduction_rate,both_cost_reduction_rate,neither_cost_reduction_rate
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8250,risk_on_r6_horizon_complete,validation,108,0.010683403312048478,0.02240993464770169,2.0976400490682887,27,50,31,221,27,50,31,0,0.017299761856025244,-0.016836704127329655,0.010220345583352893,-0.010683403312048423
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8250,risk_on_r_core_horizon_complete,robustness,662,0.0016529656171911378,0.013434963281223782,8.127793549664775,84,377,201,1534,84,377,201,0,0.00653612496252003,-0.018680835982736427,0.013797676637407504,-0.0016529656171910823
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8250,risk_on_r_core_horizon_complete,train,1253,0.008623384491493913,0.01372966569192908,1.5921435145878038,83,718,452,1653,83,718,452,0,0.004372944701325319,-0.014463002191038965,0.018713441981207522,-0.008623384491493802
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8250,risk_on_r_core_horizon_complete,validation,324,0.006236928739438763,0.019045983475448003,3.0537439613526636,65,164,95,648,65,164,95,0,0.013332243156268618,-0.018522795055188612,0.011427480638358765,-0.006236928739438818
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8000,risk_on_r6_horizon_complete,robustness,284,0.007746854372621237,0.021429490754644127,2.766218354430382,40,159,85,600,40,159,85,0,0.010958366786587645,-0.02415376035007938,0.020942247936112966,-0.007746854372621237
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8000,risk_on_r6_horizon_complete,train,497,0.01356563028897384,0.022508305647840534,1.6592156183214952,53,270,174,609,53,270,174,0,0.01020027581019244,-0.02125070519651473,0.02461605967529619,-0.01356563028897384
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8000,risk_on_r6_horizon_complete,validation,120,0.009529115474712746,0.02244919901085905,2.355853391684896,27,59,34,256,27,59,34,0,0.017021955931750578,-0.01834732661525479,0.010854486158216943,-0.00952911547471269
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8000,risk_on_r_core_horizon_complete,robustness,748,0.0015873331327045936,0.015824499043227927,9.969236272580787,98,428,222,1742,98,428,222,0,0.008092531499662148,-0.021969133454089157,0.015463935087131554,-0.0015873331327045381
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8000,risk_on_r_core_horizon_complete,train,1391,0.007080544139991096,0.014853437163544023,2.0977818752165422,90,810,491,1930,90,810,491,0,0.004788196043655625,-0.01783813414344132,0.020130482239776794,-0.007080544139991041
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8000,risk_on_r_core_horizon_complete,validation,372,0.006009099481933455,0.019934647028160488,3.317410052553569,67,199,106,760,67,199,106,0,0.0136575902399031,-0.020202604334484398,0.012554113576514772,-0.006009099481933511
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7750,risk_on_r6_horizon_complete,robustness,321,0.010450781822551214,0.022822853091242754,2.1838416951729367,43,189,89,670,43,189,89,0,0.012022768484001087,-0.023172155875933187,0.02160016921448333,-0.010450781822551214
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7750,risk_on_r6_horizon_complete,train,539,0.012763377984372881,0.023541486653205126,1.84445580801796,53,298,188,682,53,298,188,0,0.010088185418100998,-0.024231409903936352,0.026906602470208256,-0.012763377984372881
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7750,risk_on_r6_horizon_complete,validation,135,0.007863988863488047,0.026099130408389362,3.3188157894736863,30,66,39,300,30,66,39,0,0.01961858274364914,-0.02471568920964154,0.012961095329480442,-0.007863988863488047
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7750,risk_on_r_core_horizon_complete,robustness,836,0.0009125819509426258,0.016913116232130335,18.533257440233623,105,494,237,1969,105,494,237,0,0.008751525855128173,-0.02416212465818987,0.016323180754004324,-0.0009125819509425703
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7750,risk_on_r_core_horizon_complete,train,1537,0.006059926723768649,0.016166276041814778,2.6677345748103405,96,906,535,2199,96,906,535,0,0.005152515437134929,-0.021120109922726005,0.022027521209359698,-0.006059926723768649
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7750,risk_on_r_core_horizon_complete,validation,426,0.006112820200051383,0.022524895275008155,3.684861412219979,72,232,122,882,72,232,122,0,0.014942829377760446,-0.02399414097220448,0.015164131794495418,-0.006112820200051439
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7500,risk_on_r6_horizon_complete,robustness,348,0.010357542405484088,0.025803794954394225,2.491304784881372,48,206,94,736,48,206,94,0,0.014291076302540607,-0.026958971200763793,0.023025437303707236,-0.010357542405484033
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7500,risk_on_r6_horizon_complete,train,589,0.013084028263138203,0.0255754114526985,1.9547046932596766,57,331,201,757,57,331,201,0,0.011110658994513963,-0.026956135647744794,0.028929504916369073,-0.013084028263138259
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7500,risk_on_r6_horizon_complete,validation,146,0.0023795090196847,0.025510983839960106,10.721112476951431,31,76,39,346,31,76,39,0,0.02043350354549769,-0.02820895511473781,0.01015496058892483,-0.0023795090196846447
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7500,risk_on_r_core_horizon_complete,robustness,898,-0.0023616411364637546,0.018198001669221982,-7.705659165672852,111,533,254,2191,111,533,254,0,0.009352409654869089,-0.029405234820038623,0.017691184028705786,0.0023616411364637546
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7500,risk_on_r_core_horizon_complete,train,1695,0.005934979685359887,0.01768708603066735,2.9801426404705267,106,1015,574,2456,106,1015,574,0,0.005862352425907184,-0.023576839950067652,0.023649467209520325,-0.005934979685359831
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7500,risk_on_r_core_horizon_complete,validation,473,0.005824446673441619,0.025060395892299442,4.302622600455788,77,261,135,992,77,261,135,0,0.016397327283045715,-0.02789901782811155,0.017326137218507454,-0.005824446673441619
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7250,risk_on_r6_horizon_complete,robustness,370,0.009124317947847405,0.026979828450416684,2.9569145446955543,48,221,101,797,48,221,101,0,0.014079058196705255,-0.030756280756280785,0.02580154050742286,-0.009124317947847294
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7250,risk_on_r6_horizon_complete,train,634,0.01240198889141303,0.026445515049367645,2.1323608076828844,58,365,211,833,58,365,211,0,0.011315546168886631,-0.029173495038435637,0.030259937760962023,-0.012401988891412974
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7250,risk_on_r6_horizon_complete,validation,158,-0.00038905129378852266,0.02673878524908932,-68.72817460317654,31,83,44,384,31,83,44,0,0.020257684727961286,-0.03360893706400589,0.012962201042256066,0.00038905129378852266
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7250,risk_on_r_core_horizon_complete,robustness,963,-0.004700198954059931,0.020271349663897133,-4.312870553359699,119,569,275,2394,119,569,275,0,0.010335419096074154,-0.03490747918578005,0.01987186113564596,0.004700198954059931
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7250,risk_on_r_core_horizon_complete,train,1832,0.004056796288898434,0.018565067431894067,4.576287816742987,109,1114,609,2734,109,1114,609,0,0.006039595304907983,-0.027033743269981703,0.02505094425397217,-0.004056796288898434
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7250,risk_on_r_core_horizon_complete,validation,521,0.005964453310793316,0.02647319014193929,4.438493984693152,78,295,148,1100,78,295,148,0,0.016602858912289284,-0.030379068060795933,0.019740662459300014,-0.005964453310793316
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7000,risk_on_r6_horizon_complete,robustness,391,0.007708692218942825,0.028005877948930342,3.6330258302582856,49,237,105,856,49,237,105,0,0.014425210324982535,-0.03387785335393534,0.027161335247895612,-0.00770869221894277
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7000,risk_on_r6_horizon_complete,train,679,0.010327777473699173,0.027299815039909456,2.6433388121918244,59,399,221,920,59,399,221,0,0.011528378619811487,-0.032743473986308225,0.03154287284019593,-0.010327777473699173
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7000,risk_on_r6_horizon_complete,validation,171,0.0034746206845708283,0.028608324665479613,8.233510147601393,32,92,47,404,32,92,47,0,0.021285257062631322,-0.03245677158375712,0.014646135205696582,-0.0034746206845707173
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7000,risk_on_r_core_horizon_complete,robustness,1035,-0.0065431681651303975,0.022011873066226432,-3.36410015923651,128,619,288,2599,128,619,288,0,0.011562246265979343,-0.039004668031603934,0.02089925360049418,0.006543168165130453
