condition_group_id,family_id,grain,split,horizon,signal_count,complete_horizon_count,incomplete_horizon_count,endpoint_return_max,endpoint_return_min,endpoint_return_mean,endpoint_return_median,endpoint_return_p25,endpoint_return_p75,endpoint_return_positive_rate,path_max_return_mean,path_max_return_median,path_min_return_mean,path_min_return_median
oscillator__and4__95dbd99ae828,oscillator,episode,validation,5,3241,3155,86,0.5380434421112346,-0.2175252675411411,-0.0009422732217969217,-0.003124996973201677,-0.02814950852746645,0.02338859190386633,0.45990491283676704,0.02328666140851444,0.014124040554989059,-0.022803657047233524,-0.017727339284764387
oscillator__and4__95dbd99ae828,oscillator,episode,validation,10,3241,3146,95,0.5879365224686881,-0.3027314592113939,-0.004458264256548237,-0.004415028369677332,-0.04886125515694004,0.03308475366742508,0.46026700572155116,0.038969459565815545,0.024875557763047063,-0.04059925274751203,-0.028948365299535483
oscillator__and4__95dbd99ae828,oscillator,episode,validation,20,3241,3117,124,0.8739298995220646,-0.4069138011090585,-0.009947437717302823,-0.014553050414575663,-0.0731021300275484,0.03921564960882984,0.42091754892524863,0.060952415376687115,0.03653405922802455,-0.06576303882105489,-0.05042936111628482
price_trend__and3__6030760ed19f,price_trend,episode,robustness,1,3156,3150,6,0.10257786043637718,-0.10169497552667062,0.002490488868046405,0.0,-0.01341115169090093,0.013957313816020889,0.48698412698412696,0.002490488868046405,0.0,0.002490488868046405,0.0
price_trend__and3__6030760ed19f,price_trend,episode,robustness,3,3156,3133,23,0.33103546863817046,-0.1687626739062864,0.008538985827101433,0.001629951372715821,-0.022674493005686358,0.02862423100651479,0.5135652729013724,0.024263472121839536,0.011915289478455549,-0.012013834674009148,-0.010928505762616059
price_trend__and3__6030760ed19f,price_trend,episode,robustness,5,3156,3115,41,0.5018282390647157,-0.2258204329243072,0.011473062346566627,0.0006353385658992572,-0.030549282453153304,0.03504375424334982,0.5024077046548957,0.03917301979417368,0.019607781472250396,-0.020971813019126085,-0.0174478356780301
price_trend__and3__6030760ed19f,price_trend,episode,robustness,10,3156,3069,87,0.7906976357352222,-0.27786609678753615,0.010005092819626412,-0.001529379451976065,-0.039243195630875305,0.04598923357839202,0.49038774845226457,0.05878262663753034,0.03450189997996811,-0.03621724267199123,-0.029922933687935027
price_trend__and3__6030760ed19f,price_trend,episode,robustness,20,3156,3002,154,1.1464646257875941,-0.38643921136081616,0.017119967116390356,-0.0013519658610084972,-0.05706136680752791,0.07036405722650779,0.49233844103930713,0.08908090743110453,0.057338802371103004,-0.05400462344997524,-0.04387136119788615
price_trend__and3__6030760ed19f,price_trend,episode,train,1,6396,6391,5,0.1225296230376054,-0.11218995298499013,0.0031806280683561567,0.0,-0.013941005940173445,0.015511854927697799,0.47926772023157566,0.0031806280683561567,0.0,0.0031806280683561567,0.0
price_trend__and3__6030760ed19f,price_trend,episode,train,3,6396,6371,25,0.4051383821970489,-0.297123733834436,0.003796959522056798,-0.0004293786384168552,-0.02632148702269327,0.029288070981775105,0.48956207816669284,0.021843677381632533,0.012915848671626762,-0.014536084425692012,-0.013040972718358357
price_trend__and3__6030760ed19f,price_trend,episode,train,5,6396,6343,53,0.5102469119345194,-0.3757062063872768,0.003153153607147872,-0.0013850072486515375,-0.03706216001515322,0.03736652523496298,0.48604761154028064,0.03403827782654464,0.02261668790796678,-0.026043433471897973,-0.020968905528042536
price_trend__and3__6030760ed19f,price_trend,episode,train,10,6396,6300,96,1.057245024345138,-0.45799456500389046,0.004891624242407161,-0.002926144475703607,-0.05250941200340431,0.05282755947320289,0.48158730158730156,0.058968826418773955,0.0412103746397694,-0.046607028963315394,-0.03668982880905014
price_trend__and3__6030760ed19f,price_trend,episode,train,20,6396,6183,213,1.3083110716990105,-0.5429087549889142,0.008202223520361956,-0.007396477668926593,-0.07744682816648152,0.08034953821590074,0.47517386382015203,0.09324413443392272,0.06494791576535697,-0.07305312854331286,-0.05963307819265162
price_trend__and3__6030760ed19f,price_trend,episode,validation,1,3021,3010,11,0.11130899830393726,-0.10328375393095435,0.0005532371245804185,-0.0014723849157514124,-0.013980912350943453,0.011842881065623811,0.4548172757475083,0.0005532371245804185,-0.0014723849157514124,0.0005532371245804185,-0.0014723849157514124
price_trend__and3__6030760ed19f,price_trend,episode,validation,3,3021,2988,33,0.27485931961688426,-0.2100395747561432,-0.00035192194042710294,-0.0032777887555037744,-0.02611019099571832,0.023451818201653596,0.4541499330655957,0.016517357167995097,0.009305971180297745,-0.015760625071865417,-0.013661207964489719
price_trend__and3__6030760ed19f,price_trend,episode,validation,5,3021,2977,44,0.537448633058921,-0.2175252675411411,-0.002299514364058005,-0.005235597192677299,-0.03461538132360942,0.02782606041949731,0.4581793752099429,0.02630932475211331,0.017064803092291747,-0.026989846846658734,-0.021957979697295182
price_trend__and3__6030760ed19f,price_trend,episode,validation,10,3021,2970,51,0.5731959308190873,-0.29045834089031786,-0.00599491025285286,-0.007350245692826829,-0.05743436153519266,0.03710308038470178,0.4471380471380471,0.04347583020775477,0.02940386203175005,-0.04694578916138701,-0.036663862883806075
price_trend__and3__6030760ed19f,price_trend,episode,validation,20,3021,2951,70,0.6891313004083004,-0.3637032906968566,-0.013899673134171205,-0.02378023526938744,-0.08711653271419545,0.04799989960818707,0.4066418163334463,0.06768522636143655,0.04456487022538924,-0.07635648566001339,-0.06254955245892413
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,episode,robustness,1,3385,3379,6,0.10461828249097693,-0.10293822717903023,0.003133902191198192,0.0,-0.011961202786465508,0.014097434154496824,0.49097366084640426,0.003133902191198192,0.0,0.003133902191198192,0.0
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,episode,robustness,3,3385,3362,23,0.3310878717600769,-0.18990332138196908,0.007158913243421264,0.0,-0.0226165043308528,0.025460089715917955,0.4952409280190363,0.02290964445919208,0.01088161302422308,-0.011596271281792827,-0.010690687579163693
