split,year,conditioning_state,conditioning_key,seed_episode_count,big_winner_label_denominator,big_winner_count_close_anchor,big_winner_rate_close_anchor,big_winner_rate_close_anchor_lower,big_winner_rate_close_anchor_upper,path_label_denominator,good_count,bad_count,neutral_count,P_good,P_bad,P_neutral,P_good_lower,P_good_upper,P_bad_lower,P_bad_upper,censored_or_invalid_count,failed_before_condition_count,sample_sufficiency_status
train,all,kth_fresh_step_index=1|kth_fresh_status=reached|kth_fresh_offset_bucket=t11_t20|kth_fresh_added_family_key=price_trend|range_breakout|kth_fresh_added_family_count=2|pre_kth_step_survival_state=survived_before_kth,1|reached|t11_t20|price_trend|range_breakout|2|survived_before_kth,2,2,0,0.0,0.0008681992074418029,0.5692585318618988,2,2,0,0,1.0,0.0,0.0,0.43074146813810105,0.9991318007925581,0.0008681992074418029,0.5692585318618988,0,0,unusable
train,all,kth_fresh_step_index=1|kth_fresh_status=reached|kth_fresh_offset_bucket=t11_t20|kth_fresh_added_family_key=price_trend|range_breakout|volatility_band|volume_money|kth_fresh_added_family_count=4|pre_kth_step_survival_state=survived_before_kth,1|reached|t11_t20|price_trend|range_breakout|volatility_band|volume_money|4|survived_before_kth,1,0,0,,,,1,0,1,0,0.0,1.0,0.0,0.0015429193026729434,0.7714801861936711,0.22851981380632877,0.9984570806973271,0,0,unusable
train,all,kth_fresh_step_index=1|kth_fresh_status=reached|kth_fresh_offset_bucket=t11_t20|kth_fresh_added_family_key=price_trend|range_breakout|volume_money|kth_fresh_added_family_count=3|pre_kth_step_survival_state=survived_before_kth,1|reached|t11_t20|price_trend|range_breakout|volume_money|3|survived_before_kth,2,1,0,0.0,0.0015429193026729434,0.7714801861936711,1,1,0,0,1.0,0.0,0.0,0.22851981380632877,0.9984570806973271,0.0015429193026729434,0.7714801861936711,1,0,unusable
train,all,kth_fresh_step_index=1|kth_fresh_status=reached|kth_fresh_offset_bucket=t11_t20|kth_fresh_added_family_key=price_trend|volatility_band|kth_fresh_added_family_count=2|pre_kth_step_survival_state=survived_before_kth,1|reached|t11_t20|price_trend|volatility_band|2|survived_before_kth,1,1,0,0.0,0.0015429193026729434,0.7714801861936711,1,1,0,0,1.0,0.0,0.0,0.22851981380632877,0.9984570806973271,0.0015429193026729434,0.7714801861936711,0,0,unusable
train,all,kth_fresh_step_index=1|kth_fresh_status=reached|kth_fresh_offset_bucket=t11_t20|kth_fresh_added_family_key=price_trend|volume_money|kth_fresh_added_family_count=2|pre_kth_step_survival_state=survived_before_kth,1|reached|t11_t20|price_trend|volume_money|2|survived_before_kth,5,4,0,0.0,0.0004617041154873462,0.36248681276449385,4,2,2,0,0.5,0.5,0.0,0.16528026665565798,0.8347197333443419,0.16528026665565798,0.8347197333443419,1,0,unusable
train,all,kth_fresh_step_index=1|kth_fresh_status=reached|kth_fresh_offset_bucket=t11_t20|kth_fresh_added_family_key=pullback_drawdown|kth_fresh_added_family_count=1|pre_kth_step_survival_state=survived_before_kth,1|reached|t11_t20|pullback_drawdown|1|survived_before_kth,4,4,0,0.0,0.0004617041154873462,0.36248681276449385,4,3,1,0,0.75,0.25,0.0,0.34929278341332504,0.9539928110963083,0.046007188903691695,0.6507072165866749,0,0,unusable
train,all,kth_fresh_step_index=1|kth_fresh_status=reached|kth_fresh_offset_bucket=t11_t20|kth_fresh_added_family_key=pullback_drawdown|volatility_band|kth_fresh_added_family_count=2|pre_kth_step_survival_state=survived_before_kth,1|reached|t11_t20|pullback_drawdown|volatility_band|2|survived_before_kth,2,1,0,0.0,0.0015429193026729434,0.7714801861936711,1,1,0,0,1.0,0.0,0.0,0.22851981380632877,0.9984570806973271,0.0015429193026729434,0.7714801861936711,1,0,unusable
train,all,kth_fresh_step_index=1|kth_fresh_status=reached|kth_fresh_offset_bucket=t11_t20|kth_fresh_added_family_key=range_breakout|kth_fresh_added_family_count=1|pre_kth_step_survival_state=survived_before_kth,1|reached|t11_t20|range_breakout|1|survived_before_kth,14,11,0,0.0,0.00017470336621800935,0.15687123050498378,12,4,7,1,0.3333333333333333,0.5833333333333334,0.08333333333333333,0.15112631437565863,0.5690597411825391,0.35232057014694185,0.7875611027697998,2,0,too_sparse_report_only
train,all,kth_fresh_step_index=1|kth_fresh_status=reached|kth_fresh_offset_bucket=t11_t20|kth_fresh_added_family_key=range_breakout|volatility_band|kth_fresh_added_family_count=2|pre_kth_step_survival_state=survived_before_kth,1|reached|t11_t20|range_breakout|volatility_band|2|survived_before_kth,2,1,0,0.0,0.0015429193026729434,0.7714801861936711,1,0,1,0,0.0,1.0,0.0,0.0015429193026729434,0.7714801861936711,0.22851981380632877,0.9984570806973271,1,0,unusable
train,all,kth_fresh_step_index=1|kth_fresh_status=reached|kth_fresh_offset_bucket=t11_t20|kth_fresh_added_family_key=range_breakout|volatility_band|volume_money|kth_fresh_added_family_count=3|pre_kth_step_survival_state=survived_before_kth,1|reached|t11_t20|range_breakout|volatility_band|volume_money|3|survived_before_kth,1,1,0,0.0,0.0015429193026729434,0.7714801861936711,1,0,1,0,0.0,1.0,0.0,0.0015429193026729434,0.7714801861936711,0.22851981380632877,0.9984570806973271,0,0,unusable
