episode_split,duration_bucket,union_family,window,target_episode_count,raw_union_recall,canonical_union_recall,density_kept_union_recall,density_loss_recall,raw_captured_count,canonical_captured_count,density_kept_captured_count,density_loss_capture_count
all,all,reclaim_based,before_first_50pct,866,0.6997690531177829,0.6997690531177829,0.6963048498845266,0.0034642032332563577,606,606,603,3
all,all,reclaim_based,before_episode_high,866,0.7124711316397229,0.7124711316397229,0.7090069284064665,0.0034642032332563577,617,617,614,3
robustness,fast,setup_inclusive,pre_low_20d,61,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.0,45,45,45,0
robustness,fast,setup_inclusive,low_to_plus_10d,61,0.7377049180327869,0.7377049180327869,0.19672131147540983,0.5409836065573771,45,45,12,33
robustness,fast,setup_inclusive,low_to_plus_20d,61,0.7377049180327869,0.7377049180327869,0.29508196721311475,0.4426229508196722,45,45,18,27
robustness,fast,setup_inclusive,low_to_plus_30d,61,0.7704918032786885,0.7704918032786885,0.4098360655737705,0.360655737704918,47,47,25,22
robustness,fast,setup_inclusive,low_to_plus_60d,61,0.819672131147541,0.819672131147541,0.5081967213114754,0.3114754098360656,50,50,31,19
robustness,fast,setup_inclusive,low_to_plus_120d,61,0.9508196721311475,0.9508196721311475,0.9016393442622951,0.0491803278688524,58,58,55,3
robustness,fast,setup_inclusive,before_first_50pct,61,0.7704918032786885,0.7704918032786885,0.3770491803278688,0.39344262295081966,47,47,23,24
robustness,fast,setup_inclusive,before_episode_high,61,0.7704918032786885,0.7704918032786885,0.39344262295081966,0.3770491803278688,47,47,24,23
robustness,fast,reclaim_based,pre_low_20d,61,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.0,2,2,2,0
robustness,fast,reclaim_based,low_to_plus_10d,61,0.4262295081967213,0.4262295081967213,0.4262295081967213,0.0,26,26,26,0
robustness,fast,reclaim_based,low_to_plus_20d,61,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.0,38,38,38,0
robustness,fast,reclaim_based,low_to_plus_30d,61,0.7049180327868853,0.7049180327868853,0.7049180327868853,0.0,43,43,43,0
robustness,fast,reclaim_based,low_to_plus_60d,61,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.0,45,45,45,0
robustness,fast,reclaim_based,low_to_plus_120d,61,0.8360655737704918,0.8360655737704918,0.8360655737704918,0.0,51,51,51,0
robustness,fast,reclaim_based,before_first_50pct,61,0.6885245901639344,0.6885245901639344,0.6885245901639344,0.0,42,42,42,0
robustness,fast,reclaim_based,before_episode_high,61,0.7213114754098361,0.7213114754098361,0.7213114754098361,0.0,44,44,44,0
robustness,long,setup_inclusive,pre_low_20d,267,0.5393258426966292,0.5393258426966292,0.5280898876404494,0.011235955056179803,144,144,141,3
robustness,long,setup_inclusive,low_to_plus_10d,267,0.5168539325842697,0.5168539325842697,0.12359550561797752,0.3932584269662922,138,138,33,105
robustness,long,setup_inclusive,low_to_plus_20d,267,0.5243445692883895,0.5243445692883895,0.20599250936329588,0.3183520599250936,140,140,55,85
robustness,long,setup_inclusive,low_to_plus_30d,267,0.5805243445692884,0.5805243445692884,0.33707865168539325,0.24344569288389512,155,155,90,65
robustness,long,setup_inclusive,low_to_plus_60d,267,0.6779026217228464,0.6779026217228464,0.5543071161048689,0.1235955056179775,181,181,148,33
robustness,long,setup_inclusive,low_to_plus_120d,267,0.7565543071161048,0.7565543071161048,0.6666666666666666,0.0898876404494382,202,202,178,24
robustness,long,setup_inclusive,before_first_50pct,267,0.7340823970037453,0.7340823970037453,0.6254681647940075,0.10861423220973787,196,196,167,29
robustness,long,setup_inclusive,before_episode_high,267,0.7565543071161048,0.7565543071161048,0.6629213483146067,0.09363295880149813,202,202,177,25
robustness,long,reclaim_based,pre_low_20d,267,0.06367041198501873,0.06367041198501873,0.052434456928838954,0.011235955056179775,17,17,14,3
robustness,long,reclaim_based,low_to_plus_10d,267,0.15730337078651685,0.15730337078651685,0.15355805243445692,0.0037453183520599342,42,42,41,1
robustness,long,reclaim_based,low_to_plus_20d,267,0.27715355805243447,0.27715355805243447,0.27340823970037453,0.0037453183520599342,74,74,73,1
robustness,long,reclaim_based,low_to_plus_30d,267,0.3295880149812734,0.3295880149812734,0.3258426966292135,0.0037453183520598787,88,88,87,1
robustness,long,reclaim_based,low_to_plus_60d,267,0.5580524344569289,0.5580524344569289,0.5543071161048689,0.0037453183520599342,149,149,148,1
robustness,long,reclaim_based,low_to_plus_120d,267,0.7528089887640449,0.7528089887640449,0.7528089887640449,0.0,201,201,201,0
