split,grouping,J,K,skip_mode,month_count,loser_monthly_mean_return,winner_monthly_mean_return,monthly_mean_return,loser_long_only_after_cost_monthly_mean_return,loser_long_only_after_cost_t_stat_newey_west,loser_minus_winner_monthly_mean_return
train,tertile,30,30,skip1,57,0.006436554655253402,0.0026683318120225017,0.0037682228432308965,0.005968989261570742,2.8238922029364177,0.0037682228432309
train,tertile,30,36,no_skip,64,0.008136018294228851,0.005315972708293411,0.0028200455859354384,0.0077167055286809175,2.897016766608188,0.00282004558593544
train,tertile,30,42,no_skip,70,0.0070850337049607704,0.004137444379079049,0.0029475893258817214,0.006701662033602662,3.7519014997316855,0.0029475893258817214
train,tertile,30,48,no_skip,76,0.007814849958636582,0.007999776861855415,-0.00018492690321883726,0.007461744471859375,4.169167106603573,-0.00018492690321883325
train,tertile,36,1,no_skip,23,0.009467563404382184,0.022716177276430716,-0.013248613872048535,0.007523888547478628,0.7518201540185783,-0.013248613872048532
train,tertile,36,6,no_skip,28,0.006067981146695254,0.012617949164824616,-0.006549968018129362,0.0051552012540509815,0.7019918083772057,-0.0065499680181293615
train,tertile,36,12,no_skip,34,0.0063535763104758895,0.007867439695669136,-0.0015138633851932478,0.005654540216367573,1.1679414638625742,-0.001513863385193246
train,tertile,36,18,no_skip,40,0.007694253175954643,0.004620165154931866,0.003074088021022775,0.007101370669285742,1.8980538976545855,0.0030740880210227773
train,tertile,36,24,no_skip,46,0.005443808259101919,0.003081261476986563,0.002362546782115356,0.0049217063332529735,1.705555429167643,0.002362546782115356
train,tertile,36,30,no_skip,52,0.006274076308164816,0.0014830705655390487,0.004791005742625766,0.005812216912221519,2.964026888093643,0.004791005742625767
train,tertile,36,36,no_skip,58,0.008088527923706016,0.003963559223170577,0.004124968700535441,0.007674447085963753,3.07972992201053,0.004124968700535439
train,tertile,36,36,skip1,57,0.00893708480672628,0.003264380615528481,0.005672704191197799,0.008521993460906615,3.4435908183166015,0.005672704191197798
train,tertile,36,42,no_skip,64,0.00721919529753037,0.002874141810144879,0.004345053487385489,0.006843934538326442,4.159973868837347,0.004345053487385491
train,tertile,36,48,no_skip,70,0.00815614650962633,0.006807426718786199,0.001348719790840133,0.007813050958354167,4.431878566117099,0.0013487197908401312
train,tertile,42,1,no_skip,17,0.011298834428404547,0.006698352686678097,0.004600481741726447,0.009434522953897006,0.9223431975768128,0.00460048174172645
train,tertile,42,6,no_skip,22,0.004036835820868765,-0.002784012102410427,0.0068208479232791915,0.00306954519866975,0.5275361546661604,0.006820847923279192
train,tertile,42,12,no_skip,28,0.0045178577049496725,-0.004814709876428734,0.009332567581378405,0.0037793215457558003,0.8262896603759532,0.009332567581378407
train,tertile,42,18,no_skip,34,0.006993422359056585,-0.005198909276336311,0.012192331635392897,0.006377218012702301,2.0795230098183857,0.012192331635392895
train,tertile,42,24,no_skip,40,0.004448440938933757,-0.00588397991414593,0.010332420853079683,0.003924667244532614,1.566474572604857,0.010332420853079687
train,tertile,42,30,no_skip,46,0.005319497993993629,-0.006291266691892375,0.011610764685886003,0.004864042607557854,2.533894812587172,0.011610764685886003
train,tertile,42,36,no_skip,52,0.007932164753429609,-0.003162508471825034,0.01109467322525464,0.0075292619115825766,2.797863818632438,0.011094673225254642
train,tertile,42,42,no_skip,58,0.007082131831972407,-0.00356951829619562,0.010651650128168027,0.0067209085944543775,3.6896156869787005,0.010651650128168027
train,tertile,42,42,skip1,57,0.006698821111519559,-0.004072709651565362,0.010771530763084923,0.006337777081198095,3.2328872874005654,0.010771530763084921
train,tertile,42,48,no_skip,64,0.007883748799201049,0.0007447917436575564,0.007138957055543495,0.007556390240200336,3.872114261407301,0.007138957055543492
train,tertile,48,1,no_skip,11,0.01874657373617562,-0.010240451997090429,0.028987025733266045,0.016489680269782453,1.259399104857217,0.028987025733266048
train,tertile,48,6,no_skip,16,0.006714956728588781,-0.016121608428202427,0.022836565156791205,0.005618649053039039,0.639584181143225,0.022836565156791208
train,tertile,48,12,no_skip,22,0.00710973688938201,-0.013442251753210694,0.020551988642592698,0.006297256274266038,0.9705766303879327,0.020551988642592705
train,tertile,48,18,no_skip,28,0.009571550940111567,-0.012737909011330349,0.02230945995144192,0.008933173313949017,2.133535188122523,0.022309459951441915
train,tertile,48,24,no_skip,34,0.0062863499487932975,-0.012469273171898474,0.01875562312069177,0.005760627197835903,1.7765737018201138,0.01875562312069177
train,tertile,48,30,no_skip,40,0.007120996162464288,-0.012270078890464973,0.01939107505292926,0.006674131824150503,2.669883250409399,0.01939107505292926
train,tertile,48,36,no_skip,46,0.009878232753816264,-0.007570597794318074,0.01744883054813433,0.009489655068326015,3.301466502307507,0.01744883054813434
train,tertile,48,42,no_skip,52,0.008381698866124863,-0.007752118339710295,0.016133817205835156,0.008037957067421952,4.593441279332141,0.016133817205835156
train,tertile,48,48,no_skip,58,0.009237052912947729,-0.003089088160186306,0.012326141073134034,0.008928870610662363,5.218875657625221,0.012326141073134034
train,tertile,48,48,skip1,57,0.008204275114303071,-0.0015052300142668414,0.009709505128569917,0.007896927490056101,4.242311037107044,0.009709505128569912
