instrument,qfq_path,qfq_row_n,required_by_labelable_step_n,missing_qfq_file_flag,missing_required_columns,nonfinite_close_n,nonpositive_close_n,step_bounds_out_of_qfq_n,qfq_row_n_15a,qfq_row_n_15b,qfq_price_source_status,blocking_reason
SH601231,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH601231.csv,2273,739,False,,0,0,0,2273,2273,pass,
SH601233,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH601233.csv,2281,1023,False,,0,0,0,2281,2281,pass,
SH601236,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH601236.csv,1666,260,False,,0,0,0,1666,1666,pass,
SH601319,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH601319.csv,1825,6,False,,0,0,0,1825,1825,pass,
SH601360,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH601360.csv,2159,259,False,,0,0,0,2159,2159,pass,
SH601377,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH601377.csv,2270,991,False,,0,0,0,2270,2270,pass,
SH601611,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH601611.csv,2281,154,False,,0,0,0,2281,2281,pass,
SH601618,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH601618.csv,2281,1143,False,,0,0,0,2281,2281,pass,
SH601669,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH601669.csv,2281,984,False,,0,0,0,2281,2281,pass,
SH601788,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH601788.csv,2281,894,False,,0,0,0,2281,2281,pass,
SH601799,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH601799.csv,2281,894,False,,0,0,0,2281,2281,pass,
SH601811,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH601811.csv,2281,1062,False,,0,0,0,2281,2281,pass,
SH601866,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH601866.csv,2270,887,False,,0,0,0,2270,2270,pass,
SH601877,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH601877.csv,2281,1625,False,,0,0,0,2281,2281,pass,
SH601888,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH601888.csv,2281,1326,False,,0,0,0,2281,2281,pass,
SH601949,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH601949.csv,2127,1990,False,,0,0,0,2127,2127,pass,
SH601966,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH601966.csv,2272,451,False,,0,0,0,2272,2272,pass,
SH601969,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH601969.csv,2263,1287,False,,0,0,0,2263,2263,pass,
SH601975,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH601975.csv,1789,826,False,,0,0,0,1789,1789,pass,
SH601990,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH601990.csv,1930,534,False,,0,0,0,1930,1930,pass,
SH603005,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH603005.csv,2278,111,False,,0,0,0,2278,2278,pass,
SH603025,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH603025.csv,2266,797,False,,0,0,0,2266,2266,pass,
SH603026,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH603026.csv,2281,96,False,,0,0,0,2281,2281,pass,
SH603027,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH603027.csv,2280,184,False,,0,0,0,2280,2280,pass,
SH603077,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH603077.csv,2269,1348,False,,0,0,0,2269,2269,pass,
SH603083,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH603083.csv,2073,140,False,,0,0,0,2073,2073,pass,
SH603218,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH603218.csv,2281,126,False,,0,0,0,2281,2281,pass,
SH603228,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH603228.csv,2278,480,False,,0,0,0,2278,2278,pass,
SH603256,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH603256.csv,1662,2405,False,,0,0,0,1662,1662,pass,
SH603259,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH603259.csv,1956,489,False,,0,0,0,1956,1956,pass,
SH603260,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH603260.csv,2082,1570,False,,0,0,0,2082,2082,pass,
SH603267,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH603267.csv,1708,268,False,,0,0,0,1708,1708,pass,
SH603268,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH603268.csv,2209,322,False,,0,0,0,2209,2209,pass,
SH603288,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH603288.csv,2281,1128,False,,0,0,0,2281,2281,pass,
SH603296,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH603296.csv,678,795,False,,0,0,0,678,678,pass,
SH603338,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH603338.csv,2281,811,False,,0,0,0,2281,2281,pass,
SH603345,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH603345.csv,2211,465,False,,0,0,0,2211,2211,pass,
SH603369,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH603369.csv,2281,1122,False,,0,0,0,2281,2281,pass,
SH603392,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH603392.csv,1473,258,False,,0,0,0,1473,1473,pass,
SH603486,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH603486.csv,1942,240,False,,0,0,0,1942,1942,pass,
SH603517,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH603517.csv,2232,1044,False,,0,0,0,2232,2232,pass,
SH603565,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH603565.csv,1371,138,False,,0,0,0,1371,1371,pass,
SH603589,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH603589.csv,2281,1039,False,,0,0,0,2281,2281,pass,
SH603658,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH603658.csv,2281,1006,False,,0,0,0,2281,2281,pass,
SH603659,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH603659.csv,2022,607,False,,0,0,0,2022,2022,pass,
SH603699,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH603699.csv,2271,2719,False,,0,0,0,2271,2271,pass,
SH603708,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH603708.csv,2281,181,False,,0,0,0,2281,2281,pass,
