token_id,split_bucket,decision_point,execution_point,coverage_share,captured_positive_n,captured_positive_share,winner_rate,lift_vs_native_baseline,utility_proxy_per_entry,utility_proxy_total_indexed,utility_proxy_total_indexed_ci_low,native_baseline_utility_total_indexed,native_baseline_utility_total_indexed_ci_high,cost_buffer_return,precision_recall_frontier_status,deployability_status
intraday_range_mean_20d__bottom_20pct,train,reference_date_close,next_open,0.2000009225347565,8902,0.2828366270572536,0.20530916303420282,0.06012986840427764,-0.009295921596481673,-0.001859192895107101,-0.0018766930097486856,-0.015987285279449523,-0.015919986503260784,0.01,reported,fail
intraday_range_mean_20d__bottom_20pct,validation,reference_date_close,next_open,0.3239271208834228,2824,0.48027210884353744,0.14220252782113904,0.04629178353418975,-0.018394898528384798,-0.005958606519242398,-0.006041481242442905,-0.027763349045990995,-0.02754357677694963,0.01,reported,fail
intraday_range_mean_20d__bottom_20pct,robustness,reference_date_close,next_open,0.3560108411043227,8771,0.49242083988322477,0.1886236559139785,0.05225236340322162,-0.006762297339771265,-0.002407451163729492,-0.002429333167117075,-0.009724509119859117,-0.009671770483718532,0.01,reported,fail
intraday_range_mean_20d__top_20pct,train,reference_date_close,next_open,0.2000009225347565,3387,0.10761263264917074,0.07811527018612052,-0.06706402444380466,-0.0329025929934168,-0.0065805489524689755,-0.006642490003005387,-0.015987285279449523,-0.015919986503260784,0.01,reported,fail
intraday_range_mean_20d__top_20pct,validation,reference_date_close,next_open,0.0777725218979888,213,0.036224489795918365,0.04467281879194631,-0.05123792549500298,-0.042419840150158955,-0.003299097946987422,-0.0033927426372456796,-0.027763349045990995,-0.02754357677694963,0.01,reported,fail
intraday_range_mean_20d__top_20pct,robustness,reference_date_close,next_open,0.12190883060008881,1227,0.068886144172468,0.07705834327702066,-0.05931294923373623,-0.015046537327590022,-0.001834305770187085,-0.0018627972729270896,-0.009724509119859117,-0.009671770483718532,0.01,reported,fail
intraday_range_mean_20d__top_10pct,train,reference_date_close,next_open,0.10000276760426949,1449,0.04603799961873292,0.06683579335793358,-0.0783435012719916,-0.03943195016135229,-0.00394330414816885,-0.003995795373160003,-0.015987285279449523,-0.015919986503260784,0.01,reported,fail
intraday_range_mean_20d__top_10pct,validation,reference_date_close,next_open,0.03373187401112434,131,0.02227891156462585,0.06334622823984526,-0.03256451604710403,-0.03496183984345059,-0.0011793283767963824,-0.0012301578434492783,-0.027763349045990995,-0.02754357677694963,0.01,reported,fail
intraday_range_mean_20d__top_10pct,robustness,reference_date_close,next_open,0.06056777987045799,487,0.027341118347181677,0.06155985336872709,-0.0748114391420298,-0.0218034917610316,-0.0013205890893895065,-0.0013496901008480645,-0.009724509119859117,-0.009671770483718532,0.01,reported,fail
turnover_rate_median_20d__bottom_10pct,train,reference_date_close,next_open,0.10000276760426949,3858,0.12257736544449387,0.1779520295202952,0.032772734890370026,-0.009981334743267392,-0.0009981610987113898,-0.0010114481029193218,-0.015987285279449523,-0.015919986503260784,0.01,reported,fail
turnover_rate_median_20d__bottom_10pct,validation,reference_date_close,next_open,0.14393136183470076,1316,0.22380952380952382,0.14913871260199457,0.05322796831504528,-0.012229488294020258,-0.0017602069046998672,-0.0017969340389003613,-0.027763349045990995,-0.02754357677694963,0.01,reported,fail
turnover_rate_median_20d__bottom_10pct,robustness,reference_date_close,next_open,0.09899398226836327,2173,0.12199640691668538,0.16805877803557617,0.03168748552481929,-0.007864023714073002,-0.000778491024108931,-0.0007919097233351193,-0.009724509119859117,-0.009671770483718532,0.01,reported,fail
