arm_id,model_seed,epoch,optimizer_step_end,train_loss_total,train_loss_rec,train_loss_koop,train_loss_diff,validation_early_mean_rankic,validation_early_complete_day_n,validation_early_score_coverage,gumbel_tau_last_step,elapsed_seconds,peak_gpu_memory_mib,status,reason
R2_REAKA_DIFFUSION,20260714,22,28842,0.054118889400157716,0.0015000303678856615,2.0799916930835676e-10,0.052618858833849556,0.003032243517563477,107,1.0,0.8020053547319201,946.0435967518447,530.0,pass,
R2_REAKA_DIFFUSION,20260714,23,30153,0.05332089830631512,0.0015002859975124256,1.482659665645264e-10,0.0518206121859122,-0.005806555288530495,107,1.0,0.7930052860815109,989.0455784223831,530.0,pass,
R2_REAKA_DIFFUSION,20260714,24,31464,0.052547115636424474,0.001500052865977478,1.6284104192999092e-10,0.051047062620930714,-0.004985401423677652,107,1.0,0.7840052174311016,1032.0475600929215,530.0,pass,
R2_REAKA_DIFFUSION,20260714,25,32775,0.05177512991146314,0.0015001119176625778,1.1749624118625251e-10,0.05027501785842691,0.0012121980558713523,107,1.0,0.7750051487806924,1075.0495417634597,530.0,pass,
R2_REAKA_DIFFUSION,20260714,26,34086,0.0507860605426706,0.0014998482795146387,7.286667867353074e-11,0.04928621214025123,-0.005546590045023871,107,1.0,0.7660050801302832,1118.0515234339982,530.0,pass,
R2_REAKA_DIFFUSION,20260715,1,1311,0.2631551512683663,0.00984468412774138,0.0004412327067241822,0.2528692344244216,0.002510921557866438,107,1.0,0.991006796390514,44.26026444207673,530.0,pass,
R2_REAKA_DIFFUSION,20260715,2,2622,0.12319456592569125,0.0016711517153246344,6.913159060251427e-06,0.12151650108123391,0.004657343823860689,107,1.0,0.9820067277401048,88.52052888415346,530.0,pass,
R2_REAKA_DIFFUSION,20260715,3,3933,0.10759620671894916,0.001500937853078723,1.3584900134014602e-06,0.10609391024019912,0.008025732739492664,107,1.0,0.9730066590896955,132.7807933262302,530.0,pass,
R2_REAKA_DIFFUSION,20260715,4,5244,0.09836333741097178,0.0014981010405817048,4.381985733715815e-07,0.09686479813870573,-0.004525525884722551,107,1.0,0.9640065904392864,177.04105776830693,530.0,pass,
R2_REAKA_DIFFUSION,20260715,5,6555,0.09148829663680381,0.001498913034112334,1.7805399522807963e-07,0.08998920554174085,-0.00247742487175519,107,1.0,0.9550065217888771,221.30132221038366,530.0,pass,
R2_REAKA_DIFFUSION,20260715,6,7866,0.0858529135854515,0.0014995080196073534,8.159457507176394e-08,0.08435332396636788,-0.005260068226124893,107,1.0,0.9460064531384679,265.5615866524604,530.0,pass,
R2_REAKA_DIFFUSION,20260715,7,9177,0.08125770725816228,0.0015001713980805184,4.10825832716015e-08,0.07975749479779348,-0.002953479048453197,107,1.0,0.9370063844880586,309.8218510945371,530.0,pass,
R2_REAKA_DIFFUSION,20260715,8,10488,0.0775956854996869,0.0015002043051685395,2.1939934482505375e-08,0.0760954593457804,0.0037417904277735324,107,1.0,0.9280063158376494,354.08211553661386,530.0,pass,
R2_REAKA_DIFFUSION,20260715,9,11799,0.0744305769283354,0.001500249342201822,1.280114084988677e-08,0.07293031484293196,-0.004271995694151007,107,1.0,0.9190062471872402,398.3423799786906,530.0,pass,
R2_REAKA_DIFFUSION,20260715,10,13110,0.07145519147370315,0.001500403386634381,9.067408926555451e-09,0.06995477908789258,0.003534405895381579,107,1.0,0.910006178536831,442.6026444207673,530.0,pass,
R2_REAKA_DIFFUSION,20260715,11,14421,0.06884229750050534,0.0015002327606000202,5.348320457348345e-09,0.06734205938823405,0.0009112605157960053,107,1.0,0.9010061098864217,486.86290886284405,530.0,pass,
R2_REAKA_DIFFUSION,20260715,12,15732,0.06664447721432008,0.0015003430630350161,3.4980805129540042e-09,0.065144130687463,0.0055385450301238094,107,1.0,0.8920060412360125,531.1231733049208,530.0,pass,
R2_REAKA_DIFFUSION,20260715,13,17043,0.06479783682411566,0.0015001346250748308,2.2177159368319046e-09,0.06329769983723774,0.005871927049265492,107,1.0,0.8830059725856032,575.3834377469975,530.0,pass,
