instrument,threshold_id,episode_cluster_id,cluster_split_bucket,cluster_member_split_bucket_set,cluster_calendar_span_split_bucket_set,cluster_start_date,cluster_end_date,cluster_start_pos,cluster_end_pos,touches_multiple_split_buckets,touches_multiple_calendar_split_buckets,train_validation_boundary_overlap,validation_robustness_boundary_overlap,split_overlap_status,blocking_reason
SZ002647,up100pct,up100pct::SZ002647::000000,train,train,train,2020-05-07,2020-11-20,701,834,False,False,False,False,pass,
SZ002648,up100pct,up100pct::SZ002648::000000,cross_split,validation,robustness;validation,2022-08-01,2026-04-13,1353,2247,False,True,False,True,pass,
SZ002653,up100pct,up100pct::SZ002653::000000,cross_split,robustness;validation,robustness;validation,2023-01-12,2025-08-13,1466,2091,True,True,False,True,pass,
SZ002670,up100pct,up100pct::SZ002670::000000,cross_split,train,robustness;train,2018-05-16,2025-09-30,282,2046,False,True,False,False,pass,
SZ002705,up100pct,up100pct::SZ002705::000000,train,train,train,2019-11-01,2021-01-21,688,987,False,False,False,False,pass,
SZ002709,up100pct,up100pct::SZ002709::000000,robustness,robustness,robustness,2024-03-04,2026-05-06,1739,2263,False,False,False,False,pass,
SZ002736,up100pct,up100pct::SZ002736::000000,cross_split,robustness;train;validation,robustness;train;validation,2019-02-11,2025-08-26,510,2090,True,True,True,True,pass,
SZ002738,up100pct,up100pct::SZ002738::000000,cross_split,robustness;validation,robustness;validation,2023-11-15,2026-01-26,1551,2084,True,True,False,True,pass,
SZ002755,up100pct,up100pct::SZ002755::000000,train,train,train,2019-02-11,2025-08-01,488,2052,False,False,False,False,pass,
SZ002756,up100pct,up100pct::SZ002756::000000,cross_split,train,train;validation,2021-01-05,2022-07-08,853,1217,False,True,True,False,pass,
SZ002756,up100pct,up100pct::SZ002756::000001,robustness,robustness,robustness,2024-03-26,2026-04-30,1633,2140,False,False,False,False,pass,
SZ002791,up100pct,up100pct::SZ002791::000000,train,train,train,2020-02-17,2021-08-11,757,1121,False,False,False,False,pass,
SZ002797,up100pct,up100pct::SZ002797::000000,train,train,train,2019-02-11,2020-07-15,493,841,False,False,False,False,pass,
SZ002812,up100pct,up100pct::SZ002812::000000,robustness,robustness,robustness,2024-11-07,2026-05-06,1818,2167,False,False,False,False,pass,
SZ002831,up100pct,up100pct::SZ002831::000000,cross_split,train,train;validation,2019-02-12,2026-05-21,511,2274,False,True,True,False,pass,
SZ002837,up100pct,up100pct::SZ002837::000000,robustness,robustness,robustness,2024-11-26,2025-12-25,1841,2105,False,False,False,False,pass,
SZ002850,up100pct,up100pct::SZ002850::000000,robustness,robustness,robustness,2024-05-08,2026-05-21,1744,2237,False,False,False,False,pass,
SZ002851,up100pct,up100pct::SZ002851::000000,robustness,robustness,robustness,2024-12-24,2026-05-14,1818,2150,False,False,False,False,pass,
SZ002867,up100pct,up100pct::SZ002867::000000,train,train,train,2019-10-21,2021-02-23,604,930,False,False,False,False,pass,
SZ002916,up100pct,up100pct::SZ002916::000000,cross_split,robustness;train;validation,robustness;train;validation,2021-08-05,2026-05-26,884,2044,True,True,True,True,pass,
SZ002920,up100pct,up100pct::SZ002920::000000,cross_split,train,train;validation,2018-05-11,2022-07-29,88,1114,False,True,True,False,pass,
SZ002938,up100pct,up100pct::SZ002938::000000,cross_split,robustness;validation,robustness;validation,2022-07-21,2026-05-26,929,1858,True,True,False,True,pass,
SZ002939,up100pct,up100pct::SZ002939::000000,robustness,robustness,robustness,2024-04-11,2025-08-19,1324,1654,False,False,False,False,pass,
SZ002945,up100pct,up100pct::SZ002945::000000,cross_split,train,,2019-05-06,2019-06-25,68,103,False,False,False,False,pass,
SZ002945,up100pct,up100pct::SZ002945::000001,cross_split,train,robustness;train;validation,2021-10-27,2026-02-06,671,1712,False,True,True,True,pass,
SZ003022,up100pct,up100pct::SZ003022::000000,train,train,train,2021-04-30,2021-09-16,96,191,False,False,False,False,pass,
SZ003031,up100pct,up100pct::SZ003031::000000,validation,validation,validation,2023-11-15,2026-05-08,684,1281,False,False,False,False,pass,
SZ003816,up100pct,up100pct::SZ003816::000000,cross_split,train;validation,robustness;train;validation,2020-03-13,2024-07-25,131,1191,True,True,True,True,pass,
SZ300001,up100pct,up100pct::SZ300001::000000,train,train,train,2019-02-11,2021-01-25,510,989,False,False,False,False,pass,
SZ300001,up100pct,up100pct::SZ300001::000001,cross_split,robustness;validation,robustness;validation,2022-06-29,2026-05-28,1332,2279,True,True,False,True,pass,
