split_bucket,path_type,feature_id,episode_cluster_n,feature_p25,feature_median,feature_p75,metric_distribution_status
validation,stair_step_winner,time_to_threshold_sessions,28,245.0,345.0,445.0,pass
validation,stair_step_winner,pullback_5pct_count,28,4.0,5.0,6.0,pass
validation,stair_step_winner,realized_volatility_to_hit,28,0.01501709324184846,0.01742115644485031,0.019238472942568467,pass
validation,unclassified_mixed_path,path_efficiency,58,0.05399001945841998,0.07454895253652442,0.11686267673062473,pass
validation,unclassified_mixed_path,max_drawdown_before_hit_abs,58,0.1987465427610939,0.2764720744285586,0.40027286851490507,pass
validation,unclassified_mixed_path,underwater_days_share,58,0.9238833904326862,0.9509434682964095,0.9630098979346919,pass
validation,unclassified_mixed_path,directional_entropy_5state,58,0.9484804576411175,0.9645347176910322,0.9794062651515959,pass
validation,unclassified_mixed_path,trend_line_r2,58,0.11529120282987261,0.24575245918672556,0.3511476526248638,pass
validation,unclassified_mixed_path,top1_positive_gain_share,58,0.0275859788718437,0.034371691048221825,0.04999665542069278,pass
validation,unclassified_mixed_path,top3_positive_gain_share,58,0.07817360122405281,0.09761058964244568,0.13510461911464178,pass
validation,unclassified_mixed_path,time_to_threshold_sessions,58,181.75,387.0,466.75,pass
validation,unclassified_mixed_path,pullback_5pct_count,58,3.0,3.0,5.0,pass
validation,unclassified_mixed_path,realized_volatility_to_hit,58,0.019377343468574778,0.02172648089026772,0.03278465452186069,pass
validation,unclassified_short_path,path_efficiency,1,0.9999999999999999,0.9999999999999999,0.9999999999999999,pass
validation,unclassified_short_path,max_drawdown_before_hit_abs,1,0.0,0.0,0.0,pass
validation,unclassified_short_path,underwater_days_share,1,0.0,0.0,0.0,pass
validation,unclassified_short_path,directional_entropy_5state,1,-0.0,-0.0,-0.0,pass
validation,unclassified_short_path,trend_line_r2,1,0.9867977409473858,0.9867977409473858,0.9867977409473858,pass
validation,unclassified_short_path,top1_positive_gain_share,1,0.2301720755643244,0.2301720755643244,0.2301720755643244,pass
validation,unclassified_short_path,top3_positive_gain_share,1,0.6881147492926314,0.6881147492926314,0.6881147492926314,pass
validation,unclassified_short_path,time_to_threshold_sessions,1,5.0,5.0,5.0,pass
validation,unclassified_short_path,pullback_5pct_count,1,0.0,0.0,0.0,pass
validation,unclassified_short_path,realized_volatility_to_hit,1,0.027187422068525546,0.027187422068525546,0.027187422068525546,pass
