policy_id,aggregation_scope,stop_trigger_n,stop_fill_n,stop_blocked_n,mean_trigger_to_fill_delay_sessions,mean_stop_overshoot,stopped_capital_weight,stop_exit_vs_hold_delta_cny,stop_avoided_loss_cny,stop_missed_rebound_cny,stop_attribution_missing_n,source_table_content_hash,ex_post_counterfactual_attribution_only,status,missing_reason,run_id,contract_version
B0_P4_RAW_RANK__D8__L000__STOP20,all,65,65,0,0.0461538461538,0.00633921679179,0.085522986446,-756954.428373,171942.274157,928896.70253,0,320b801d03599009d0b8d44d5905cbdc84aecf2da29c21a64596a3b3b8dde307,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D8__L000__STOP20,event_posthoc,10,10,0,0,7.8077571436e-05,0.05554006,7550.92348512,35794.3663121,28243.442827,0,9c9d34eb327814cc94daed14aab6e415d500da3bd03702f72958b5cf3de59707,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D8__L000__STOP20,non_event_posthoc,55,55,0,0.0545454545455,0.00747760574094,0.0948926509604,-764505.351858,136147.907845,900653.259703,0,bb88f21a868e5ee63ae0e0f59bd45ebd095e8421778bcd83ec9233c8d683f3ca,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D8__L000__STOPNONE,all,0,0,0,,,0,,,,0,033c91da017dab3a0687c7721ddca01b7b7091111ea353243b0b1d2911d2ede1,True,not_applicable_no_stop,stop_threshold_none,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D8__L000__STOPNONE,event_posthoc,0,0,0,,,0,,,,0,c3d8d473a2a78b4a9c45ddf822a0b2fe61da84efbd6923ffb788b83018edb626,True,not_applicable_no_stop,stop_threshold_none,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D8__L000__STOPNONE,non_event_posthoc,0,0,0,,,0,,,,0,2c1def59402a8e4fbe210d90e9cf08f468f637c815dce288336cfcc79a9155c5,True,not_applicable_no_stop,stop_threshold_none,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D8__L050__STOP05,all,505,505,0,0.0039603960396,0.0024398871023,0.560382153782,-3468634.01332,3565707.5762,7034341.58952,1,d7ef6a3ac76b484221ee17d2c36df748b446091d1448bb2d4df5c2a3e51a5a2d,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D8__L050__STOP05,event_posthoc,100,100,0,0,0.000311948743168,0.47041846,-467881.555347,962188.594063,1430070.14941,0,120fe688d38dfaec954d846fe3519cc06efe31bf2599e706322e96ceea4fd875,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D8__L050__STOP05,non_event_posthoc,405,405,0,0.00493827160494,0.0029653039811,0.588495808088,-3000752.45798,2603518.98214,5604271.44011,1,6dcaee60ad809a1b861cd7f215fcba4acc1901d54438a277c3932e8d467ea895,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D8__L050__STOP10,all,263,263,0,0.00380228136882,0.00240164400078,0.318216006992,-1446005.23093,1555679.83802,3001685.06895,1,1bc055f53547548ce581c2dea72d2e4384ab91c76ea1be40be347aa0bd1eb004,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
